latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.195,62.2139,302.8,1,1,2023-01-02,0911,Aqua,MODIS,32,61.03,281.9,4.9,D,0
34.5887,71.0667,323.2,1,1,2023-01-04,0555,Terra,MODIS,82,61.03,280.1,24.8,D,0
34.587,71.0775,321.8,1,1,2023-01-04,0555,Terra,MODIS,81,61.03,281.8,23.1,D,0
34.5785,71.07,314.4,1,1,2023-01-04,0555,Terra,MODIS,75,61.03,285.9,15.4,D,0
34.5764,71.0703,315,1.6,1.2,2023-01-04,0858,Aqua,MODIS,75,61.03,288.7,29.2,D,0
33.5809,69.9764,305.6,1.7,1.3,2023-01-10,0818,Aqua,MODIS,62,61.03,289.7,14.1,D,0
31.4649,65.8726,302.2,1.1,1.1,2023-01-26,0617,Terra,MODIS,51,61.03,283.9,6.2,D,0
31.4384,61.2385,325.7,1.8,1.3,2023-02-03,0855,Aqua,MODIS,77,61.03,300.1,37.9,D,0
33.5671,70.1155,308.9,1.2,1.1,2023-02-07,0829,Aqua,MODIS,68,61.03,291.1,9.3,D,0
37.2112,67.766,303.7,1,1,2023-02-07,1720,Terra,MODIS,56,61.03,266.7,11.6,N,0
37.2192,67.758,315.4,1,1,2023-02-07,1720,Terra,MODIS,91,61.03,265.4,20.1,N,0
33.4216,69.9097,304.6,1.3,1.1,2023-02-10,0858,Aqua,MODIS,59,61.03,289.6,8.1,D,0
33.4232,69.9232,316.2,1.3,1.1,2023-02-10,0858,Aqua,MODIS,76,61.03,288.3,20,D,0
33.5769,69.9855,321.5,1,1,2023-02-12,0844,Aqua,MODIS,81,61.03,292.4,17.1,D,0
33.5754,69.9748,322.9,1,1,2023-02-12,0844,Aqua,MODIS,82,61.03,293.3,18.3,D,0
33.5843,69.973,315.2,1,1,2023-02-12,0844,Aqua,MODIS,42,61.03,291.7,10.1,D,0
33.7056,70.1115,305.2,1,1,2023-02-12,0844,Aqua,MODIS,61,61.03,289.8,5.3,D,0
33.7041,70.1008,303.5,1,1,2023-02-12,0844,Aqua,MODIS,56,61.03,290.2,4.4,D,0
33.0821,69.667,314.6,1.6,1.3,2023-02-13,0531,Terra,MODIS,75,61.03,289.5,26.7,D,0
30.5714,63.671,321.3,1.2,1.1,2023-02-17,0859,Aqua,MODIS,78,61.03,280,19.6,D,0
35.4537,63.4131,300.1,1.5,1.2,2023-02-19,0847,Aqua,MODIS,17,61.03,288.2,4.1,D,0
33.4266,69.7575,316.4,2.1,1.4,2023-02-20,0523,Terra,MODIS,75,61.03,293.3,32.9,D,0
37.2564,67.1477,308.5,2.9,1.6,2023-02-20,0930,Aqua,MODIS,32,61.03,292.2,20.7,D,0
33.5369,70.107,310.8,1.1,1,2023-02-21,0833,Aqua,MODIS,58,61.03,298.3,5.7,D,0
33.6877,70.075,304.7,1,1,2023-02-21,1705,Terra,MODIS,61,61.03,280,10,N,0
37.3802,67.013,312.6,1.7,1.3,2023-02-22,0916,Aqua,MODIS,0,61.03,291.5,19.4,D,0
37.3153,68.9907,310.7,1.4,1.2,2023-02-24,0903,Aqua,MODIS,32,61.03,279.6,16.1,D,0
37.3136,68.9747,318.2,1.4,1.2,2023-02-24,0903,Aqua,MODIS,64,61.03,280.6,26.7,D,0
37.3242,68.973,334.8,1.4,1.2,2023-02-24,0903,Aqua,MODIS,89,61.03,279,59.2,D,0
33.69,70.1101,312.7,1.7,1.3,2023-02-24,1730,Terra,MODIS,85,61.03,279,32.2,N,0
35.7061,63.218,333.3,1.1,1.1,2023-03-01,0918,Aqua,MODIS,86,61.03,298.5,32.5,D,0
37.2842,69.0195,307.1,1.6,1.3,2023-03-03,0621,Terra,MODIS,59,61.03,290.9,11,D,0
37.2838,69.0139,304.3,1.6,1.3,2023-03-03,0621,Terra,MODIS,43,61.03,290.5,9.1,D,0
37.2763,69.018,310.1,1.5,1.2,2023-03-03,0905,Aqua,MODIS,39,61.03,294.7,11.9,D,0
37.488,65.8084,307.9,1,1,2023-03-05,0851,Aqua,MODIS,38,61.03,287.5,5.5,D,0
33.709,70.0917,310.3,1,1,2023-03-07,0550,Terra,MODIS,58,61.03,298.6,4.5,D,0
34.8296,70.9191,319.8,1.3,1.1,2023-03-09,0823,Aqua,MODIS,75,61.03,286.6,23.8,D,0
37.3679,66.5773,333,1.2,1.1,2023-03-10,0906,Aqua,MODIS,64,61.03,294.7,32.3,D,0
37.4306,65.9745,316.2,1.1,1.1,2023-03-10,0906,Aqua,MODIS,47,61.03,280,15,D,0
37.4769,69.4212,306.3,1.1,1.1,2023-03-10,1716,Terra,MODIS,68,61.03,284.6,10.7,N,0
37.479,69.4293,307.2,2.2,1.4,2023-03-11,0810,Aqua,MODIS,55,61.03,281.9,18.1,D,0
37.5327,69.4902,315.7,1.3,1.1,2023-03-16,0825,Aqua,MODIS,60,61.03,299.8,12.4,D,0
37.2379,67.6546,328.9,1,1,2023-03-17,1709,Terra,MODIS,49,61.03,279.3,30.1,N,0
37.2434,67.63,329.3,1,1,2023-03-17,1709,Terra,MODIS,50,61.03,277.8,29.8,N,0
37.2282,67.6027,319.1,1,1,2023-03-19,0854,Aqua,MODIS,31,61.03,299.2,10.8,D,0
