latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.4424,20.2831,300.2,1.6,1.2,2023-01-04,1217,Aqua,MODIS,33,61.03,286,9.7,D,0
40.773,19.3896,313.3,1.1,1,2023-02-14,1151,Aqua,MODIS,64,61.03,288.4,12.6,D,0
41.0241,20.6064,307.2,1.3,1.1,2023-02-16,1137,Aqua,MODIS,65,61.03,285.5,13.3,D,0
40.7499,20.7566,304.3,1.2,1.1,2023-02-16,1137,Aqua,MODIS,59,61.03,293.8,6,D,0
42.2898,20.049,302.7,1.7,1.3,2023-02-17,1220,Aqua,MODIS,49,61.03,289.3,10.5,D,0
42.287,20.0443,300.1,1.7,1.3,2023-02-17,1220,Aqua,MODIS,25,61.03,289.5,8.3,D,0
41.4811,20.1839,341.5,1.1,1.1,2023-02-19,1206,Aqua,MODIS,92,61.03,291.6,56.1,D,0
40.6969,20.779,307,1.2,1.1,2023-02-19,1206,Aqua,MODIS,53,61.03,295.9,5.5,D,0
40.6953,20.7652,309.1,1.2,1.1,2023-02-19,1206,Aqua,MODIS,67,61.03,297.5,7,D,0
41.4827,20.1974,318.1,1.1,1.1,2023-02-19,1206,Aqua,MODIS,74,61.03,286.9,20.5,D,0
39.9184,19.989,304,1.6,1.3,2023-02-24,1221,Aqua,MODIS,58,61.03,289.6,8.8,D,0
40.4943,19.6775,300.2,1.1,1,2023-02-26,0103,Aqua,MODIS,22,61.03,284.7,6.8,N,0
41.8109,20.3197,315.3,1.1,1.1,2023-02-26,0929,Terra,MODIS,76,61.03,286.2,16.9,D,0
41.8085,20.3337,305.8,1.1,1.1,2023-02-26,0929,Terra,MODIS,62,61.03,285.4,8.2,D,0
40.7698,20.7618,303.6,2.6,1.5,2023-03-13,1115,Aqua,MODIS,56,61.03,291,22,D,0
41.2709,20.4508,307.5,2.1,1.4,2023-03-24,1227,Aqua,MODIS,56,61.03,291.5,21.8,D,0
41.2693,20.429,311,2.1,1.4,2023-03-24,1227,Aqua,MODIS,67,61.03,294.9,28,D,0
41.0884,19.4935,304.9,2,1.4,2023-04-13,0949,Terra,MODIS,53,61.03,292.8,10.5,D,0
42.4164,20.1297,314.8,1.1,1,2023-05-06,0908,Terra,MODIS,71,61.03,295.6,10.7,D,0
42.0921,20.1441,310.8,1.1,1,2023-06-09,0924,Terra,MODIS,61,61.03,296,7.9,D,0
40.8191,19.6827,321.1,1.1,1,2023-06-09,0924,Terra,MODIS,76,61.03,302.2,10.5,D,0
42.092,20.1419,310.3,1.1,1,2023-06-21,0923,Terra,MODIS,54,61.03,297.5,5.7,D,0
40.7666,19.6169,322.2,1.1,1,2023-07-05,0906,Terra,MODIS,74,61.03,302.8,8.9,D,0
40.8143,19.4873,324.4,1.1,1,2023-07-09,1211,Aqua,MODIS,72,61.03,309.4,11.2,D,0
40.8127,19.475,360.1,1.1,1,2023-07-09,1211,Aqua,MODIS,100,61.03,310.9,80.4,D,0
40.7881,19.4428,331.2,1.1,1,2023-07-11,1156,Aqua,MODIS,80,61.03,310,19,D,0
40.8121,19.4743,328.9,1.1,1,2023-07-11,1156,Aqua,MODIS,78,61.03,309,16.3,D,0
40.8101,19.4621,327.9,1.1,1,2023-07-11,1156,Aqua,MODIS,68,61.03,307.1,14.5,D,0
40.8211,19.4717,322.7,1.1,1,2023-07-11,1156,Aqua,MODIS,31,61.03,308,7.8,D,0
40.8257,19.4739,303.1,1.3,1.1,2023-07-12,2002,Terra,MODIS,53,61.03,292.1,6.7,N,0
40.763,19.4774,325.3,1.4,1.2,2023-07-14,1224,Aqua,MODIS,68,61.03,310,15,D,0
40.8874,19.6894,324.8,1.5,1.2,2023-07-14,1224,Aqua,MODIS,69,61.03,309.7,12.9,D,0
40.8904,19.6832,325.4,1.5,1.2,2023-07-14,1224,Aqua,MODIS,72,61.03,309.9,12.6,D,0
40.8432,19.4876,326.4,1.1,1,2023-07-18,1155,Aqua,MODIS,62,61.03,311.1,9,D,0
41.3769,19.5621,329.3,1.1,1,2023-07-18,1155,Aqua,MODIS,80,61.03,308,15.4,D,0
41.3749,19.5498,341.7,1.1,1,2023-07-18,1155,Aqua,MODIS,90,61.03,309.1,35.6,D,0
40.7537,19.4013,322.6,1.7,1.3,2023-07-19,0849,Terra,MODIS,49,61.03,307.4,13.9,D,0
40.8174,19.4855,333,1.2,1.1,2023-07-20,0929,Terra,MODIS,83,61.03,310,28.1,D,0
40.82,19.4712,324.4,1.2,1.1,2023-07-20,0929,Terra,MODIS,69,61.03,309.8,13,D,0
40.3463,19.5084,332.9,1.3,1.2,2023-07-21,1223,Aqua,MODIS,75,61.03,313.7,25.2,D,0
40.6548,19.5482,326.4,1.4,1.2,2023-07-21,1223,Aqua,MODIS,67,61.03,308.1,15.6,D,0
40.6588,19.5685,321.5,1,1,2023-07-22,2017,Terra,MODIS,100,61.03,297.6,16.6,N,0
40.6572,19.557,326.7,1,1,2023-07-22,2017,Terra,MODIS,100,61.03,297.7,22.1,N,0
40.6651,19.5595,306.6,1,1,2023-07-23,0103,Aqua,MODIS,68,61.03,294,6.1,N,0
40.6633,19.5711,306.3,1,1,2023-07-23,0103,Aqua,MODIS,67,61.03,295.6,6,N,0
