latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.749,6.2602,300.6,1.2,1.1,2023-01-01,1025,Terra,MODIS,39,61.03,288.1,6.3,D,2
31.6663,6.0486,307.8,1.5,1.2,2023-01-01,1026,Terra,MODIS,53,61.03,293,9.2,D,2
36.6019,4.909,300.9,1.8,1.3,2023-01-01,1325,Aqua,MODIS,33,61.03,290.5,5.1,D,0
36.5329,4.6753,311.4,1.8,1.3,2023-01-01,1325,Aqua,MODIS,71,61.03,294,20.8,D,0
36.5347,4.6949,311.9,1.8,1.3,2023-01-01,1325,Aqua,MODIS,72,61.03,294.1,21.9,D,0
36.6086,4.9019,305.9,1.8,1.3,2023-01-01,1325,Aqua,MODIS,61,61.03,291.5,11.5,D,0
36.6002,4.8896,305.1,1.8,1.3,2023-01-01,1325,Aqua,MODIS,61,61.03,293.2,11.2,D,0
36.8578,4.4683,300.7,1.7,1.3,2023-01-01,1325,Aqua,MODIS,23,61.03,290.3,6.8,D,0
32.1397,6.4743,302.4,1.1,1.1,2023-01-02,0128,Aqua,MODIS,49,61.03,274.7,12.5,N,0
31.4014,6.9409,306.2,1.1,1,2023-01-02,0128,Aqua,MODIS,67,61.03,275.4,13.7,N,0
28.559,7.5214,305.9,1,1,2023-01-02,0129,Aqua,MODIS,66,61.03,279.3,11.2,N,2
36.7872,7.6967,306.4,1.4,1.2,2023-01-02,1230,Aqua,MODIS,63,61.03,295.8,7.8,D,2
35.8088,-0.2538,306.6,1,1,2023-01-03,0209,Aqua,MODIS,69,61.03,275.8,11.1,N,2
36.5275,7.6945,303,1,1,2023-01-03,1009,Terra,MODIS,54,61.03,289.1,5.8,D,2
36.9143,6.6566,300.5,1,1,2023-01-03,1009,Terra,MODIS,29,61.03,285.3,5.7,D,0
36.742,6.2555,300.1,1,1,2023-01-03,1009,Terra,MODIS,25,61.03,286.8,5,D,2
36.5257,7.7058,308.3,1,1,2023-01-03,1009,Terra,MODIS,67,61.03,288.1,9.3,D,2
35.3033,6.7994,303.4,1,1,2023-01-03,1010,Terra,MODIS,56,61.03,287.8,6.5,D,0
35.8049,-0.2517,307.6,1.9,1.3,2023-01-03,1010,Terra,MODIS,40,61.03,286.6,17.9,D,2
35.8036,-0.2565,317.2,1.1,1,2023-01-03,1312,Aqua,MODIS,73,61.03,291.2,14.6,D,2
27.9247,9.2491,300.2,1.1,1,2023-01-03,2109,Terra,MODIS,22,61.03,278.7,8.8,N,2
28.5557,7.5161,306.9,1.3,1.1,2023-01-03,2109,Terra,MODIS,70,61.03,280,15.8,N,2
28.6036,7.2557,302.1,1.3,1.1,2023-01-03,2109,Terra,MODIS,46,61.03,280.3,12.2,N,2
31.6638,6.0547,311.5,1.4,1.2,2023-01-03,2110,Terra,MODIS,83,61.03,281.8,24.1,N,2
31.393,6.9317,307.3,1.2,1.1,2023-01-03,2110,Terra,MODIS,71,61.03,279.4,17.5,N,0
32.1394,6.4693,302.1,1.3,1.1,2023-01-03,2110,Terra,MODIS,46,61.03,277.4,14.1,N,0
32.3572,6.9714,304.2,1.2,1.1,2023-01-03,2110,Terra,MODIS,59,61.03,276.9,13.9,N,2
36.7456,6.2554,305.5,1.1,1.1,2023-01-03,2112,Terra,MODIS,64,61.03,279.2,12.7,N,2
35.8105,-0.2615,305.3,1.3,1.1,2023-01-04,1051,Terra,MODIS,46,61.03,289.3,7.4,D,2
35.8081,-0.248,306.9,1.3,1.1,2023-01-04,1051,Terra,MODIS,49,61.03,289.7,8.9,D,2
35.8075,-0.2599,311,1,1,2023-01-04,2153,Terra,MODIS,81,61.03,285.5,13,N,2
35.809,-0.2489,302.6,1,1,2023-01-04,2153,Terra,MODIS,50,61.03,286.3,7.3,N,2
35.8058,-0.2479,302.4,1.2,1.1,2023-01-05,0156,Aqua,MODIS,49,61.03,283.6,9.6,N,2
36.8771,6.9509,311.2,1.3,1.1,2023-01-05,0156,Aqua,MODIS,82,61.03,272.9,21.3,N,2
29.7035,6.699,315.7,1.7,1.3,2023-01-05,0158,Aqua,MODIS,78,61.03,278.7,37.7,N,2
29.6744,6.7276,309.3,1.7,1.3,2023-01-05,0158,Aqua,MODIS,77,61.03,278.9,29.2,N,0
29.7002,6.7161,371.1,1.7,1.3,2023-01-05,0158,Aqua,MODIS,100,61.03,287.1,271.3,N,2
36.877,6.9443,316.1,1.3,1.1,2023-01-05,0953,Terra,MODIS,58,61.03,285.2,21.5,D,2
35.8123,-0.266,301.6,3.4,1.7,2023-01-05,0954,Terra,MODIS,0,61.03,284.7,27.3,D,2
36.8693,6.9407,318.8,1.1,1,2023-01-05,1259,Aqua,MODIS,79,61.03,286.7,17.5,D,2
