latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-39.7579,-64.4477,312.4,1,1,2023-01-01,0300,Terra,MODIS,85,61.03,293.3,10.3,N,0
-39.7686,-64.4571,320.3,1,1,2023-01-01,0300,Terra,MODIS,100,61.03,294.3,16.2,N,0
-27.0758,-59.616,312.5,3,1.7,2023-01-01,0303,Terra,MODIS,84,61.03,292.4,43.9,N,0
-27.0813,-59.6395,305.6,3,1.7,2023-01-01,0303,Terra,MODIS,33,61.03,292.7,18.7,N,0
-27.0612,-59.62,306.7,3,1.7,2023-01-01,0303,Terra,MODIS,55,61.03,292.4,24.9,N,0
-27.0749,-59.6097,310.3,3,1.7,2023-01-01,0303,Terra,MODIS,68,61.03,292.3,37.1,N,0
-23.9858,-61.2843,307.8,2.7,1.6,2023-01-01,0304,Terra,MODIS,21,61.03,292.4,22.7,N,0
-23.9807,-61.258,308.3,2.7,1.6,2023-01-01,0304,Terra,MODIS,55,61.03,292.3,24.1,N,0
-27.0759,-59.6131,319.4,2.7,1.6,2023-01-01,0558,Aqua,MODIS,99,61.03,293.3,64.6,N,0
-27.0717,-59.6078,317.7,2.7,1.6,2023-01-01,0558,Aqua,MODIS,96,61.03,293.1,56.4,N,0
-38.6491,-68.2628,325.1,3,1.6,2023-01-01,1801,Aqua,MODIS,36,61.03,300.1,77.3,D,0
-35.0746,-66.3378,346.9,2.1,1.4,2023-01-01,1802,Aqua,MODIS,93,61.03,308.6,128.3,D,0
-35.0891,-66.3591,380,2.1,1.4,2023-01-01,1802,Aqua,MODIS,100,61.03,309.5,409.7,D,0
-35.0872,-66.3363,353.4,2.1,1.4,2023-01-01,1802,Aqua,MODIS,97,61.03,306.8,169.2,D,0
-35.0769,-66.3656,357.4,2.1,1.4,2023-01-01,1802,Aqua,MODIS,98,61.03,307.2,197.1,D,0
-35.0896,-66.3641,354,2.1,1.4,2023-01-01,1802,Aqua,MODIS,97,61.03,307.8,173,D,0
-35.0764,-66.3607,364.8,2.1,1.4,2023-01-01,1802,Aqua,MODIS,100,61.03,307.8,254.7,D,0
-35.0876,-66.3413,359.1,2.1,1.4,2023-01-01,1802,Aqua,MODIS,99,61.03,307.6,209.8,D,0
-35.0749,-66.3428,364.3,2.1,1.4,2023-01-01,1802,Aqua,MODIS,100,61.03,309.7,251.3,D,0
-30.9876,-64.0919,318,1.3,1.1,2023-01-01,1803,Aqua,MODIS,42,61.03,302.4,9.1,D,2
-33.3879,-64.7265,311.8,1.6,1.2,2023-01-01,1803,Aqua,MODIS,41,61.03,297.7,9.8,D,2
-32.6971,-62.1035,314.6,1.1,1.1,2023-01-01,1803,Aqua,MODIS,27,61.03,298.6,6.2,D,2
