latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.2094,44.3945,300.1,1.1,1,2023-01-01,1009,Aqua,MODIS,28,61.03,282.6,5.9,D,0
40.1519,45.3567,300.1,1.1,1.1,2023-01-02,0748,Terra,MODIS,19,61.03,276.7,7.6,D,0
40.6324,44.5289,315.5,1.5,1.2,2023-01-04,1038,Aqua,MODIS,76,61.03,285.9,28.9,D,0
40.6307,44.5105,309.6,1.5,1.2,2023-01-04,1038,Aqua,MODIS,63,61.03,282.7,20.6,D,0
40.94,44.3156,304.1,1.5,1.2,2023-01-04,1038,Aqua,MODIS,49,61.03,287.1,14.7,D,0
39.567,46.2567,348.2,1.3,1.1,2023-01-06,0716,Terra,MODIS,0,61.03,282.1,91.2,D,0
39.5576,46.2678,333.4,1.2,1.1,2023-01-06,1025,Aqua,MODIS,88,61.03,280.7,46,D,0
39.5672,46.2645,327.9,1.2,1.1,2023-01-06,1025,Aqua,MODIS,55,61.03,279.7,35.6,D,0
39.3542,46.2013,302.3,1.4,1.2,2023-01-20,1030,Aqua,MODIS,46,61.03,282.6,9.5,D,0
40.594,45.2557,307.2,1.3,1.1,2023-01-20,1031,Aqua,MODIS,28,61.03,286.2,12.4,D,0
39.3907,46.1738,300.3,2.5,1.5,2023-01-27,0656,Terra,MODIS,34,61.03,278.2,26.6,D,0
39.3873,46.1631,309.3,1.5,1.2,2023-01-27,1033,Aqua,MODIS,60,61.03,282.8,19.2,D,0
39.8062,45.3745,303.2,1.4,1.2,2023-01-27,1033,Aqua,MODIS,54,61.03,283.3,8.9,D,0
40.7579,44.7037,321.3,1.3,1.1,2023-01-27,1034,Aqua,MODIS,60,61.03,282.7,27.7,D,0
40.7682,44.7099,319.9,1.3,1.1,2023-01-27,1034,Aqua,MODIS,49,61.03,281.9,25.1,D,0
40.7665,44.6943,328.6,1.3,1.1,2023-01-27,1034,Aqua,MODIS,74,61.03,285.5,38.8,D,0
40.7757,44.7399,316.8,2.9,1.6,2023-01-27,2233,Aqua,MODIS,94,61.03,265.8,100,N,0
40.7753,44.7322,316,2.9,1.6,2023-01-27,2233,Aqua,MODIS,92,61.03,265.3,96.9,N,0
40.084,44.3971,306.1,1.1,1,2023-02-14,1012,Aqua,MODIS,63,61.03,286,7.7,D,2
40.0802,44.1096,309,1.4,1.2,2023-02-17,1040,Aqua,MODIS,68,61.03,286.8,13.7,D,0
40.0493,44.5056,308,2.6,1.5,2023-02-22,1056,Aqua,MODIS,54,61.03,292.8,17.5,D,0
40.0473,44.4766,309.9,2.6,1.5,2023-02-22,1056,Aqua,MODIS,67,61.03,293.6,22.4,D,0
40.0563,44.4968,312.2,2.6,1.5,2023-02-22,1056,Aqua,MODIS,72,61.03,292.6,31.1,D,0
40.0828,44.5535,304.3,1.2,1.1,2023-02-23,0725,Terra,MODIS,58,61.03,291.7,4.7,D,0
39.7982,44.6997,311.4,1.3,1.1,2023-02-23,1000,Aqua,MODIS,71,61.03,291.3,12.6,D,0
40.0632,44.5103,315.4,1.8,1.3,2023-02-24,0806,Terra,MODIS,76,61.03,287.8,31.4,D,0
39.8791,44.5683,328.6,1.6,1.2,2023-02-24,1042,Aqua,MODIS,86,61.03,288.8,48.6,D,0
39.8902,44.5666,315.5,1.6,1.2,2023-02-24,1042,Aqua,MODIS,47,61.03,289.5,21.3,D,0
40.0772,44.5531,304.7,1.1,1.1,2023-02-26,0750,Terra,MODIS,60,61.03,291.5,5,D,0
40.075,44.3046,301.2,1.1,1.1,2023-02-26,0750,Terra,MODIS,39,61.03,288.4,3.3,D,2
40.0849,44.4049,309.7,1.1,1,2023-02-26,1029,Aqua,MODIS,66,61.03,297.2,5.6,D,2
40.0923,44.3343,304.2,1,1,2023-02-28,1015,Aqua,MODIS,58,61.03,284.8,3.5,D,2
38.9915,46.2011,319.9,1.2,1.1,2023-03-05,0743,Terra,MODIS,78,61.03,292.8,21.3,D,0
38.9893,46.2138,312.7,1.2,1.1,2023-03-05,0743,Terra,MODIS,70,61.03,289.1,13.5,D,0
40.0949,44.3706,309.8,1.2,1.1,2023-03-07,0727,Terra,MODIS,69,61.03,296.5,6.8,D,0
39.8655,44.5862,338.6,1,1,2023-03-07,1017,Aqua,MODIS,86,61.03,300,35.2,D,0
40.0857,44.3919,312.4,1,1,2023-03-07,1017,Aqua,MODIS,69,61.03,299.5,4.8,D,2
40.0344,44.0554,315.2,1,1,2023-03-07,1017,Aqua,MODIS,63,61.03,299.5,7.1,D,2
40.0326,44.0438,319.7,1,1,2023-03-07,1017,Aqua,MODIS,77,61.03,302,11.2,D,0
40.217,44.279,318.4,1,1,2023-03-07,1017,Aqua,MODIS,77,61.03,298.3,10.9,D,0
40.1367,43.9609,312.2,1.6,1.3,2023-03-10,1046,Aqua,MODIS,68,61.03,295.3,12,D,2
38.9314,46.3789,311.6,2.4,1.5,2023-03-11,0655,Terra,MODIS,68,61.03,297.4,18.4,D,0
39.479,46.2065,312.2,1.6,1.2,2023-03-11,0950,Aqua,MODIS,51,61.03,293.7,17.3,D,0
39.225,46.3565,309,1.4,1.2,2023-03-12,1032,Aqua,MODIS,34,61.03,287.3,9.9,D,0
39.506,46.1615,305.9,1.4,1.2,2023-03-12,1032,Aqua,MODIS,38,61.03,281.2,8.3,D,0
40.8627,45.4461,309.5,1.3,1.1,2023-03-12,1032,Aqua,MODIS,61,61.03,294.5,7.8,D,2
39.2345,46.3695,327.7,1.1,1.1,2023-03-14,0720,Terra,MODIS,82,61.03,299.1,25.7,D,0
39.5071,45.9105,312.2,1,1,2023-03-14,1018,Aqua,MODIS,19,61.03,299.2,6.1,D,0
39.816,44.6432,331,1,1,2023-03-14,1018,Aqua,MODIS,85,61.03,295.1,21.9,D,0
