latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.2752,14.3347,305.6,1.3,1.1,2023-01-01,1150,Aqua,MODIS,47,61.03,277.7,13.9,D,2
48.2756,14.3407,315.3,1,1,2023-01-02,0123,Aqua,MODIS,91,61.03,275.6,18.9,N,2
48.2741,14.3331,308.1,1.2,1.1,2023-01-07,0934,Terra,MODIS,63,61.03,282.8,15.1,D,2
48.2693,14.3349,300.4,2.4,1.5,2023-01-07,1249,Aqua,MODIS,32,61.03,284,22,D,2
48.2791,14.3341,306.3,1,1,2023-01-17,0953,Terra,MODIS,48,61.03,278.6,11.2,D,2
48.2759,14.3439,300.8,1.1,1,2023-01-19,2045,Terra,MODIS,34,61.03,271.2,10.3,N,2
48.2742,14.3299,308.6,1.1,1,2023-01-19,2045,Terra,MODIS,75,61.03,271.5,15.5,N,2
48.2737,14.33,309.3,1.3,1.1,2023-02-04,2016,Terra,MODIS,66,61.03,271.2,22.8,N,2
48.2773,14.3408,300.1,1.3,1.1,2023-02-05,2057,Terra,MODIS,18,61.03,271.4,14.6,N,2
48.2759,14.3363,307.5,1.1,1.1,2023-02-06,0137,Aqua,MODIS,72,61.03,267.9,17,N,2
48.2728,14.3356,311.7,1.2,1.1,2023-02-07,0932,Terra,MODIS,62,61.03,275.7,21.1,D,2
47.9268,16.3359,302,1.1,1,2023-02-07,0932,Terra,MODIS,50,61.03,274,10.2,D,0
47.9251,16.3498,304.1,1.1,1,2023-02-07,0932,Terra,MODIS,58,61.03,274.1,11.4,D,0
48.2723,14.3344,315,1,1,2023-02-07,2041,Terra,MODIS,90,61.03,269.5,19.3,N,2
48.2811,14.3317,301.8,1,1,2023-02-07,2041,Terra,MODIS,44,61.03,270.7,10.1,N,2
48.2731,14.3337,303.2,1.4,1.2,2023-02-08,1233,Aqua,MODIS,48,61.03,279,15.4,D,2
48.272,14.3346,300.4,1.9,1.4,2023-02-09,0916,Terra,MODIS,27,61.03,276.4,20.6,D,2
48.2721,14.3352,305.9,1.8,1.3,2023-02-09,1137,Aqua,MODIS,0,61.03,280,24,D,2
48.2785,14.3382,301.6,1.1,1,2023-02-09,2025,Terra,MODIS,42,61.03,271.8,11.8,N,2
48.2712,14.3377,321.6,1.1,1,2023-02-10,1219,Aqua,MODIS,70,61.03,281.1,25.6,D,2
47.9147,16.3141,343.5,1.4,1.2,2023-02-21,0918,Terra,MODIS,93,61.03,289.2,83.7,D,0
47.9129,16.3326,300.1,1.4,1.2,2023-02-21,0918,Terra,MODIS,29,61.03,287,7.6,D,0
48.277,14.3327,301.2,1.2,1.1,2023-02-21,1155,Aqua,MODIS,39,61.03,286.1,6.1,D,2
48.2803,14.3372,306,1,1,2023-02-22,0128,Aqua,MODIS,67,61.03,277.7,12.1,N,2
48.2753,14.3344,320.5,1.1,1,2023-02-22,0959,Terra,MODIS,76,61.03,282,22.3,D,2
48.2729,14.3485,304.7,1.1,1,2023-02-22,0959,Terra,MODIS,52,61.03,280,8.4,D,2
48.2692,14.3355,305.9,1.6,1.2,2023-02-22,1237,Aqua,MODIS,62,61.03,286.6,14.6,D,2
48.6385,15.2365,304.1,1.8,1.3,2023-02-22,1237,Aqua,MODIS,56,61.03,277.4,17,D,0
48.646,15.2278,302.7,1.8,1.3,2023-02-22,1237,Aqua,MODIS,50,61.03,277.6,15.2,D,0
48.2739,14.3322,322.1,1,1,2023-02-26,2036,Terra,MODIS,100,61.03,271.4,25.5,N,2
48.2736,14.3371,317.9,1.1,1.1,2023-02-28,1157,Aqua,MODIS,74,61.03,285.4,21.7,D,2
48.2781,14.3258,302.5,1.2,1.1,2023-02-28,2020,Terra,MODIS,49,61.03,274,12.8,N,2
48.2824,14.3328,300.1,1,1,2023-03-01,0130,Aqua,MODIS,17,61.03,272.8,9.4,N,2
48.2761,14.3387,318.7,1,1,2023-03-01,0952,Terra,MODIS,60,61.03,284.4,19.1,D,2
48.2692,14.3302,307.3,1.7,1.3,2023-03-01,1239,Aqua,MODIS,61,61.03,287.9,19.3,D,2
