latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.147,-78.1861,314.1,1,1,2023-01-13,1838,Aqua,MODIS,60,61.03,295.6,8.3,D,0
25.1383,-78.1565,307.8,1,1,2023-01-15,0305,Terra,MODIS,51,61.03,286.2,9.6,N,0
25.1338,-78.1863,316.2,1,1,2023-01-15,0305,Terra,MODIS,90,61.03,286.4,15.2,N,0
25.1313,-78.1517,323.2,1.4,1.2,2023-01-15,1825,Aqua,MODIS,62,61.03,290.5,28,D,0
25.1415,-78.1539,317.1,1.4,1.2,2023-01-15,1825,Aqua,MODIS,33,61.03,292.4,18.9,D,0
25.1393,-78.1671,316.3,1.4,1.2,2023-01-15,1825,Aqua,MODIS,53,61.03,289.6,17.4,D,0
24.6608,-78.0546,319.5,1.3,1.1,2023-01-22,1828,Aqua,MODIS,71,61.03,299.4,17.1,D,0
24.6726,-78.0444,332,1.3,1.1,2023-01-22,1828,Aqua,MODIS,84,61.03,296.8,36.2,D,0
24.6706,-78.0566,358.4,1.3,1.1,2023-01-22,1828,Aqua,MODIS,99,61.03,301.5,106.9,D,0
24.6686,-78.0688,314.9,1.3,1.1,2023-01-22,1828,Aqua,MODIS,48,61.03,296.4,10.8,D,0
24.6632,-78.0448,310.4,1.1,1,2023-01-23,1546,Terra,MODIS,38,61.03,297.2,5.9,D,0
24.6641,-78.0411,311.5,2.4,1.5,2023-01-23,1910,Aqua,MODIS,36,61.03,284.4,32.5,D,0
24.6603,-78.0643,311.7,2.1,1.4,2023-01-24,1814,Aqua,MODIS,50,61.03,295.1,18.6,D,0
26.7015,-77.4069,315.1,1.1,1.1,2023-02-03,1846,Aqua,MODIS,48,61.03,299.9,8.7,D,0
26.7468,-77.3979,315.2,1.1,1.1,2023-02-03,1846,Aqua,MODIS,41,61.03,299.4,8.6,D,0
26.7454,-77.4092,327.9,1.1,1.1,2023-02-03,1846,Aqua,MODIS,81,61.03,300.6,24,D,0
24.7622,-77.911,322.9,1.1,1,2023-02-10,1848,Aqua,MODIS,76,61.03,300.3,16.8,D,0
24.7609,-77.9216,312,1.1,1,2023-02-10,1848,Aqua,MODIS,32,61.03,298.3,5.5,D,0
25.0271,-78.0697,314.9,1.1,1,2023-02-10,1848,Aqua,MODIS,62,61.03,300.1,8.9,D,0
25.0257,-78.0803,331.1,1.1,1,2023-02-10,1848,Aqua,MODIS,84,61.03,300.9,27.8,D,0
23.0944,-75.0355,313.6,1,1,2023-02-12,1834,Aqua,MODIS,48,61.03,299.9,7.5,D,0
23.0931,-75.0454,315.4,1,1,2023-02-12,1834,Aqua,MODIS,0,61.03,300.3,9,D,0
24.7599,-77.9013,314.9,1,1,2023-02-12,1835,Aqua,MODIS,59,61.03,298.4,9,D,0
24.7583,-77.9115,316.2,1,1,2023-02-12,1835,Aqua,MODIS,62,61.03,298.1,10.2,D,0
24.7528,-77.9037,311.9,1.2,1.1,2023-02-13,1525,Terra,MODIS,52,61.03,294.3,10.1,D,0
24.75,-77.9126,311.7,3.2,1.7,2023-02-13,1917,Aqua,MODIS,48,61.03,294.7,45.8,D,0
24.7434,-77.9056,322.7,1.6,1.2,2023-02-14,1822,Aqua,MODIS,62,61.03,296.2,28.3,D,0
24.7408,-77.9207,316.5,1.6,1.2,2023-02-14,1822,Aqua,MODIS,31,61.03,296,17.2,D,0
25.0582,-78.0927,319.3,1.6,1.2,2023-02-14,1822,Aqua,MODIS,71,61.03,293,26.4,D,0
24.9018,-77.9498,307.1,1,1,2023-02-15,0302,Terra,MODIS,51,61.03,292.7,7.6,N,0
24.9004,-77.9597,316.8,1,1,2023-02-15,0302,Terra,MODIS,92,61.03,292.8,15.5,N,0
24.8989,-77.9736,313.7,1.8,1.3,2023-02-15,1904,Aqua,MODIS,48,61.03,297.6,19.3,D,0
25.0671,-78.0788,311.3,1.3,1.1,2023-02-16,1550,Terra,MODIS,47,61.03,297.8,8.2,D,0
25.0644,-78.0732,311.8,1.3,1.1,2023-02-16,1550,Terra,MODIS,51,61.03,297.7,8.8,D,0
