latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.5594,92.1216,309.5,1.1,1,2023-01-02,0729,Aqua,MODIS,57,61.03,297.3,7.1,D,0
25.051,92.1526,314.3,1.2,1.1,2023-01-02,0729,Aqua,MODIS,73,61.03,298.9,10.4,D,0
24.6402,89.0712,309.7,1,1,2023-01-02,0729,Aqua,MODIS,34,61.03,296.8,4.5,D,0
25.0711,92.0798,310.6,1.2,1.1,2023-01-02,0729,Aqua,MODIS,67,61.03,298.6,6.8,D,0
23.3898,88.9791,308.1,1,1,2023-01-02,0729,Aqua,MODIS,42,61.03,296.5,5.4,D,0
24.6977,89.1512,318.4,1,1,2023-01-02,0729,Aqua,MODIS,76,61.03,296.8,11.7,D,0
24.691,88.9816,326.5,1,1,2023-01-02,0729,Aqua,MODIS,83,61.03,297,19.4,D,2
24.6896,88.9718,314.8,1,1,2023-01-02,0729,Aqua,MODIS,47,61.03,297,7.8,D,0
24.7196,89.1115,308.2,1,1,2023-01-02,0729,Aqua,MODIS,59,61.03,296.8,4.6,D,0
23.3913,88.9889,306.3,1,1,2023-01-02,0729,Aqua,MODIS,41,61.03,296,4.1,D,0
22.6572,92.3578,309.3,1.1,1.1,2023-01-02,0729,Aqua,MODIS,49,61.03,298.9,7.6,D,0
24.7007,88.9842,319.5,1,1,2023-01-02,0729,Aqua,MODIS,77,61.03,297,13,D,0
24.7318,89.0088,313.4,1,1,2023-01-02,0729,Aqua,MODIS,56,61.03,297.3,6.4,D,0
24.7407,89.0072,311.7,1,1,2023-01-02,0729,Aqua,MODIS,40,61.03,297.4,5.2,D,0
25.0414,92.1541,310.3,1.2,1.1,2023-01-02,0729,Aqua,MODIS,53,61.03,299,6.2,D,0
21.998,92.2132,301.7,1,1,2023-01-04,0420,Terra,MODIS,48,61.03,291.5,4.1,D,0
25.0529,92.2516,317,1,1,2023-01-04,0716,Aqua,MODIS,75,61.03,299,10.2,D,0
24.574,88.1425,300.8,1.2,1.1,2023-01-07,0444,Terra,MODIS,22,61.03,290.6,4.5,D,0
24.5758,88.1313,301.3,1.2,1.1,2023-01-07,0444,Terra,MODIS,46,61.03,290.5,5,D,0
23.2646,91.9337,310.7,1.2,1.1,2023-01-09,0732,Aqua,MODIS,62,61.03,298.6,5.6,D,0
22.8784,92.0335,311.1,1.2,1.1,2023-01-09,0732,Aqua,MODIS,54,61.03,298.3,6.3,D,0
25.0426,92.1201,312.4,1,1,2023-01-11,0719,Aqua,MODIS,68,61.03,300,5.5,D,0
25.044,92.1298,311.5,1,1,2023-01-11,0719,Aqua,MODIS,66,61.03,300.3,4.7,D,0
24.5756,88.1343,304.9,1.6,1.3,2023-01-12,0453,Terra,MODIS,47,61.03,294.1,9.4,D,0
25.1005,91.9632,308,1.3,1.1,2023-01-13,0706,Aqua,MODIS,65,61.03,295.5,7.2,D,0
22.5829,91.7479,311.4,1.2,1.1,2023-01-16,0735,Aqua,MODIS,67,61.03,298.2,8.9,D,0
22.8337,92.0439,312.1,1.3,1.1,2023-01-16,0735,Aqua,MODIS,69,61.03,297.3,10.7,D,0
22.8952,92.0547,309.2,1.3,1.1,2023-01-16,0735,Aqua,MODIS,0,61.03,297.5,7.8,D,0
25.0325,92.2322,309,1.4,1.2,2023-01-16,0735,Aqua,MODIS,67,61.03,295.2,7.4,D,0
25.0309,92.2185,332.8,1.4,1.2,2023-01-16,0735,Aqua,MODIS,88,61.03,296.7,46.7,D,0
25.0825,92.0669,320.7,1.4,1.2,2023-01-16,0735,Aqua,MODIS,80,61.03,295.9,23.1,D,0
25.0809,92.0534,307.4,1.4,1.2,2023-01-16,0735,Aqua,MODIS,64,61.03,295.3,6,D,0
22.5844,91.7598,317.2,1.2,1.1,2023-01-16,0735,Aqua,MODIS,75,61.03,297.4,14.6,D,0
24.9856,92.2431,308.8,1,1,2023-01-18,0722,Aqua,MODIS,66,61.03,297.8,5,D,0
24.8558,91.968,307.1,1,1,2023-01-18,0722,Aqua,MODIS,60,61.03,296.3,4.5,D,0
25.0359,92.2752,314.6,1,1,2023-01-18,0722,Aqua,MODIS,74,61.03,298.6,9.1,D,0
25.0807,91.9976,318.9,1,1,2023-01-18,0722,Aqua,MODIS,78,61.03,298.2,12.9,D,0
25.0794,91.9877,309.8,1,1,2023-01-18,0722,Aqua,MODIS,67,61.03,298.5,5.4,D,0
24.1763,88.7594,304.1,1.4,1.2,2023-01-19,0447,Terra,MODIS,0,61.03,294.1,8,D,0
22.8571,92.0619,310,1.3,1.1,2023-01-20,0708,Aqua,MODIS,0,61.03,297.3,8.6,D,0
21.1788,92.1704,316.8,1.3,1.1,2023-01-20,0708,Aqua,MODIS,71,61.03,301.1,12.9,D,0
23.5818,89.9628,308,1.6,1.3,2023-01-20,0709,Aqua,MODIS,42,61.03,297.2,11.4,D,0
23.1586,91.9812,319.7,2.4,1.5,2023-01-21,0751,Aqua,MODIS,77,61.03,300.4,45.2,D,0
23.7881,89.745,312.9,1.7,1.3,2023-01-21,0751,Aqua,MODIS,49,61.03,296.4,20.7,D,0
23.7863,89.7285,307.2,1.7,1.3,2023-01-21,0751,Aqua,MODIS,32,61.03,294.7,10.7,D,0
23.1512,91.9873,317.4,2.4,1.5,2023-01-21,0751,Aqua,MODIS,74,61.03,300.5,39.9,D,0
25.0818,92.0133,305.4,1,1,2023-01-23,0415,Terra,MODIS,61,61.03,294.6,4.3,D,0
23.1095,91.8856,309,1.4,1.2,2023-01-23,0738,Aqua,MODIS,60,61.03,298.6,6.6,D,0
21.92,90.5426,315.4,1,1,2023-01-25,0724,Aqua,MODIS,66,61.03,302.8,5.6,D,0
24.9863,92.2067,311.2,1,1,2023-01-25,0725,Aqua,MODIS,56,61.03,300.2,5.1,D,0
23.381,88.7607,326.6,1.2,1.1,2023-01-26,0440,Terra,MODIS,78,61.03,295.6,27.5,D,0
23.3828,88.7495,334.5,1.2,1.1,2023-01-26,0440,Terra,MODIS,88,61.03,296.1,40.4,D,0
25.0687,92.0936,314.8,1.1,1,2023-01-27,0712,Aqua,MODIS,71,61.03,300.6,7.9,D,0
23.4231,91.1236,314.1,1.4,1.2,2023-01-30,0740,Aqua,MODIS,65,61.03,302.6,10,D,0
22.8991,92.0946,314,1.6,1.2,2023-01-30,0740,Aqua,MODIS,61,61.03,302.5,11.6,D,0
23.0988,91.8722,340.9,1,1,2023-02-01,0727,Aqua,MODIS,91,61.03,301.2,40.6,D,0
22.8059,91.8877,317.2,1,1,2023-02-01,0727,Aqua,MODIS,71,61.03,303.7,9,D,0
24.1787,88.7511,303.8,1,1,2023-02-02,0433,Terra,MODIS,37,61.03,291.2,3.9,D,0
25.0749,92.0678,316.7,1.1,1,2023-02-03,0714,Aqua,MODIS,65,61.03,304.8,6.8,D,0
23.9237,89.689,308,1.1,1.1,2023-02-04,0417,Terra,MODIS,0,61.03,296.5,5.6,D,0
23.9251,89.6783,312.5,1.1,1.1,2023-02-04,0417,Terra,MODIS,0,61.03,296.3,10.2,D,0
23.2474,91.8209,309.7,1.8,1.3,2023-02-05,0700,Aqua,MODIS,63,61.03,298.3,10.7,D,0
23.244,91.8148,308.9,1.8,1.3,2023-02-05,0700,Aqua,MODIS,62,61.03,298.4,10.1,D,0
22.7451,91.7994,311.8,1.8,1.3,2023-02-05,0700,Aqua,MODIS,66,61.03,300.6,13.5,D,0
22.8188,91.8932,311.7,1.6,1.3,2023-02-06,0743,Aqua,MODIS,61,61.03,300,11.6,D,0
23.5571,88.856,321.3,1,1,2023-02-08,0730,Aqua,MODIS,74,61.03,299.9,14.5,D,0
24.0985,88.9079,307.8,1,1,2023-02-09,0426,Terra,MODIS,37,61.03,296.8,5.3,D,0
20.9803,92.2451,313.4,1.1,1,2023-02-10,0715,Aqua,MODIS,51,61.03,302.5,6.1,D,0
21.9154,92.0941,315.8,1.1,1,2023-02-10,0716,Aqua,MODIS,69,61.03,299.2,9.6,D,0
21.9138,92.0839,314.7,1.1,1,2023-02-10,0716,Aqua,MODIS,60,61.03,300.1,8.6,D,0
23.1236,91.8986,320.5,1.1,1,2023-02-10,0716,Aqua,MODIS,76,61.03,300.1,14,D,0
23.6999,90.3468,311.1,1.2,1.1,2023-02-11,0411,Terra,MODIS,55,61.03,298.5,6.7,D,0
23.6974,90.3519,310.4,1.2,1.1,2023-02-11,0411,Terra,MODIS,38,61.03,298.6,6,D,0
24.8908,92.386,320.9,2.1,1.4,2023-02-13,0745,Aqua,MODIS,77,61.03,303,35,D,0
24.8913,92.3808,319.4,2.1,1.4,2023-02-13,0745,Aqua,MODIS,76,61.03,302.8,31.8,D,0
22.6301,91.9135,316.3,1.8,1.3,2023-02-13,0745,Aqua,MODIS,67,61.03,301.6,18.5,D,0
24.7077,89.6681,311,1.1,1.1,2023-02-14,0435,Terra,MODIS,0,61.03,300.1,8.7,D,0
24.675,89.7515,309.9,1.1,1.1,2023-02-14,0435,Terra,MODIS,0,61.03,299.4,8.2,D,0
24.0973,88.9094,309.5,1.1,1,2023-02-14,0435,Terra,MODIS,47,61.03,299.1,7,D,0
23.7874,89.6338,311.2,1.1,1.1,2023-02-14,0435,Terra,MODIS,49,61.03,300.8,9,D,0
24.7001,90.4632,310.7,1.2,1.1,2023-02-14,0435,Terra,MODIS,63,61.03,297.4,9.7,D,0
23.5076,88.8912,318.6,1.1,1,2023-02-14,0436,Terra,MODIS,75,61.03,297.7,15.1,D,0
