latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.0712,-59.5273,311.7,2.2,1.4,2023-02-17,1709,Aqua,MODIS,0,61.03,297.7,22,D,0
13.0864,-59.4856,319.1,1,1,2023-02-28,1417,Terra,MODIS,53,61.03,302.4,7.7,D,0
13.0864,-59.5447,356.1,1.8,1.3,2023-03-17,1715,Aqua,MODIS,85,61.03,306.4,146.5,D,0
13.0838,-59.5607,333.7,1.8,1.3,2023-03-17,1715,Aqua,MODIS,0,61.03,304.1,49.3,D,0
13.086,-59.5352,330.7,1.8,1.3,2023-03-17,1715,Aqua,MODIS,79,61.03,305.3,42.2,D,0
13.0833,-59.5511,363.7,1.8,1.3,2023-03-17,1715,Aqua,MODIS,87,61.03,307.1,195,D,0
13.1336,-59.463,320.2,1.7,1.3,2023-03-17,1715,Aqua,MODIS,54,61.03,305.9,14.5,D,0
13.1451,-59.4648,345.2,1.7,1.3,2023-03-17,1715,Aqua,MODIS,93,61.03,307,92.6,D,0
13.1425,-59.4802,331.4,1.7,1.3,2023-03-17,1715,Aqua,MODIS,84,61.03,302.1,44.3,D,0
13.2548,-59.5705,315.1,1.8,1.3,2023-03-17,1715,Aqua,MODIS,47,61.03,302.6,14.6,D,0
13.2522,-59.5858,314,1.8,1.3,2023-03-17,1715,Aqua,MODIS,57,61.03,301.7,11.9,D,0
13.2518,-59.5766,319.4,1.8,1.3,2023-03-17,1715,Aqua,MODIS,46,61.03,302.9,20.2,D,0
13.1207,-59.4606,325.4,1.1,1.1,2023-03-20,1744,Aqua,MODIS,23,61.03,306.1,9.3,D,0
13.1194,-59.4707,340.7,1.1,1.1,2023-03-20,1744,Aqua,MODIS,90,61.03,306.9,35,D,0
13.1287,-59.4721,362.3,1.1,1.1,2023-03-20,1744,Aqua,MODIS,100,61.03,307.8,90.6,D,0
13.1273,-59.4822,348.4,1.1,1.1,2023-03-20,1744,Aqua,MODIS,94,61.03,305.6,52,D,0
13.1346,-59.4683,322.4,1.1,1.1,2023-03-20,1744,Aqua,MODIS,51,61.03,305.6,8.1,D,0
13.1571,-59.5131,322.2,1.1,1,2023-03-20,1744,Aqua,MODIS,72,61.03,301.6,9.8,D,0
13.1678,-59.5044,332.7,1.1,1,2023-03-20,1744,Aqua,MODIS,85,61.03,303.4,23.9,D,0
13.1665,-59.5145,367.7,1.1,1,2023-03-20,1744,Aqua,MODIS,100,61.03,307.1,112.9,D,0
13.2721,-59.628,335.9,1.1,1,2023-03-20,1744,Aqua,MODIS,82,61.03,304.9,29.2,D,0
13.11,-59.6158,316.3,1,1,2023-03-24,1419,Terra,MODIS,0,61.03,299.9,9.8,D,2
13.096,-59.5392,333.2,1.2,1.1,2023-03-26,1403,Terra,MODIS,85,61.03,304.7,28.7,D,0
13.0945,-59.5282,336.1,1.2,1.1,2023-03-26,1403,Terra,MODIS,87,61.03,305.1,33.6,D,0
13.0863,-59.5406,330.5,1.2,1.1,2023-03-26,1403,Terra,MODIS,83,61.03,305.6,23.5,D,0
13.0848,-59.5296,323.1,1.2,1.1,2023-03-26,1403,Terra,MODIS,69,61.03,304.6,11.3,D,0
13.1715,-59.5111,315.3,3.1,1.7,2023-03-26,1703,Aqua,MODIS,53,61.03,299.4,40,D,0
13.3144,-59.6264,318.2,1,1,2023-03-31,1411,Terra,MODIS,65,61.03,302.2,5.9,D,0
13.1046,-59.5475,365,1,1,2023-04-05,1732,Aqua,MODIS,100,61.03,304.6,94,D,0
13.1032,-59.5569,358.5,1,1,2023-04-05,1732,Aqua,MODIS,99,61.03,305.4,74.3,D,0
13.2656,-59.6171,325.2,2,1.4,2023-04-22,1801,Aqua,MODIS,59,61.03,294.9,36.9,D,0
13.2779,-59.6185,319,2,1.4,2023-04-22,1801,Aqua,MODIS,60,61.03,294,20.7,D,0
13.1514,-59.4541,308,1.3,1.2,2023-05-08,0143,Terra,MODIS,58,61.03,293,11,N,0
