latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.8942,29.3475,306.3,1,1,2023-01-03,0026,Aqua,MODIS,67,61.03,277.9,11.6,N,2
51.8907,29.3359,305.5,1,1,2023-01-03,1937,Terra,MODIS,65,61.03,274.2,11.9,N,2
52.8438,29.9922,304,1.5,1.2,2023-02-15,0827,Terra,MODIS,58,61.03,271.1,18.9,D,2
53.3308,23.8644,322.6,1.3,1.1,2023-03-16,1147,Aqua,MODIS,77,61.03,278.3,33.4,D,0
53.9239,27.6291,313.5,1.2,1.1,2023-03-17,0919,Terra,MODIS,74,61.03,279.8,17.9,D,2
53.9209,27.6458,310.4,1.2,1.1,2023-03-17,0919,Terra,MODIS,70,61.03,278.4,15.2,D,2
53.32,23.8669,307.4,1.7,1.3,2023-03-17,1051,Aqua,MODIS,65,61.03,283.7,20.6,D,0
53.5057,29.8378,303.8,1.1,1,2023-03-17,1051,Aqua,MODIS,0,61.03,279.2,10.5,D,0
53.3226,23.8725,307.7,1.7,1.3,2023-03-17,1051,Aqua,MODIS,66,61.03,283.6,22.2,D,0
53.3465,23.8909,316.8,2.2,1.4,2023-03-18,1000,Terra,MODIS,77,61.03,279.7,53.2,D,0
53.311,23.8663,320.3,2.2,1.4,2023-03-18,1000,Terra,MODIS,80,61.03,279.2,60.7,D,0
53.2991,23.8581,317.7,2.2,1.4,2023-03-18,1000,Terra,MODIS,78,61.03,278.4,53.3,D,0
53.2993,23.8534,315.8,2.2,1.4,2023-03-18,1000,Terra,MODIS,52,61.03,278.2,45.5,D,0
52.2537,23.7255,305.6,2.3,1.5,2023-03-18,1000,Terra,MODIS,62,61.03,280.6,30.5,D,0
52.2447,23.7125,303.5,2.3,1.5,2023-03-18,1000,Terra,MODIS,56,61.03,280.6,24.6,D,0
52.2436,23.7211,311.6,1,1,2023-03-18,1133,Aqua,MODIS,72,61.03,277.7,13.3,D,0
52.5178,25.0728,304.8,1.1,1,2023-03-18,1133,Aqua,MODIS,60,61.03,284.3,8.9,D,0
51.818,30.1415,302.1,1.1,1.1,2023-03-19,0903,Terra,MODIS,51,61.03,283.7,7.6,D,0
52.8787,25.9941,306.6,1,1,2023-03-19,0903,Terra,MODIS,64,61.03,283.2,9.1,D,0
52.2915,28.4442,305.8,1,1,2023-03-19,0903,Terra,MODIS,62,61.03,278.1,10,D,0
51.6275,30.3392,322.5,1.4,1.2,2023-03-19,1037,Aqua,MODIS,82,61.03,287.1,35.8,D,0
51.8116,30.1408,313.6,1.4,1.2,2023-03-19,1037,Aqua,MODIS,74,61.03,286.6,21.4,D,0
51.8217,30.1353,311,1.4,1.2,2023-03-19,1037,Aqua,MODIS,71,61.03,285.1,18.1,D,0
52.8418,29.9854,303.3,1.4,1.2,2023-03-19,1037,Aqua,MODIS,55,61.03,283.8,11.7,D,2
53.6735,24.1275,307.6,1,1,2023-03-20,1120,Aqua,MODIS,66,61.03,284.5,9.4,D,0
52.2911,31.4449,307.4,1,1,2023-03-21,0847,Terra,MODIS,65,61.03,282.5,9.4,D,0
51.6308,30.3607,336,1,1,2023-03-21,0847,Terra,MODIS,90,61.03,287.9,37,D,0
51.6287,30.3748,324.5,1,1,2023-03-21,0847,Terra,MODIS,83,61.03,286.9,22.1,D,0
54.261,25.4495,300.5,1.1,1,2023-03-22,1106,Aqua,MODIS,32,61.03,284.2,5.7,D,0
54.4606,26.4118,303.5,1,1,2023-03-22,1106,Aqua,MODIS,56,61.03,286.6,6.1,D,2
52.4753,30.9686,300.4,1,1,2023-03-26,0856,Terra,MODIS,35,61.03,286.7,3.9,D,2
51.896,29.3434,302.5,1,1,2023-03-30,0038,Aqua,MODIS,49,61.03,267.9,11.6,N,2
53.2622,31.7569,310.7,1,1,2023-04-09,0840,Terra,MODIS,64,61.03,288.7,9,D,0
53.1203,32.1766,307.2,1,1,2023-04-09,0840,Terra,MODIS,40,61.03,285.7,6.7,D,0
53.0945,32.0757,313.1,1.1,1.1,2023-04-09,1040,Aqua,MODIS,71,61.03,285.2,13.1,D,0
53.6699,31.613,302.1,1.7,1.3,2023-04-10,0921,Terra,MODIS,22,61.03,285.1,10.3,D,0
53.1058,32.1609,305.2,1.9,1.4,2023-04-10,0921,Terra,MODIS,28,61.03,287.6,14.6,D,0
53.1019,32.1397,305.6,4.2,1.9,2023-04-10,0944,Aqua,MODIS,54,61.03,286.3,51.8,D,0
52.8952,30.5029,300.3,1.3,1.1,2023-04-10,1122,Aqua,MODIS,0,61.03,286.7,5,D,0
54.03,27.416,307,1.1,1,2023-04-10,1122,Aqua,MODIS,65,61.03,292.4,7.1,D,0
54.8344,27.9374,300.8,1.9,1.4,2023-04-11,0823,Terra,MODIS,10,61.03,289.5,8.3,D,0
53.2492,30.6776,311.9,1.4,1.2,2023-04-11,0824,Terra,MODIS,72,61.03,289.3,16.9,D,0
52.845,29.9842,307.4,1.5,1.2,2023-04-11,0824,Terra,MODIS,65,61.03,293.6,12.4,D,2
51.6918,30.4085,311.9,4.3,1.9,2023-04-18,0954,Terra,MODIS,63,61.03,282.7,93.4,D,0
51.6882,30.4013,324.7,4.3,1.9,2023-04-18,0954,Terra,MODIS,83,61.03,283.1,199.8,D,0
54.6777,30.973,301.8,1,1,2023-04-19,0856,Terra,MODIS,49,61.03,289.4,3.4,D,0
54.8663,29.6332,305.4,1,1,2023-04-19,0856,Terra,MODIS,43,61.03,288.9,4.9,D,0
54.8109,29.8175,311.1,1,1,2023-04-19,0856,Terra,MODIS,71,61.03,290.3,9.6,D,0
54.8087,29.8326,317,1,1,2023-04-19,0856,Terra,MODIS,77,61.03,290.2,14.3,D,0
52.8453,29.9811,306.9,1,1,2023-04-19,0857,Terra,MODIS,64,61.03,290.7,6.7,D,2
