latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.1688,3.8153,313.5,1,1,2023-01-06,1031,Terra,MODIS,56,61.03,283.6,15.5,D,2
51.1636,3.8157,304.8,1.3,1.1,2023-01-08,1015,Terra,MODIS,49,61.03,279.7,13.6,D,2
51.171,3.8237,303.9,1.3,1.1,2023-01-08,1015,Terra,MODIS,41,61.03,279.9,12.6,D,2
51.1761,3.8152,302.7,1,1,2023-01-10,0208,Aqua,MODIS,51,61.03,276.9,9.4,N,2
51.175,3.8107,306.5,1,1,2023-01-11,1040,Terra,MODIS,0,61.03,268.5,11.4,D,2
51.174,3.8193,304.2,1,1,2023-01-17,0211,Aqua,MODIS,59,61.03,274.5,10.7,N,2
51.1692,3.8078,309.7,1.3,1.1,2023-01-18,1226,Aqua,MODIS,0,61.03,277.8,19.1,D,2
51.1767,3.8135,302.8,1.1,1,2023-01-19,0158,Aqua,MODIS,48,61.03,272.9,11.2,N,2
51.1707,3.8073,310.3,1.3,1.1,2023-01-21,1058,Terra,MODIS,61,61.03,276.1,22.3,D,2
51.1616,3.8104,300.7,1,1,2023-01-21,1255,Aqua,MODIS,38,61.03,275.8,8.1,D,2
51.1706,3.8074,304,1,1,2023-01-21,1255,Aqua,MODIS,44,61.03,276.9,10.2,D,2
51.1689,3.8086,307.6,1.4,1.2,2023-01-26,1311,Aqua,MODIS,0,61.03,280.1,18.7,D,2
51.1698,3.8095,309.3,1.1,1,2023-01-28,1258,Aqua,MODIS,52,61.03,280,13.7,D,2
51.1677,3.807,304.3,1,1,2023-01-30,1036,Terra,MODIS,44,61.03,280.5,8.9,D,2
51.165,3.8078,302.4,1,1,2023-01-30,1245,Aqua,MODIS,49,61.03,281.6,7.6,D,2
51.1702,3.8136,311,1,1,2023-01-31,0216,Aqua,MODIS,81,61.03,275.9,15.4,N,2
51.1679,3.8279,314.4,1,1,2023-01-31,0216,Aqua,MODIS,89,61.03,274.7,18.3,N,2
51.1726,3.8089,309.6,1.2,1.1,2023-02-01,1020,Terra,MODIS,60,61.03,280.5,15.8,D,2
51.1751,3.815,306.5,1,1,2023-02-06,1029,Terra,MODIS,29,61.03,281,9.2,D,2
51.1674,3.8058,302.8,1,1,2023-02-06,1029,Terra,MODIS,40,61.03,280.9,8.5,D,2
51.1655,3.8202,316.7,1,1,2023-02-06,1029,Terra,MODIS,77,61.03,280.6,18.6,D,2
51.1633,3.8065,303.2,1,1,2023-02-06,1247,Aqua,MODIS,42,61.03,283.4,7.6,D,2
51.1725,3.8113,306.7,1.4,1.2,2023-02-06,2139,Terra,MODIS,69,61.03,274.9,21.1,N,2
51.1711,3.8171,304.3,1.1,1,2023-02-07,0219,Aqua,MODIS,60,61.03,275.1,11.8,N,2
51.1699,3.8107,310,1.7,1.3,2023-02-07,2042,Terra,MODIS,79,61.03,273.2,34.1,N,2
51.1671,3.8093,310.7,1.1,1.1,2023-02-08,1234,Aqua,MODIS,61,61.03,281.8,15.9,D,2
51.1737,3.8198,303.2,1.1,1.1,2023-02-13,1022,Terra,MODIS,28,61.03,282.5,8,D,2
51.1692,3.8124,319.1,1.1,1.1,2023-02-13,1022,Terra,MODIS,69,61.03,283.7,23.6,D,2
51.1706,3.8107,311.9,1,1,2023-02-13,1250,Aqua,MODIS,54,61.03,287.3,11.9,D,2
51.1618,3.8139,302.4,1,1,2023-02-13,1250,Aqua,MODIS,33,61.03,286.3,5.8,D,2
51.1598,3.7999,301.7,1,1,2023-02-13,1250,Aqua,MODIS,0,61.03,286,5.2,D,2
51.1708,3.8112,309.7,1.1,1,2023-02-14,0221,Aqua,MODIS,78,61.03,278,15.7,N,2
51.1628,3.8229,300,1.5,1.2,2023-02-14,1103,Terra,MODIS,16,61.03,282.4,11.2,D,2
51.1652,3.8121,308.1,1,1,2023-02-15,2116,Terra,MODIS,74,61.03,278,13,N,2
