latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.2863,-88.3114,318.5,1,1,2023-01-05,1929,Aqua,MODIS,67,61.03,297.1,10.1,D,0
17.6001,-88.5485,316.6,1,1,2023-01-05,1929,Aqua,MODIS,74,61.03,297.5,8.9,D,0
18.285,-88.321,332.5,1,1,2023-01-05,1929,Aqua,MODIS,87,61.03,300.5,26.3,D,0
16.6408,-88.4333,311.9,1,1,2023-01-05,1929,Aqua,MODIS,42,61.03,295.3,7.6,D,0
17.5987,-88.5579,322.4,1,1,2023-01-05,1929,Aqua,MODIS,80,61.03,295.8,14.5,D,0
18.4311,-88.4719,308.7,1.2,1.1,2023-01-07,1916,Aqua,MODIS,60,61.03,293.5,7.6,D,0
18.1264,-88.4464,309,1.2,1.1,2023-01-12,1627,Terra,MODIS,60,61.03,293.8,6.5,D,0
17.332,-88.7723,312.3,1,1,2023-01-12,1932,Aqua,MODIS,64,61.03,297.1,6,D,0
18.2958,-88.3128,304.6,1,1,2023-01-13,0744,Aqua,MODIS,61,61.03,291.7,6.4,N,0
18.0691,-88.2033,305.8,1.1,1,2023-01-14,0400,Terra,MODIS,66,61.03,291,6.9,N,0
16.1515,-88.9073,308.1,2,1.4,2023-01-16,1905,Aqua,MODIS,62,61.03,295.8,15.1,D,0
18.0025,-88.2711,318.3,1.8,1.3,2023-01-17,1636,Terra,MODIS,75,61.03,294,26.6,D,0
17.9686,-89.1051,316.6,1.6,1.2,2023-01-17,1948,Aqua,MODIS,56,61.03,299.3,19,D,0
16.7923,-88.3251,313.8,3.2,1.7,2023-01-18,1852,Aqua,MODIS,45,61.03,299.3,42.3,D,0
16.7942,-88.321,316.1,3.2,1.7,2023-01-18,1852,Aqua,MODIS,0,61.03,299.2,47,D,0
17.6968,-88.4224,308.3,3.1,1.7,2023-01-18,1853,Aqua,MODIS,50,61.03,297.4,20.6,D,0
16.7964,-88.3091,313.7,1.1,1,2023-01-19,1620,Terra,MODIS,0,61.03,299.6,7.2,D,0
16.8035,-88.3016,317.8,1.1,1,2023-01-19,1620,Terra,MODIS,64,61.03,298.9,10.3,D,0
16.7949,-88.2993,342.5,1.1,1,2023-01-19,1620,Terra,MODIS,0,61.03,299.5,47,D,0
17.7585,-88.5955,314.6,1.1,1,2023-01-19,1935,Aqua,MODIS,66,61.03,300.9,7,D,0
18.1982,-88.5971,320.3,1.1,1,2023-01-19,1935,Aqua,MODIS,61,61.03,299.5,13.6,D,0
17.9925,-88.2692,304,1,1,2023-01-21,0353,Terra,MODIS,58,61.03,293.4,5.1,N,0
17.4689,-88.442,312.1,1,1,2023-01-21,1922,Aqua,MODIS,55,61.03,297.6,7.8,D,0
17.2182,-88.7407,318.1,1.7,1.3,2023-01-23,1908,Aqua,MODIS,75,61.03,296.6,22.3,D,0
17.2208,-88.7253,314.6,1.7,1.3,2023-01-23,1908,Aqua,MODIS,60,61.03,297.1,16.1,D,0
17.2197,-88.732,323.2,1.7,1.3,2023-01-23,1908,Aqua,MODIS,80,61.03,297.9,33.7,D,0
18.2404,-88.3065,313.6,1.5,1.2,2023-01-23,1909,Aqua,MODIS,69,61.03,298.2,13.4,D,0
16.4986,-88.7063,321.5,1.4,1.2,2023-01-24,1630,Terra,MODIS,78,61.03,295.5,25.1,D,0
16.4966,-88.6939,318.4,1.4,1.2,2023-01-24,1630,Terra,MODIS,74,61.03,293.6,20.1,D,0
16.4877,-88.7035,313.3,1.8,1.3,2023-01-24,1950,Aqua,MODIS,47,61.03,296.5,14.3,D,0
16.4995,-88.705,325.8,1.8,1.3,2023-01-24,1950,Aqua,MODIS,80,61.03,298,42.3,D,0
16.4991,-88.7124,315.3,3.1,1.7,2023-01-25,1855,Aqua,MODIS,68,61.03,301.5,39.4,D,0
16.5138,-88.7154,312.4,3.1,1.7,2023-01-25,1855,Aqua,MODIS,44,61.03,298.5,28.3,D,0
18.0589,-88.2655,318.7,1.2,1.1,2023-01-26,1938,Aqua,MODIS,65,61.03,298.6,11.4,D,0
18.0782,-88.2677,314.4,1.1,1.1,2023-01-31,1622,Terra,MODIS,70,61.03,297.7,8.6,D,0
16.4728,-88.5114,325.8,1.1,1,2023-02-02,1607,Terra,MODIS,77,61.03,296.2,22.1,D,0
16.6736,-88.4338,313.2,1.4,1.2,2023-02-06,1913,Aqua,MODIS,52,61.03,299.6,9.3,D,0
