latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.1682,1.1849,363.8,1.6,1.3,2023-01-01,1032,Terra,MODIS,100,61.03,309.6,178.1,D,0
11.1658,1.1996,333.6,1.7,1.3,2023-01-01,1032,Terra,MODIS,72,61.03,308.3,42.1,D,0
10.9585,1.1985,318.7,1.7,1.3,2023-01-01,1032,Terra,MODIS,48,61.03,304,10.1,D,0
11.4063,2.9348,323.3,2.2,1.4,2023-01-01,1032,Terra,MODIS,37,61.03,300.6,41.9,D,0
11.4029,2.9545,329,2.2,1.4,2023-01-01,1032,Terra,MODIS,80,61.03,300.6,64.5,D,0
11.7133,2.9867,314,2.2,1.4,2023-01-01,1032,Terra,MODIS,51,61.03,301.3,20,D,0
11.397,2.913,333.6,2.2,1.4,2023-01-01,1032,Terra,MODIS,84,61.03,297.9,80.8,D,0
11.4097,2.9151,335.4,2.2,1.4,2023-01-01,1032,Terra,MODIS,86,61.03,299.1,91.3,D,0
11.4099,2.9097,327.5,2.2,1.4,2023-01-01,1032,Terra,MODIS,45,61.03,297.6,52.4,D,0
11.4002,2.9689,322.6,2.2,1.5,2023-01-01,1032,Terra,MODIS,36,61.03,297.5,37.3,D,0
11.177,1.2014,336.6,1.7,1.3,2023-01-01,1032,Terra,MODIS,86,61.03,306.3,50.3,D,0
11.1746,1.2161,346,1.7,1.3,2023-01-01,1032,Terra,MODIS,92,61.03,308.2,82.9,D,0
11.813,2.3888,321.2,2,1.4,2023-01-01,1032,Terra,MODIS,70,61.03,301.1,30.5,D,0
7.1714,1.7665,320.7,1.4,1.2,2023-01-01,1317,Aqua,MODIS,58,61.03,307.2,11.8,D,0
7.5475,1.9533,334.4,1.3,1.1,2023-01-01,1317,Aqua,MODIS,82,61.03,308.6,31.7,D,0
7.5457,1.9416,343.2,1.3,1.1,2023-01-01,1317,Aqua,MODIS,90,61.03,309.8,52.4,D,0
6.8141,1.5842,320.9,1.4,1.2,2023-01-01,1317,Aqua,MODIS,65,61.03,305.9,13.8,D,0
7.0433,2.3386,318.5,1.3,1.1,2023-01-01,1317,Aqua,MODIS,50,61.03,305.3,8.8,D,0
7.317,2.449,326.3,1.2,1.1,2023-01-01,1317,Aqua,MODIS,37,61.03,311.9,14.2,D,0
11.4289,2.8632,330.7,1.1,1,2023-01-01,1318,Aqua,MODIS,76,61.03,311.4,19.8,D,0
11.2066,1.3015,339.9,1.3,1.1,2023-01-01,1318,Aqua,MODIS,40,61.03,311.1,37.7,D,0
11.4058,2.1152,325.1,1.2,1.1,2023-01-01,1318,Aqua,MODIS,60,61.03,313.4,11,D,0
11.4041,2.1048,329.6,1.2,1.1,2023-01-01,1318,Aqua,MODIS,74,61.03,313.1,17.2,D,0
11.5562,2.9752,355.7,1.1,1,2023-01-01,1318,Aqua,MODIS,97,61.03,309.7,67.8,D,0
11.5548,2.9657,337.7,1.1,1,2023-01-01,1318,Aqua,MODIS,84,61.03,306.2,29.4,D,0
11.5668,2.9834,326,1.1,1,2023-01-01,1318,Aqua,MODIS,49,61.03,308.7,14.2,D,0
11.5654,2.9738,336.4,1.1,1,2023-01-01,1318,Aqua,MODIS,83,61.03,308,28.4,D,0
11.4438,2.1091,323.4,1.2,1.1,2023-01-01,1318,Aqua,MODIS,45,61.03,311.4,7.8,D,0
11.4533,2.1076,346.2,1.2,1.1,2023-01-01,1318,Aqua,MODIS,91,61.03,311.8,48.9,D,0
11.7077,2.9937,322,1.1,1,2023-01-01,1318,Aqua,MODIS,34,61.03,310.8,9.1,D,0
11.7155,2.9827,323.9,1.1,1,2023-01-01,1318,Aqua,MODIS,58,61.03,308,11.6,D,0
11.1699,1.2663,352.7,1.3,1.1,2023-01-01,1318,Aqua,MODIS,95,61.03,310.4,78.1,D,0
7.8939,2.1407,319.9,1.3,1.1,2023-01-01,1318,Aqua,MODIS,46,61.03,308.6,6.7,D,0
9.9493,1.5191,322.6,1.3,1.1,2023-01-01,1318,Aqua,MODIS,51,61.03,310.6,9.7,D,0
