latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.4253,89.1205,309.1,1.2,1.1,2023-01-04,0717,Aqua,MODIS,68,61.03,286,13.4,D,0
26.8438,91.512,305.5,1,1,2023-01-11,0720,Aqua,MODIS,50,61.03,295.1,5.2,D,0
27.8677,89.8742,304.6,1.1,1.1,2023-01-16,0736,Aqua,MODIS,58,61.03,283.1,8.3,D,0
27.3654,91.8852,313.5,1,1,2023-01-18,0723,Aqua,MODIS,74,61.03,282.9,16.5,D,0
27.2551,89.5799,327.3,1.2,1.1,2023-01-23,0739,Aqua,MODIS,85,61.03,292.1,33.8,D,0
27.2566,89.5915,312.3,1.2,1.1,2023-01-23,0739,Aqua,MODIS,72,61.03,290.1,15.9,D,0
27.3158,89.2524,321.4,1.1,1.1,2023-01-23,0739,Aqua,MODIS,81,61.03,288.7,23.5,D,0
27.3144,89.2413,333.9,1.1,1.1,2023-01-23,0739,Aqua,MODIS,89,61.03,290.4,41.6,D,0
27.4163,90.6441,304.1,2.4,1.5,2023-01-24,0455,Terra,MODIS,58,61.03,276.7,31.8,D,0
27.4194,90.6383,309.3,2.4,1.5,2023-01-24,0455,Terra,MODIS,68,61.03,277,44.1,D,0
27.5162,88.9744,309.9,1.8,1.3,2023-01-24,0455,Terra,MODIS,69,61.03,283.6,27,D,0
26.8939,90.3801,315.7,3.8,1.8,2023-01-24,0643,Aqua,MODIS,76,61.03,292.8,89.2,D,0
26.9022,90.4172,311.1,3.8,1.8,2023-01-24,0643,Aqua,MODIS,70,61.03,293.2,61.7,D,0
26.9092,90.4076,316.5,3.8,1.8,2023-01-24,0643,Aqua,MODIS,77,61.03,292.7,94.8,D,0
26.9007,90.3706,312.1,3.8,1.8,2023-01-24,0643,Aqua,MODIS,72,61.03,293.6,71.7,D,0
27.4151,90.629,303.3,3.6,1.8,2023-01-24,0643,Aqua,MODIS,23,61.03,279.9,46.6,D,0
27.4079,90.6245,304.1,3.6,1.8,2023-01-24,0643,Aqua,MODIS,35,61.03,280.4,50.9,D,0
27.3912,89.1378,310.6,4.6,2,2023-01-24,0643,Aqua,MODIS,70,61.03,282.8,102,D,0
27.374,89.1292,310.8,4.6,2,2023-01-24,0643,Aqua,MODIS,70,61.03,284.6,106.6,D,0
27.3915,89.1264,300.8,4.6,2,2023-01-24,0643,Aqua,MODIS,33,61.03,283.1,47,D,0
27.3216,89.2382,323.5,1,1,2023-01-24,1552,Terra,MODIS,81,61.03,276,25.1,N,0
27.3897,89.1375,303.7,1,1,2023-01-24,1553,Terra,MODIS,56,61.03,268.2,11.6,N,0
27.3912,89.1478,315.9,1,1,2023-01-24,1553,Terra,MODIS,92,61.03,269.1,20.8,N,0
27.3933,90.6419,308.7,1,1,2023-01-25,0726,Aqua,MODIS,66,61.03,283.2,10.2,D,0
27.3947,90.6519,324.2,1,1,2023-01-25,0726,Aqua,MODIS,83,61.03,283.8,24.1,D,0
27.3025,89.2715,326.3,1,1,2023-01-25,0726,Aqua,MODIS,49,61.03,292.5,23,D,0
27.3816,90.6238,300.2,1,1,2023-01-25,0726,Aqua,MODIS,19,61.03,286.3,5,D,0
27.2117,89.4598,324.5,1,1,2023-01-25,0726,Aqua,MODIS,83,61.03,294.1,22.1,D,0
27.3057,89.272,308.9,1.1,1.1,2023-01-26,0439,Terra,MODIS,66,61.03,284.2,12.3,D,0
27.3074,89.2616,305.4,1.1,1.1,2023-01-26,0439,Terra,MODIS,53,61.03,284.5,9.7,D,0
27.2955,89.2399,317.1,3.4,1.7,2023-01-26,0808,Aqua,MODIS,69,61.03,284.7,84.9,D,0
27.3011,89.2472,320.9,3.4,1.7,2023-01-26,0808,Aqua,MODIS,80,61.03,286.2,113.1,D,0
27.2982,89.2767,306.7,3.4,1.7,2023-01-26,0808,Aqua,MODIS,20,61.03,283.2,42.1,D,0
27.2999,89.7197,305.2,1.3,1.1,2023-01-27,0712,Aqua,MODIS,52,61.03,286.2,12.3,D,0
27.3035,89.2646,307.1,2,1.4,2023-01-28,0755,Aqua,MODIS,59,61.03,289.4,21.8,D,0
27.3014,89.2436,307.7,1.9,1.4,2023-01-28,0755,Aqua,MODIS,56,61.03,287.7,22.9,D,0
26.842,90.4659,328.8,1.4,1.2,2023-01-30,0741,Aqua,MODIS,84,61.03,300.8,31.2,D,0
26.8488,90.4579,327.5,1.4,1.2,2023-01-30,0741,Aqua,MODIS,84,61.03,300.9,29.3,D,0
