latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.9398,15.7895,301.1,1.6,1.2,2023-01-02,1231,Aqua,MODIS,40,61.03,286.2,9.1,D,0
44.9397,15.7837,305.2,1.6,1.2,2023-01-02,1231,Aqua,MODIS,61,61.03,286.4,14.4,D,0
43.2513,17.6676,300.9,1.1,1.1,2023-02-14,1151,Aqua,MODIS,43,61.03,289.4,5,D,0
44.0772,16.6224,302.8,1,1,2023-02-14,2033,Terra,MODIS,40,61.03,270.7,9.5,N,0
44.0864,16.6135,308.6,1,1,2023-02-14,2033,Terra,MODIS,75,61.03,271.4,14.1,N,0
44.088,16.6434,301,1.3,1.1,2023-02-15,0127,Aqua,MODIS,37,61.03,268.4,13.5,N,0
43.8192,16.9168,301.1,1.7,1.3,2023-02-16,1138,Aqua,MODIS,44,61.03,284.2,11.2,D,0
43.815,16.8969,314.5,1.7,1.3,2023-02-16,1138,Aqua,MODIS,75,61.03,283.5,31.1,D,0
44.5596,16.8411,305.5,1.6,1.2,2023-02-16,1138,Aqua,MODIS,61,61.03,287.9,15.9,D,0
45.1817,15.9828,301.5,1.2,1.1,2023-02-17,1221,Aqua,MODIS,47,61.03,287.5,5.9,D,0
44.8691,18.0048,306.1,1.4,1.2,2023-02-17,1221,Aqua,MODIS,50,61.03,286.2,12.6,D,0
43.489,18.7541,300.9,1.1,1,2023-02-19,1207,Aqua,MODIS,31,61.03,286.4,6.5,D,0
44.7879,16.4097,304.5,2.9,1.6,2023-02-20,1250,Aqua,MODIS,59,61.03,285.5,29.9,D,0
44.7904,16.4014,306.9,2.9,1.6,2023-02-20,1250,Aqua,MODIS,64,61.03,285.3,34.4,D,0
43.126,17.9042,304.5,1.1,1,2023-02-21,1153,Aqua,MODIS,59,61.03,292.2,5,D,0
43.1239,17.8912,303.4,1.1,1,2023-02-21,1153,Aqua,MODIS,56,61.03,292.5,4.2,D,0
43.8449,18.1542,301.6,1,1,2023-02-21,1153,Aqua,MODIS,30,61.03,290.7,5.8,D,0
44.0953,19.4141,300.3,1,1,2023-02-21,1153,Aqua,MODIS,32,61.03,289.8,3.2,D,0
44.8327,18.048,307.4,1,1,2023-02-21,1154,Aqua,MODIS,65,61.03,292.1,7,D,0
44.4378,18.4343,309.5,1,1,2023-02-21,1154,Aqua,MODIS,69,61.03,293.2,8.8,D,0
44.595,17.4401,306.1,1.1,1,2023-02-21,1154,Aqua,MODIS,63,61.03,294.4,5.1,D,0
44.8307,18.0352,307.2,1,1,2023-02-21,1154,Aqua,MODIS,65,61.03,292.2,6.8,D,0
44.9629,18.7656,306.9,1,1,2023-02-21,1154,Aqua,MODIS,48,61.03,294.6,5.6,D,0
44.6922,16.9068,304.6,1.1,1,2023-02-21,1154,Aqua,MODIS,59,61.03,291,5.5,D,0
44.8607,17.8715,304.8,1,1,2023-02-21,1154,Aqua,MODIS,60,61.03,292.3,5.1,D,0
44.9721,18.3423,303.7,1,1,2023-02-21,1154,Aqua,MODIS,57,61.03,292.6,3.9,D,0
44.6906,16.5272,304.4,1.1,1.1,2023-02-21,1154,Aqua,MODIS,21,61.03,293.9,7.3,D,0
44.6595,15.9554,305.3,1.2,1.1,2023-02-21,1154,Aqua,MODIS,61,61.03,289.4,8.9,D,0
45.1051,18.3018,301.8,1,1,2023-02-21,1154,Aqua,MODIS,36,61.03,291.3,3.7,D,0
44.8043,16.2444,302.5,1.1,1.1,2023-02-21,1154,Aqua,MODIS,52,61.03,291.4,4.9,D,0
44.7895,16.1598,300.6,1.2,1.1,2023-02-21,1154,Aqua,MODIS,27,61.03,290.4,5.1,D,0
44.883,16.1062,301.9,1.2,1.1,2023-02-21,1154,Aqua,MODIS,48,61.03,290,4.8,D,0
45.0777,16.6928,303.5,1.1,1,2023-02-21,1154,Aqua,MODIS,56,61.03,291.5,5,D,0
44.9403,15.7681,304.4,1.2,1.1,2023-02-21,1154,Aqua,MODIS,59,61.03,289.8,7.4,D,0
44.7119,16.5055,300.4,1.5,1.2,2023-02-22,1000,Terra,MODIS,34,61.03,286.5,9.2,D,0
44.7083,16.5229,308.9,1.5,1.2,2023-02-22,1000,Terra,MODIS,68,61.03,286.5,18.7,D,0
44.7773,15.9555,300.8,1.4,1.2,2023-02-22,1000,Terra,MODIS,39,61.03,283.3,8.8,D,0
44.7722,15.9485,302.4,1.4,1.2,2023-02-22,1000,Terra,MODIS,52,61.03,283.3,10,D,0
44.2177,17.9031,304.3,1.4,1.2,2023-02-23,1140,Aqua,MODIS,54,61.03,287.3,9.2,D,2
44.2136,17.8981,300.8,1.4,1.2,2023-02-23,1140,Aqua,MODIS,7,61.03,286.9,6,D,2
44.8967,16.1042,320.1,1.1,1,2023-03-14,1159,Aqua,MODIS,79,61.03,296,16.4,D,0
44.2518,16.9497,309.2,1,1,2023-03-14,1159,Aqua,MODIS,58,61.03,292.5,8.4,D,0
44.2498,16.9371,309.5,1,1,2023-03-14,1159,Aqua,MODIS,46,61.03,292.9,9.2,D,0
44.2215,16.7048,303.8,1.1,1,2023-03-14,1159,Aqua,MODIS,57,61.03,289.9,4.8,D,0
44.5632,18.1791,303.5,1,1,2023-03-14,1159,Aqua,MODIS,49,61.03,292.5,3.6,D,0
44.5614,18.1667,312.8,1,1,2023-03-14,1159,Aqua,MODIS,73,61.03,293.4,9.6,D,0
44.6646,16.6788,304.1,1,1,2023-03-14,1159,Aqua,MODIS,45,61.03,292.2,3.9,D,0
44.7721,16.9396,309.6,1,1,2023-03-14,1159,Aqua,MODIS,68,61.03,294.7,6.6,D,0
44.8032,16.445,312.5,1.1,1,2023-03-14,1159,Aqua,MODIS,71,61.03,294.2,9.1,D,0
44.8011,16.4322,307.2,1.1,1,2023-03-14,1159,Aqua,MODIS,43,61.03,294.6,5,D,0
44.9479,17.1118,305.5,1,1,2023-03-14,1159,Aqua,MODIS,57,61.03,295.4,3.9,D,0
44.7902,16.19,301,1.6,1.3,2023-03-18,1003,Terra,MODIS,34,61.03,289.6,8.7,D,0
44.6421,16.8921,301.4,2,1.4,2023-03-18,1131,Aqua,MODIS,47,61.03,291.3,10,D,0
44.7929,16.1842,303.8,2.2,1.4,2023-03-18,1131,Aqua,MODIS,48,61.03,292.5,16.2,D,0
44.7919,16.1773,303.5,2.2,1.4,2023-03-18,1131,Aqua,MODIS,44,61.03,292.5,15.5,D,0
44.3416,18.7265,302.2,1.4,1.2,2023-03-19,0906,Terra,MODIS,51,61.03,291,5.3,D,0
44.239,19.2172,300,1.5,1.2,2023-03-20,0947,Terra,MODIS,15,61.03,283.5,6.2,D,0
43.8589,18.9103,310.8,1.1,1.1,2023-03-23,1146,Aqua,MODIS,68,61.03,293.9,9.2,D,0
43.8654,18.9156,305.8,1.1,1.1,2023-03-23,1146,Aqua,MODIS,58,61.03,292.3,5.5,D,0
44.369,18.9593,323.1,1.1,1.1,2023-03-23,1146,Aqua,MODIS,81,61.03,295.2,21.4,D,0
44.6153,16.602,306.9,1.4,1.2,2023-03-23,1146,Aqua,MODIS,25,61.03,289.6,9.9,D,0
44.9609,17.9572,309.1,1.2,1.1,2023-03-23,1146,Aqua,MODIS,65,61.03,293.3,8.4,D,0
44.7933,16.7561,312.5,1.3,1.1,2023-03-24,0914,Terra,MODIS,70,61.03,294.9,11.3,D,0
43.9868,19.4257,315.9,1.1,1,2023-03-24,0914,Terra,MODIS,76,61.03,296.4,11.6,D,0
44.0282,16.6448,306.9,1.4,1.2,2023-03-24,1228,Aqua,MODIS,53,61.03,291,8.4,D,0
44.2879,18.7014,310.4,1.8,1.3,2023-03-24,1228,Aqua,MODIS,65,61.03,293.5,16.1,D,0
44.3369,17.1444,314.6,1.5,1.2,2023-03-24,1228,Aqua,MODIS,72,61.03,294.6,19.2,D,0
44.6303,16.1858,309.1,1.4,1.2,2023-03-24,1228,Aqua,MODIS,35,61.03,283.8,12,D,0
44.8562,17.1184,308.1,1.5,1.2,2023-03-24,1228,Aqua,MODIS,60,61.03,286.6,10.3,D,0
44.8544,17.0989,308.9,1.5,1.2,2023-03-24,1228,Aqua,MODIS,62,61.03,287,11,D,0
43.1953,17.4329,305.1,1,1,2023-03-28,1200,Aqua,MODIS,61,61.03,290,6.5,D,0
44.9497,15.7709,301,1.4,1.2,2023-04-06,1148,Aqua,MODIS,44,61.03,287.7,6.6,D,0
