latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-24.9183,24.5636,326.6,1,1,2023-01-07,0815,Terra,MODIS,76,61.03,304.4,16.5,D,0
-24.9198,24.5735,347.9,1,1,2023-01-07,0815,Terra,MODIS,94,61.03,308.1,49.8,D,0
-24.9213,24.5833,328.5,1,1,2023-01-07,0815,Terra,MODIS,79,61.03,304.1,18.2,D,0
-24.9273,24.5621,357.8,1,1,2023-01-07,0815,Terra,MODIS,99,61.03,302.8,73.2,D,0
-24.9288,24.5719,351.8,1,1,2023-01-07,0815,Terra,MODIS,96,61.03,303.3,58.4,D,0
-24.9312,24.579,301.8,2,1.4,2023-01-07,2023,Terra,MODIS,44,61.03,289.8,14.8,N,0
-25.7958,24.6168,301.3,1.3,1.1,2023-01-08,2103,Terra,MODIS,40,61.03,291,6.3,N,0
-24.5309,24.5979,322.7,1.1,1,2023-01-12,0825,Terra,MODIS,54,61.03,308.5,8.4,D,0
-23.3026,22.4198,355.9,1.5,1.2,2023-01-12,1245,Aqua,MODIS,97,61.03,322.7,90.5,D,0
-23.3157,22.4079,365.5,1.5,1.2,2023-01-12,1245,Aqua,MODIS,100,61.03,322.1,135.1,D,0
-23.3132,22.422,375.1,1.5,1.2,2023-01-12,1245,Aqua,MODIS,100,61.03,327.2,191.9,D,0
-23.305,22.4057,347.1,1.5,1.2,2023-01-12,1245,Aqua,MODIS,89,61.03,319.1,56.6,D,0
-18.7316,22.2613,343.4,1.7,1.3,2023-01-12,1246,Aqua,MODIS,87,61.03,311.9,79.8,D,0
-19.3479,22.8839,331.3,1.9,1.3,2023-01-12,1246,Aqua,MODIS,35,61.03,317,25.2,D,0
-19.3124,22.3798,340.5,1.7,1.3,2023-01-12,1246,Aqua,MODIS,83,61.03,320.4,43.2,D,0
-19.3066,22.3952,301.7,1.8,1.3,2023-01-12,2340,Aqua,MODIS,43,61.03,291,11.2,N,0
-19.2987,22.3863,302,1.8,1.3,2023-01-12,2340,Aqua,MODIS,31,61.03,291.4,10.9,N,0
-18.7397,22.2773,313.7,3,1.6,2023-01-13,0904,Terra,MODIS,14,61.03,296.5,22.7,D,0
-18.7361,22.2551,317,3,1.6,2023-01-13,0904,Terra,MODIS,50,61.03,297.5,40.1,D,0
-25.7499,24.6562,323.2,2.6,1.5,2023-01-13,1149,Aqua,MODIS,58,61.03,309.7,30.7,D,0
-23.2952,22.4097,325.2,3.5,1.8,2023-01-13,1150,Aqua,MODIS,59,61.03,311.5,54.9,D,0
-18.7414,22.2499,330.7,3.1,1.7,2023-01-13,1151,Aqua,MODIS,78,61.03,296,121.6,D,0
-19.173,22.4313,333.8,1.1,1,2023-01-14,1233,Aqua,MODIS,41,61.03,307.8,16.9,D,0
-19.1746,22.4209,334.8,1.1,1,2023-01-14,1233,Aqua,MODIS,55,61.03,310.3,16.7,D,0
-25.6322,25.1078,306.8,2.4,1.5,2023-01-14,2016,Terra,MODIS,69,61.03,291.8,28.1,N,0
-25.6264,25.1123,302.6,2.4,1.5,2023-01-14,2016,Terra,MODIS,46,61.03,291.3,16.9,N,0
-24.6665,23.7158,336.1,2.3,1.5,2023-01-15,0850,Terra,MODIS,85,61.03,303.4,85.1,D,0
