latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.5776,114.2,311.4,1,1,2023-04-19,0235,Terra,MODIS,42,61.03,294.5,5.9,D,2
4.8979,114.8011,325.5,1.1,1,2023-05-03,0559,Aqua,MODIS,81,61.03,292.7,19.6,D,0
4.6086,114.3313,314.5,2,1.4,2023-05-12,0545,Aqua,MODIS,52,61.03,298.3,16,D,2
4.9376,114.872,316.6,1,1,2023-06-01,0227,Terra,MODIS,59,61.03,300.1,6.4,D,0
4.9363,114.8809,321,1,1,2023-06-01,0227,Terra,MODIS,69,61.03,300.6,10.1,D,2
4.6671,114.4631,333.4,1,1,2023-06-13,0226,Terra,MODIS,75,61.03,298.3,25.6,D,0
4.6662,114.4625,314.5,1.5,1.2,2023-06-17,0624,Aqua,MODIS,50,61.03,294.6,10.4,D,0
4.6681,114.4618,310.1,1,1,2023-06-22,1424,Terra,MODIS,79,61.03,289.2,8.7,N,0
4.9342,114.8792,312.9,1,1,2023-06-25,0225,Terra,MODIS,48,61.03,295.4,5.3,D,0
4.6353,114.4178,317.1,1,1,2023-06-26,0609,Aqua,MODIS,27,61.03,299.6,8.3,D,0
4.6139,114.3429,317.1,1,1,2023-06-30,0233,Terra,MODIS,40,61.03,295,8.3,D,2
4.3472,114.3083,314.1,1.9,1.3,2023-08-02,0550,Aqua,MODIS,61,61.03,295.7,19.4,D,0
4.7408,115.1487,315.1,1.6,1.3,2023-08-02,0550,Aqua,MODIS,71,61.03,295.4,15.1,D,0
4.7386,115.1344,325.8,1.6,1.3,2023-08-02,0550,Aqua,MODIS,82,61.03,295.2,36.1,D,0
4.8627,114.7548,311.9,3.4,1.7,2023-08-08,0644,Aqua,MODIS,49,61.03,292.9,28.8,D,0
4.668,114.468,311.3,1,1,2023-08-17,0230,Terra,MODIS,37,61.03,287.8,5.4,D,2
4.2829,114.2929,342.9,1.1,1,2023-08-24,0221,Terra,MODIS,69,61.03,300.5,43,D,0
4.6644,114.4671,316.1,1.3,1.1,2023-08-31,0625,Aqua,MODIS,50,61.03,293.5,8,D,2
4.5976,114.558,306.3,1.2,1.1,2023-09-03,0236,Terra,MODIS,55,61.03,288.1,4.8,D,0
4.271,114.2989,328.3,2.1,1.4,2023-09-05,0637,Aqua,MODIS,0,61.03,298.3,57.5,D,0
4.271,114.2934,327.3,2.1,1.4,2023-09-05,0637,Aqua,MODIS,57,61.03,298.9,53.6,D,0
4.5065,114.5744,312.6,1.1,1.1,2023-09-27,0234,Terra,MODIS,67,61.03,294.8,7,D,0
4.5743,114.2181,309.1,4.3,1.9,2023-09-27,0535,Aqua,MODIS,47,61.03,289.8,36,D,2
4.5774,114.2137,309.6,4.3,1.9,2023-09-27,0535,Aqua,MODIS,0,61.03,289.9,38.6,D,2
4.279,114.3023,322,1.1,1.1,2023-09-29,0217,Terra,MODIS,20,61.03,295.3,12.8,D,0
4.8699,114.7425,313.2,1.5,1.2,2023-10-03,0629,Aqua,MODIS,64,61.03,286.9,12.3,D,0
4.8741,114.7352,309.9,1.5,1.2,2023-10-03,0629,Aqua,MODIS,20,61.03,286.8,7.2,D,0
4.2865,114.2968,321.9,1,1,2023-10-04,0225,Terra,MODIS,41,61.03,295.6,11.6,D,0
4.2705,114.2915,355.2,1,1,2023-10-05,0614,Aqua,MODIS,0,61.03,294.7,67.7,D,0
4.6141,114.3417,318.7,1.1,1.1,2023-10-17,0623,Aqua,MODIS,59,61.03,301.5,8.6,D,2
4.5832,114.2238,310.9,2.7,1.6,2023-10-24,0254,Terra,MODIS,19,61.03,290.9,22,D,2
4.2672,114.3026,347.2,1.5,1.2,2023-10-29,0631,Aqua,MODIS,82,61.03,299,83.8,D,0
4.2778,114.3011,341,1.5,1.2,2023-10-29,0631,Aqua,MODIS,68,61.03,299,64.6,D,0
4.3515,114.3152,316.3,1,1,2023-11-02,0228,Terra,MODIS,44,61.03,299.6,8.8,D,0
4.6071,114.3297,310.6,1.6,1.2,2023-11-09,0558,Aqua,MODIS,28,61.03,293.5,12.5,D,2
4.6661,114.457,312,1.2,1.1,2023-11-21,0606,Aqua,MODIS,27,61.03,285.6,8.7,D,0
4.6679,114.4613,313.8,1,1,2023-11-26,0617,Aqua,MODIS,49,61.03,282.8,9.5,D,0
4.6698,114.4681,302.2,1.3,1.1,2023-11-26,1835,Aqua,MODIS,47,61.03,281.4,8,N,2
4.2755,114.301,312.8,1.8,1.3,2023-12-06,0639,Aqua,MODIS,33,61.03,292.7,15.7,D,0
4.3436,114.3144,314.6,1.2,1.1,2023-12-10,0608,Aqua,MODIS,65,61.03,300.1,9.2,D,0
4.2734,114.3044,323.7,1.2,1.1,2023-12-20,0630,Aqua,MODIS,43,61.03,296,17.9,D,0
4.2719,114.2936,342.1,1.2,1.1,2023-12-20,0630,Aqua,MODIS,65,61.03,298.7,51.7,D,0
4.6116,114.3428,313.3,1,1,2023-12-22,0614,Aqua,MODIS,54,61.03,294.1,5.2,D,2
4.6697,114.4625,302.2,1.1,1,2023-12-24,1817,Aqua,MODIS,47,61.03,280.4,5,N,0
4.2748,114.2911,318.5,1.1,1,2023-12-27,0625,Aqua,MODIS,0,61.03,298.9,8.4,D,0
