latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.7141,24.175,301,1.4,1.2,2023-01-01,0845,Terra,MODIS,44,61.03,276.3,11.9,D,2
42.717,24.1736,305.2,1.1,1,2023-01-03,0029,Aqua,MODIS,63,61.03,273.3,12.8,N,2
42.9678,26.1274,305.2,1.1,1,2023-01-03,1135,Aqua,MODIS,61,61.03,287.4,8.6,D,0
42.1747,24.1888,307.9,1,1,2023-01-03,1135,Aqua,MODIS,66,61.03,289.2,8.5,D,0
42.7085,24.1684,309.1,1,1,2023-01-03,1135,Aqua,MODIS,68,61.03,287.3,9.9,D,2
43.4356,24.2786,302.2,1,1,2023-01-03,1135,Aqua,MODIS,51,61.03,287.8,5.4,D,0
42.6677,25.2505,302.8,1.1,1,2023-01-04,0910,Terra,MODIS,47,61.03,282.2,7.2,D,0
43.3831,23.8391,303.1,1.2,1.1,2023-01-06,0854,Terra,MODIS,55,61.03,283.9,8.9,D,0
42.3504,24.8338,305.5,1.1,1,2023-01-06,0854,Terra,MODIS,62,61.03,284.3,9,D,0
42.2075,24.2129,318.7,1.1,1,2023-01-06,0854,Terra,MODIS,79,61.03,286.1,20,D,0
42.2059,24.2259,331,1.1,1,2023-01-06,0854,Terra,MODIS,87,61.03,286.9,35.9,D,0
42.2043,24.2388,307.4,1.1,1,2023-01-06,0854,Terra,MODIS,65,61.03,285.4,9.5,D,0
42.1925,24.2095,307.8,1.8,1.3,2023-01-06,1204,Aqua,MODIS,66,61.03,287.4,20.5,D,0
42.197,24.2163,315.4,1.8,1.3,2023-01-06,1204,Aqua,MODIS,76,61.03,287.7,32.3,D,0
42.1942,24.2314,303.6,1.8,1.3,2023-01-06,1204,Aqua,MODIS,57,61.03,286.9,14.5,D,0
43.556,23.1809,302.8,1.6,1.3,2023-01-06,1205,Aqua,MODIS,54,61.03,285.4,13.1,D,0
42.1742,24.6866,305.4,1.3,1.1,2023-01-08,1151,Aqua,MODIS,61,61.03,285,11,D,0
43.1084,23.8742,303.2,3.7,1.8,2023-01-18,1046,Aqua,MODIS,55,61.03,287.8,36.6,D,0
43.1112,23.8872,301.1,3.3,1.7,2023-01-18,1224,Aqua,MODIS,44,61.03,289.1,26.5,D,0
42.7179,24.1697,307.7,1,1,2023-01-18,2002,Terra,MODIS,72,61.03,277.8,12.3,N,2
43.3119,23.448,304.5,1.9,1.3,2023-01-19,0938,Terra,MODIS,59,61.03,288.6,15.3,D,0
43.3165,23.4265,312.3,1.9,1.3,2023-01-19,0938,Terra,MODIS,72,61.03,288.7,28.3,D,0
42.2407,25.8677,303.1,1,1,2023-01-19,1128,Aqua,MODIS,55,61.03,286.6,5.4,D,0
42.1502,24.2348,303.6,1.1,1,2023-01-19,1128,Aqua,MODIS,56,61.03,291.1,5.1,D,0
42.1585,24.2392,302.5,1.1,1,2023-01-19,1128,Aqua,MODIS,46,61.03,291.6,5,D,0
42.7146,24.1681,306.9,1.1,1,2023-01-19,1128,Aqua,MODIS,0,61.03,282.3,9.5,D,2
43.31,23.4314,307.2,1.1,1,2023-01-19,1128,Aqua,MODIS,65,61.03,291.1,8.4,D,0
42.713,24.173,300.5,1.3,1.1,2023-01-21,0922,Terra,MODIS,37,61.03,279.5,10.5,D,2
42.2221,24.452,308.2,1.5,1.2,2023-02-02,0924,Terra,MODIS,67,61.03,279.1,20.4,D,0
42.3225,24.8416,300.7,1.6,1.2,2023-02-02,0924,Terra,MODIS,38,61.03,276.7,12.4,D,0
42.2256,24.459,311,1.5,1.2,2023-02-02,0924,Terra,MODIS,38,61.03,279,21.4,D,0
42.2187,24.4694,317.3,1.5,1.2,2023-02-02,0924,Terra,MODIS,78,61.03,274.8,33.2,D,0
41.5071,25.3993,307.1,1.1,1.1,2023-02-04,0909,Terra,MODIS,65,61.03,279.5,12.9,D,0
42.4629,24.6481,300.2,1.2,1.1,2023-02-07,1149,Aqua,MODIS,30,61.03,279.1,8.3,D,0
42.4317,26.6795,303.2,1.1,1,2023-02-09,1135,Aqua,MODIS,55,61.03,280.3,9.2,D,0
42.7123,24.1644,302.6,1,1,2023-02-09,1135,Aqua,MODIS,50,61.03,277.8,8.9,D,2
42.1135,24.5043,301.3,1.2,1.1,2023-02-11,1122,Aqua,MODIS,46,61.03,285.5,7.2,D,0
42.1109,24.4902,306.5,1.2,1.1,2023-02-11,1122,Aqua,MODIS,64,61.03,285.1,11.1,D,2
42.2037,24.2565,302.1,1.2,1.1,2023-02-11,1122,Aqua,MODIS,51,61.03,283.7,8,D,0
42.5878,26.2557,310.2,1,1,2023-02-11,1122,Aqua,MODIS,70,61.03,282.6,12.3,D,0
42.7088,26.9902,307.4,1.6,1.3,2023-02-14,1151,Aqua,MODIS,65,61.03,286.4,17.5,D,0
42.707,26.9705,301.2,1.6,1.3,2023-02-14,1151,Aqua,MODIS,39,61.03,285.7,10.2,D,0
43.7061,25.1043,304.3,1.3,1.1,2023-02-14,1151,Aqua,MODIS,44,61.03,284.8,10.9,D,0
42.5859,25.4955,305.5,1.2,1.1,2023-02-16,0910,Terra,MODIS,58,61.03,281.8,10.6,D,0
42.1986,24.1491,301.2,1.1,1,2023-02-16,0911,Terra,MODIS,45,61.03,285.7,4.9,D,2
42.1966,24.1616,302,1.1,1,2023-02-16,0911,Terra,MODIS,50,61.03,285.2,5.4,D,0
41.7113,23.1799,305.9,1,1,2023-02-16,0911,Terra,MODIS,59,61.03,283.9,8.9,D,0
42.3167,26.4051,306.7,1.1,1,2023-02-16,1137,Aqua,MODIS,64,61.03,291.9,7.4,D,0
42.3151,26.3923,305.1,1.1,1,2023-02-16,1137,Aqua,MODIS,61,61.03,292.8,6.2,D,0
42.3551,26.4096,320.6,1.1,1,2023-02-16,1137,Aqua,MODIS,80,61.03,292.9,19.2,D,0
42.3535,26.3967,335.7,1.1,1,2023-02-16,1137,Aqua,MODIS,90,61.03,292,39.9,D,0
42.2222,24.915,303.6,1,1,2023-02-16,1137,Aqua,MODIS,56,61.03,290,4.9,D,0
42.3268,25.6178,310.5,1,1,2023-02-16,1137,Aqua,MODIS,70,61.03,288.4,10.3,D,0
42.2364,24.5586,306.5,1,1,2023-02-16,1137,Aqua,MODIS,64,61.03,290.3,6.3,D,0
42.3211,24.8345,328.2,1,1,2023-02-16,1137,Aqua,MODIS,85,61.03,289.5,26,D,0
42.3194,24.8225,311.3,1,1,2023-02-16,1137,Aqua,MODIS,71,61.03,289.3,9.7,D,0
42.6769,27.2677,302,1.2,1.1,2023-02-16,1137,Aqua,MODIS,50,61.03,291.2,4.2,D,0
42.2686,24.0733,305,1,1,2023-02-16,1137,Aqua,MODIS,59,61.03,290.9,5.7,D,0
42.7072,24.1668,302.9,1,1,2023-02-16,1137,Aqua,MODIS,52,61.03,287.5,6,D,2
43.4342,23.5106,307.2,1,1,2023-02-16,1138,Aqua,MODIS,65,61.03,288.3,7.3,D,0
43.4448,23.5202,301.8,1,1,2023-02-16,1138,Aqua,MODIS,35,61.03,289,3.9,D,0
43.5838,22.9227,300.1,2.5,1.5,2023-02-17,1220,Aqua,MODIS,27,61.03,289.2,13,D,0
43.152,23.974,304.9,2.9,1.6,2023-02-17,1220,Aqua,MODIS,60,61.03,287.2,29.4,D,0
43.3276,22.9349,302.4,2.5,1.5,2023-02-17,1220,Aqua,MODIS,25,61.03,288.6,24.2,D,0
43.3213,22.9275,301.5,2.5,1.5,2023-02-17,1220,Aqua,MODIS,35,61.03,287.4,24,D,0
43.589,22.9173,301.6,2.5,1.5,2023-02-17,1220,Aqua,MODIS,48,61.03,289.4,16.4,D,0
42.2057,24.1577,337,1.2,1.1,2023-02-18,1124,Aqua,MODIS,88,61.03,280.4,49.8,D,0
43.374,24.4638,323.6,2,1.4,2023-02-19,0935,Terra,MODIS,82,61.03,287,59.8,D,0
43.7155,24.2271,308,1.9,1.4,2023-02-19,0935,Terra,MODIS,63,61.03,287.7,20.8,D,0
43.3689,24.4874,301.1,2,1.4,2023-02-19,0935,Terra,MODIS,40,61.03,284,11.2,D,0
42.3258,25.7278,308.1,2.5,1.5,2023-02-19,0935,Terra,MODIS,66,61.03,290.8,28,D,0
42.3195,25.718,307,2.5,1.5,2023-02-19,0935,Terra,MODIS,64,61.03,291.4,23.9,D,0
43.8213,22.8399,307.1,1.6,1.2,2023-02-19,0935,Terra,MODIS,65,61.03,277.3,18.8,D,0
43.3766,24.4716,325.8,2,1.4,2023-02-19,0935,Terra,MODIS,84,61.03,286,67.2,D,0
42.253,24.2815,303.7,1.9,1.3,2023-02-19,1206,Aqua,MODIS,48,61.03,287.8,6.2,D,2
43.8319,23.0288,316.9,1.7,1.3,2023-02-19,1207,Aqua,MODIS,71,61.03,293.6,25.9,D,0
43.449,23.5674,311.1,1.8,1.3,2023-02-19,1207,Aqua,MODIS,71,61.03,292,18.3,D,0
43.7714,23.2332,302.2,1.7,1.3,2023-02-19,1207,Aqua,MODIS,33,61.03,290.3,7,D,2
43.8205,23.0307,315.8,1.7,1.3,2023-02-19,1207,Aqua,MODIS,0,61.03,294.2,23.5,D,0
43.3187,24.0511,311.4,1.7,1.3,2023-02-20,0838,Terra,MODIS,71,61.03,287.2,24.2,D,0
42.2563,24.6058,322.7,1.5,1.2,2023-02-20,0838,Terra,MODIS,82,61.03,288.5,36.7,D,0
42.254,24.6086,308.9,1.6,1.3,2023-02-20,1111,Aqua,MODIS,68,61.03,290.9,15.4,D,0
42.2022,24.1626,337,1.3,1.1,2023-02-21,0919,Terra,MODIS,90,61.03,291.6,53.7,D,0
42.1995,24.1776,327.1,1.3,1.1,2023-02-21,0919,Terra,MODIS,85,61.03,290.8,34.3,D,0
42.203,24.1563,311.5,1.3,1.1,2023-02-21,0919,Terra,MODIS,71,61.03,290.9,13,D,2
42.2003,24.1713,332.9,1.3,1.1,2023-02-21,0919,Terra,MODIS,88,61.03,292.4,44.8,D,0
43.4408,23.503,307.5,1.2,1.1,2023-02-21,0919,Terra,MODIS,65,61.03,288,8.8,D,0
43.0175,24.31,307.3,1.3,1.1,2023-02-21,0919,Terra,MODIS,0,61.03,271.8,13.8,D,0
44.0487,26.656,301,1.7,1.3,2023-02-21,1153,Aqua,MODIS,27,61.03,288.6,6.4,D,0
42.2255,24.5799,323.9,1.3,1.1,2023-02-21,1153,Aqua,MODIS,83,61.03,293.1,26,D,0
42.2789,24.6007,341.1,1.3,1.1,2023-02-21,1153,Aqua,MODIS,92,61.03,296,60.6,D,0
42.2772,24.5854,315.2,1.3,1.1,2023-02-21,1153,Aqua,MODIS,75,61.03,293.8,14.7,D,0
42.4765,24.6433,303.6,1.3,1.1,2023-02-21,1153,Aqua,MODIS,32,61.03,290.5,4,D,0
42.4748,24.6278,334.9,1.3,1.1,2023-02-21,1153,Aqua,MODIS,89,61.03,290.3,48.7,D,0
42.4732,24.6124,305.6,1.3,1.1,2023-02-21,1153,Aqua,MODIS,57,61.03,288.7,6.5,D,0
43.0873,24.3845,311.3,1.3,1.1,2023-02-21,1153,Aqua,MODIS,58,61.03,292.8,11.5,D,0
43.0973,24.3826,336.8,1.3,1.1,2023-02-21,1153,Aqua,MODIS,90,61.03,294.6,51.4,D,0
43.0956,24.3669,310.3,1.3,1.1,2023-02-21,1153,Aqua,MODIS,49,61.03,293.1,9.9,D,0
43.0982,24.3912,313,1.3,1.1,2023-02-21,1153,Aqua,MODIS,73,61.03,292.9,13.1,D,0
43.0966,24.3754,326,1.3,1.1,2023-02-21,1153,Aqua,MODIS,84,61.03,294.6,30.7,D,0
43.1311,23.9484,313.3,1.2,1.1,2023-02-21,1153,Aqua,MODIS,74,61.03,296.1,14,D,0
43.16,23.2902,302.9,1.2,1.1,2023-02-21,1153,Aqua,MODIS,48,61.03,289.8,5.8,D,0
43.1584,23.2761,303.6,1.2,1.1,2023-02-21,1153,Aqua,MODIS,47,61.03,290,6.3,D,0
43.2062,23.2667,306.1,1.2,1.1,2023-02-21,1153,Aqua,MODIS,63,61.03,295.3,6,D,0
43.3438,23.2104,306,1.2,1.1,2023-02-21,1153,Aqua,MODIS,59,61.03,293.8,5.6,D,0
43.7695,23.0486,305.2,1.1,1.1,2023-02-21,1153,Aqua,MODIS,24,61.03,292.5,4.5,D,2
43.772,23.0426,305.4,1.1,1.1,2023-02-21,1153,Aqua,MODIS,37,61.03,292.7,6.6,D,0
43.7703,23.0285,307.2,1.1,1.1,2023-02-21,1153,Aqua,MODIS,52,61.03,294.2,8,D,0
43.8786,23.3725,308.9,1.2,1.1,2023-02-21,1153,Aqua,MODIS,68,61.03,292.9,8.3,D,0
44.0735,23.0138,304.6,1.2,1.1,2023-02-21,1153,Aqua,MODIS,39,61.03,292.2,6.1,D,0
43.6811,24.0659,303.4,2.9,1.6,2023-02-22,0822,Terra,MODIS,54,61.03,287.7,23.4,D,0
43.683,24.0732,306.5,2.9,1.6,2023-02-22,0822,Terra,MODIS,55,61.03,287.7,34.1,D,0
43.689,24.0641,302,4.2,1.9,2023-02-22,1000,Terra,MODIS,29,61.03,288.7,34.5,D,0
43.6722,24.1025,300.9,4.2,1.9,2023-02-22,1000,Terra,MODIS,42,61.03,288.1,33.2,D,0
43.4895,24.278,303,4.4,1.9,2023-02-22,1000,Terra,MODIS,55,61.03,289.7,37.4,D,0
43.4755,24.3271,303.3,4.4,1.9,2023-02-22,1000,Terra,MODIS,55,61.03,289.7,38.5,D,0
43.4735,24.3192,301.5,4.4,1.9,2023-02-22,1000,Terra,MODIS,48,61.03,289.8,29.4,D,0
43.0855,26.6785,309.5,1.8,1.3,2023-02-22,1057,Aqua,MODIS,69,61.03,292.9,19.3,D,0
43.207,23.9975,302.3,2.6,1.5,2023-02-22,1058,Aqua,MODIS,51,61.03,291,12.4,D,0
43.7611,26.5673,302.1,1.8,1.3,2023-02-22,1058,Aqua,MODIS,46,61.03,291.6,8.6,D,0
43.4861,24.3067,302.2,2.4,1.5,2023-02-22,1058,Aqua,MODIS,51,61.03,291.6,10.7,D,0
43.6795,24.0775,318.4,2.5,1.5,2023-02-22,1058,Aqua,MODIS,78,61.03,291.3,55.2,D,0
43.6741,24.0732,306.1,2.5,1.5,2023-02-22,1058,Aqua,MODIS,49,61.03,290.8,21.4,D,0
