latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-3.6293,29.7124,324.2,1.1,1,2023-01-06,1152,Aqua,MODIS,77,61.03,300.3,15.1,D,0
-3.656,30.0826,315.3,1,1,2023-01-29,1147,Aqua,MODIS,56,61.03,300.9,6.9,D,0
-2.9035,29.8311,310.7,1.4,1.2,2023-02-05,0823,Terra,MODIS,38,61.03,295.8,8,D,0
-2.5588,30.3715,332.5,1,1,2023-03-07,1144,Aqua,MODIS,84,61.03,297.5,21.8,D,0
-2.906,29.8347,308.3,1.2,1.1,2023-03-29,0757,Terra,MODIS,46,61.03,290.5,6.4,D,0
-3.3368,29.392,308.4,4.1,1.9,2023-04-04,0847,Terra,MODIS,20,61.03,285.3,35.2,D,2
-3.3469,29.39,308.7,4.3,1.9,2023-04-16,0847,Terra,MODIS,32,61.03,283.4,51.1,D,2
-3.1828,30.3517,313.4,1,1,2023-05-30,1149,Aqua,MODIS,47,61.03,293.3,7.2,D,0
-3.9443,29.756,315.2,1.2,1.1,2023-06-04,1202,Aqua,MODIS,51,61.03,298,8.7,D,0
-3.1915,30.3412,329,1.3,1.1,2023-06-04,1202,Aqua,MODIS,82,61.03,293.5,32.5,D,0
-3.1559,30.3719,317.4,1.3,1.1,2023-06-04,1202,Aqua,MODIS,18,61.03,296.7,12.9,D,0
-3.1437,30.406,333.9,1,1,2023-06-06,1148,Aqua,MODIS,66,61.03,292.8,28.6,D,0
-3.1513,30.4162,361.7,1,1,2023-06-06,1148,Aqua,MODIS,100,61.03,302.1,84.4,D,0
-3.1526,30.4073,353.8,1,1,2023-06-06,1148,Aqua,MODIS,97,61.03,299.7,64.6,D,0
-3.1412,30.4238,345.2,1,1,2023-06-06,1148,Aqua,MODIS,76,61.03,296.2,45.5,D,0
-3.1424,30.4149,346,1,1,2023-06-06,1148,Aqua,MODIS,89,61.03,296.5,47.7,D,0
-3.131,30.4313,344.6,1,1,2023-06-06,1148,Aqua,MODIS,84,61.03,293.1,45.8,D,0
-3.1348,30.4047,353.5,1,1,2023-06-06,1148,Aqua,MODIS,91,61.03,288.8,66.2,D,0
-3.1208,30.4389,327.8,1,1,2023-06-06,1148,Aqua,MODIS,60,61.03,291.7,21.5,D,0
-3.1221,30.43,364.3,1,1,2023-06-06,1148,Aqua,MODIS,87,61.03,289.8,92.4,D,0
-3.0965,30.4556,310.8,4.6,2,2023-06-07,1230,Aqua,MODIS,28,61.03,290.1,56.6,D,0
-3.0748,30.4436,300.6,2.5,1.5,2023-06-07,2033,Terra,MODIS,31,61.03,286.2,22.1,N,0
-3.0717,30.4649,300.7,2.5,1.5,2023-06-07,2033,Terra,MODIS,31,61.03,286.6,22.5,N,0
