latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.505,13.898,328.1,2.3,1.5,2023-01-01,0854,Terra,MODIS,80,61.03,300.2,66.7,D,0
8.4943,13.8908,315.3,2.3,1.5,2023-01-01,0854,Terra,MODIS,59,61.03,300.5,18.5,D,0
8.3393,14.6712,319.1,2,1.4,2023-01-01,0854,Terra,MODIS,44,61.03,303.9,16.5,D,0
8.2027,14.5369,347.1,2,1.4,2023-01-01,0854,Terra,MODIS,93,61.03,302.5,136,D,0
8.1998,14.5307,349.3,2,1.4,2023-01-01,0854,Terra,MODIS,95,61.03,302.8,150.1,D,0
8.1973,14.5488,330.7,2,1.4,2023-01-01,0854,Terra,MODIS,83,61.03,302.7,62.2,D,0
7.8785,15.3799,318.3,1.7,1.3,2023-01-01,0855,Terra,MODIS,67,61.03,302.4,18.2,D,0
8.1253,12.7998,337.8,2.8,1.6,2023-01-01,0855,Terra,MODIS,88,61.03,302.2,139.9,D,0
8.1221,12.8249,319.4,2.8,1.6,2023-01-01,0855,Terra,MODIS,70,61.03,302.9,39.1,D,0
7.9916,12.6766,322.6,2.9,1.6,2023-01-01,0855,Terra,MODIS,75,61.03,300.4,55.7,D,0
8.0032,12.6708,313.9,2.9,1.6,2023-01-01,0855,Terra,MODIS,27,61.03,300.2,19.2,D,0
7.9888,12.6691,316.8,2.9,1.6,2023-01-01,0855,Terra,MODIS,66,61.03,300.8,31,D,0
7.9044,13.3132,312.4,2.5,1.5,2023-01-01,0855,Terra,MODIS,47,61.03,298.7,18.1,D,0
7.6502,13.8452,320,2.3,1.5,2023-01-01,0855,Terra,MODIS,73,61.03,296.7,44.2,D,0
7.6518,13.8387,315.1,2.3,1.5,2023-01-01,0855,Terra,MODIS,66,61.03,296.6,31.4,D,0
6.9605,14.2398,312.8,2.1,1.4,2023-01-01,0855,Terra,MODIS,62,61.03,299.2,15.2,D,0
6.5672,12.9608,313.4,2.6,1.5,2023-01-01,0855,Terra,MODIS,65,61.03,299,24.5,D,0
6.283,14.2987,310.3,2,1.4,2023-01-01,0855,Terra,MODIS,56,61.03,296.2,14.9,D,0
6.2102,13.8742,307.3,2.1,1.4,2023-01-01,0855,Terra,MODIS,34,61.03,295.4,11.3,D,0
6.6375,9.9311,311.7,4.5,2,2023-01-01,0855,Terra,MODIS,58,61.03,297,56.7,D,0
6.6328,9.9694,309,4.5,1.9,2023-01-01,0855,Terra,MODIS,35,61.03,296.4,32,D,0
6.6526,9.9283,308.8,4.5,2,2023-01-01,0855,Terra,MODIS,34,61.03,297.3,38.2,D,0
6.6477,9.9652,309.1,4.5,1.9,2023-01-01,0855,Terra,MODIS,29,61.03,296.1,31.6,D,0
6.1199,12.4626,309,2.8,1.6,2023-01-01,0855,Terra,MODIS,56,61.03,295.8,19.9,D,0
6.1157,12.456,309.2,2.8,1.6,2023-01-01,0855,Terra,MODIS,57,61.03,295.9,20.4,D,0
5.7156,12.1761,309.5,2.9,1.6,2023-01-01,0855,Terra,MODIS,54,61.03,293.1,30,D,0
5.7098,12.1941,307.5,2.9,1.6,2023-01-01,0855,Terra,MODIS,28,61.03,294.5,19.4,D,0
5.328,12.3501,321.3,2.8,1.6,2023-01-01,0855,Terra,MODIS,78,61.03,293.6,67.8,D,0
5.3238,12.3425,318.7,2.8,1.6,2023-01-01,0855,Terra,MODIS,76,61.03,292.8,54.6,D,0
4.9627,14.1218,308.4,2,1.4,2023-01-01,0855,Terra,MODIS,57,61.03,295.5,13.6,D,0
3.5503,11.9245,307.4,2,1.4,2023-01-01,1316,Aqua,MODIS,54,61.03,283.3,18.1,D,0
3.8335,12.0866,314.6,2.1,1.4,2023-01-01,1316,Aqua,MODIS,70,61.03,293.9,25.9,D,0
3.6277,10.1612,314.3,1.5,1.2,2023-01-01,1316,Aqua,MODIS,49,61.03,294.7,11,D,0
4.3623,13.848,314.6,2.9,1.6,2023-01-01,1316,Aqua,MODIS,69,61.03,292.2,38.8,D,0
4.3588,13.8223,309.7,2.9,1.6,2023-01-01,1316,Aqua,MODIS,58,61.03,291.4,21.5,D,0
4.5098,13.9216,311.1,3,1.6,2023-01-01,1316,Aqua,MODIS,61,61.03,292.2,23.5,D,0
4.3145,12.064,314.9,2.1,1.4,2023-01-01,1316,Aqua,MODIS,66,61.03,281.9,32.9,D,0
4.6778,13.9476,326.4,3,1.6,2023-01-01,1316,Aqua,MODIS,81,61.03,296.4,87.8,D,0
4.4346,11.9116,339.7,2,1.4,2023-01-01,1316,Aqua,MODIS,90,61.03,294.9,102.6,D,0
4.432,11.8935,339.4,2,1.4,2023-01-01,1316,Aqua,MODIS,90,61.03,294.1,100.6,D,0
4.6827,13.9665,315.2,3,1.7,2023-01-01,1316,Aqua,MODIS,69,61.03,295.7,32.5,D,0
4.6792,13.9397,322,3,1.6,2023-01-01,1316,Aqua,MODIS,77,61.03,296.2,63.7,D,0
4.4251,11.9056,323.9,2,1.4,2023-01-01,1316,Aqua,MODIS,78,61.03,294.6,43.2,D,0
4.4375,11.9039,344.2,2,1.4,2023-01-01,1316,Aqua,MODIS,93,61.03,294.8,126,D,0
4.4682,11.2835,322.3,1.8,1.3,2023-01-01,1316,Aqua,MODIS,64,61.03,300.7,25.3,D,0
4.6177,11.9107,310.2,2.1,1.4,2023-01-01,1316,Aqua,MODIS,28,61.03,284.9,15.8,D,0
4.6125,11.8738,309.9,2,1.4,2023-01-01,1316,Aqua,MODIS,32,61.03,284.3,14.4,D,0
4.6204,11.9031,308.3,2.1,1.4,2023-01-01,1316,Aqua,MODIS,48,61.03,284.4,13.4,D,0
4.9887,13.8849,311.6,3,1.6,2023-01-01,1316,Aqua,MODIS,61,61.03,294.8,27.7,D,0
4.9882,13.8798,310.4,3,1.6,2023-01-01,1316,Aqua,MODIS,56,61.03,294.9,25.2,D,0
4.7452,10.801,312.9,1.7,1.3,2023-01-01,1316,Aqua,MODIS,61,61.03,298.8,13.5,D,0
5.0482,11.709,319.4,2,1.4,2023-01-01,1316,Aqua,MODIS,73,61.03,298.4,30.3,D,0
5.0456,11.6911,314.6,2,1.4,2023-01-01,1316,Aqua,MODIS,48,61.03,296.7,18,D,0
5.0376,11.7054,321.7,2,1.4,2023-01-01,1316,Aqua,MODIS,76,61.03,298.9,36.6,D,0
5.1059,10.7576,316.8,1.7,1.3,2023-01-01,1316,Aqua,MODIS,70,61.03,300.9,15.4,D,0
