latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.7454,-22.9211,319.5,1,1,2023-01-08,1502,Aqua,MODIS,71,61.03,307.1,6.2,D,0
16.744,-22.9305,320.5,1,1,2023-01-08,1502,Aqua,MODIS,73,61.03,306.9,7.1,D,0
15.1853,-23.7084,308,2.6,1.5,2023-04-02,0003,Terra,MODIS,58,61.03,294.3,26.1,N,0
15.1993,-23.7079,305.4,2.6,1.5,2023-04-02,0003,Terra,MODIS,7,61.03,295.2,17.8,N,0
15.1924,-23.7133,310.6,2.6,1.5,2023-04-02,0003,Terra,MODIS,72,61.03,295.1,33.6,N,0
15.1924,-23.7079,305.8,3.2,1.7,2023-04-02,0255,Aqua,MODIS,38,61.03,293.1,35.1,N,0
15.2074,-23.7095,331.1,1.3,1.1,2023-04-02,1525,Aqua,MODIS,65,61.03,317.8,13.2,D,0
15.206,-23.7204,335.6,1.3,1.1,2023-04-02,1525,Aqua,MODIS,87,61.03,318.2,21,D,0
14.829,-24.3867,312.3,2.4,1.5,2023-07-20,1451,Aqua,MODIS,0,61.03,292.6,22.5,D,0
16.5853,-24.2759,317,1,1,2023-07-30,1518,Aqua,MODIS,13,61.03,296.8,8.6,D,0
16.9041,-24.929,315.5,1,1,2023-07-30,1518,Aqua,MODIS,23,61.03,296.8,9.4,D,0
16.0991,-22.8723,310.4,2.6,1.6,2023-11-04,2251,Terra,MODIS,71,61.03,294,38.9,N,0
16.0949,-22.8956,306.5,2.6,1.6,2023-11-04,2251,Terra,MODIS,46,61.03,294,28.1,N,0
16.1082,-22.8845,308.8,1.5,1.2,2023-11-05,0354,Aqua,MODIS,63,61.03,294.4,14.3,N,0
16.1058,-22.8708,314.4,1.5,1.2,2023-11-05,0354,Aqua,MODIS,85,61.03,294.8,22.3,N,0
16.1019,-22.8768,320.3,1.5,1.2,2023-11-05,0354,Aqua,MODIS,100,61.03,294.6,31.2,N,0
15.2856,-23.7157,313.4,1.4,1.2,2023-11-08,1127,Terra,MODIS,58,61.03,295.3,9.4,D,0
