latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.1396,21.2167,317.7,1,1,2023-01-01,0853,Terra,MODIS,52,61.03,302.1,7.1,D,0
12.2899,19.5633,329.2,1.1,1,2023-01-01,0853,Terra,MODIS,79,61.03,305.3,18.4,D,0
11.2301,21.2909,315,1,1,2023-01-01,0853,Terra,MODIS,16,61.03,303,4.8,D,0
11.2991,21.3258,319.3,1,1,2023-01-01,0853,Terra,MODIS,63,61.03,302.4,8.2,D,0
12.2886,19.5731,327.5,1.1,1,2023-01-01,0853,Terra,MODIS,72,61.03,306.5,16.4,D,0
11.3004,21.3169,321.1,1,1,2023-01-01,0853,Terra,MODIS,67,61.03,302.9,9.6,D,0
11.6098,21.415,329.1,1,1,2023-01-01,0853,Terra,MODIS,79,61.03,302,19.1,D,0
11.7483,20.4596,315.6,1,1,2023-01-01,0853,Terra,MODIS,51,61.03,302.3,4.6,D,0
11.2563,19.5753,328.5,1.1,1,2023-01-01,0853,Terra,MODIS,78,61.03,302.1,21.5,D,0
10.8306,21.9988,327.3,1,1,2023-01-01,0853,Terra,MODIS,77,61.03,307.7,14.2,D,0
12.2636,19.5496,340.4,1.1,1,2023-01-01,0853,Terra,MODIS,89,61.03,304.9,37.3,D,0
12.2729,19.5509,348.5,1.1,1,2023-01-01,0853,Terra,MODIS,94,61.03,306.9,53.3,D,0
11.1383,21.2257,331,1,1,2023-01-01,0853,Terra,MODIS,81,61.03,302.1,21.7,D,0
10.5125,20.7797,316.2,1,1,2023-01-01,0854,Terra,MODIS,43,61.03,301.2,6,D,0
10.8681,17.7989,316.2,1.3,1.1,2023-01-01,0854,Terra,MODIS,53,61.03,303.3,8,D,0
10.6394,19.3767,317.8,1.1,1,2023-01-01,0854,Terra,MODIS,59,61.03,304.3,7.2,D,0
10.5627,19.7228,322.9,1,1,2023-01-01,0854,Terra,MODIS,70,61.03,302.1,13.6,D,0
10.5614,19.7321,319.6,1,1,2023-01-01,0854,Terra,MODIS,64,61.03,303.7,10.2,D,0
10.2636,21.5269,331.8,1,1,2023-01-01,0854,Terra,MODIS,81,61.03,306,20.1,D,0
10.2623,21.5359,328.9,1,1,2023-01-01,0854,Terra,MODIS,78,61.03,305,16.8,D,0
10.785,17.7337,321.7,1.3,1.1,2023-01-01,0854,Terra,MODIS,43,61.03,302.9,15.3,D,0
10.338,20.897,324.3,1,1,2023-01-01,0854,Terra,MODIS,72,61.03,304.3,12,D,0
10.3367,20.9059,316.6,1,1,2023-01-01,0854,Terra,MODIS,43,61.03,303.7,4.6,D,0
10.3628,20.3514,323.9,1,1,2023-01-01,0854,Terra,MODIS,66,61.03,301.2,12.9,D,0
10.7677,17.0231,320.5,1.5,1.2,2023-01-01,0854,Terra,MODIS,68,61.03,301.7,18.2,D,0
10.7572,17.0217,315.4,1.5,1.2,2023-01-01,0854,Terra,MODIS,25,61.03,300.9,10.2,D,0
10.1882,21.0426,337.8,1,1,2023-01-01,0854,Terra,MODIS,86,61.03,305,28.7,D,0
10.1869,21.0515,354.2,1,1,2023-01-01,0854,Terra,MODIS,97,61.03,307.6,61.2,D,0
10.1856,21.0604,321.6,1,1,2023-01-01,0854,Terra,MODIS,63,61.03,304.8,8.4,D,0
10.1073,21.3352,331.6,1,1,2023-01-01,0854,Terra,MODIS,81,61.03,305.5,20.3,D,0
10.106,21.3441,330.1,1,1,2023-01-01,0854,Terra,MODIS,79,61.03,306,18,D,0
10.2769,19.9183,324.3,1,1,2023-01-01,0854,Terra,MODIS,72,61.03,304.1,12.7,D,0
10.2756,19.9275,324,1,1,2023-01-01,0854,Terra,MODIS,72,61.03,305.2,12.4,D,0
10.5583,17.5948,320.5,1.3,1.1,2023-01-01,0854,Terra,MODIS,57,61.03,304.2,10.7,D,0
10.5019,17.9338,324.8,1.3,1.1,2023-01-01,0854,Terra,MODIS,75,61.03,303.2,19,D,0
10.3841,18.0475,314.7,1.2,1.1,2023-01-01,0854,Terra,MODIS,44,61.03,301.2,7.2,D,0
10.3186,18.5184,320.9,1.2,1.1,2023-01-01,0854,Terra,MODIS,64,61.03,301.2,13.1,D,0
10.3171,18.5288,335.8,1.2,1.1,2023-01-01,0854,Terra,MODIS,86,61.03,304.4,35.2,D,0
10.4242,17.4547,320.7,1.3,1.1,2023-01-01,0854,Terra,MODIS,55,61.03,305.8,12.4,D,0
10.3465,18.0311,317.1,1.2,1.1,2023-01-01,0854,Terra,MODIS,60,61.03,299.5,10.8,D,0
10.345,18.0421,334.8,1.2,1.1,2023-01-01,0854,Terra,MODIS,85,61.03,300.5,39.2,D,0
10.4649,17.0688,317.7,1.4,1.2,2023-01-01,0854,Terra,MODIS,63,61.03,300.2,13.9,D,0
10.414,17.4534,357.7,1.3,1.1,2023-01-01,0854,Terra,MODIS,98,61.03,305.3,107.4,D,0
10.4124,17.4654,354.5,1.3,1.1,2023-01-01,0854,Terra,MODIS,97,61.03,304.9,95.5,D,0
10.0852,19.6462,320.1,1,1,2023-01-01,0854,Terra,MODIS,42,61.03,305.2,8.1,D,0
9.8794,21.0638,319.8,1,1,2023-01-01,0854,Terra,MODIS,60,61.03,304.8,7.3,D,0
10.0029,19.9634,325.9,1,1,2023-01-01,0854,Terra,MODIS,74,61.03,307.5,12.9,D,0
10.0016,19.9726,321.6,1,1,2023-01-01,0854,Terra,MODIS,67,61.03,307,8.2,D,0
9.9798,19.9974,333.7,1,1,2023-01-01,0854,Terra,MODIS,83,61.03,305.9,23.4,D,0
9.9785,20.0065,319.3,1,1,2023-01-01,0854,Terra,MODIS,55,61.03,304,6,D,0
9.9709,19.9961,392.9,1,1,2023-01-01,0854,Terra,MODIS,100,61.03,308.2,207.9,D,0
9.9696,20.0052,382,1,1,2023-01-01,0854,Terra,MODIS,100,61.03,308.3,155,D,0
9.9738,19.8472,337.7,1,1,2023-01-01,0854,Terra,MODIS,87,61.03,304.4,30.8,D,0
9.9725,19.8564,328.8,1,1,2023-01-01,0854,Terra,MODIS,78,61.03,303.2,17.7,D,0
9.9652,19.8395,344.4,1,1,2023-01-01,0854,Terra,MODIS,91,61.03,306.6,41.2,D,0
9.9639,19.8487,342.6,1,1,2023-01-01,0854,Terra,MODIS,90,61.03,307.2,37.9,D,0
9.8922,19.5779,342,1,1,2023-01-01,0854,Terra,MODIS,90,61.03,304.9,38.7,D,0
9.8908,19.5872,387.3,1,1,2023-01-01,0854,Terra,MODIS,100,61.03,310.2,186.4,D,0
9.8895,19.5965,327.3,1,1,2023-01-01,0854,Terra,MODIS,73,61.03,302.9,17.1,D,0
9.8831,19.5766,321.1,1,1,2023-01-01,0854,Terra,MODIS,61,61.03,304.5,8.3,D,0
9.8818,19.5859,357.6,1,1,2023-01-01,0854,Terra,MODIS,98,61.03,305.6,73.9,D,0
9.8805,19.5952,320.7,1,1,2023-01-01,0854,Terra,MODIS,43,61.03,304.9,8.6,D,0
9.9118,19.2439,321.4,1.1,1,2023-01-01,0854,Terra,MODIS,69,61.03,303.9,9.8,D,0
9.9105,19.2534,334.1,1.1,1,2023-01-01,0854,Terra,MODIS,84,61.03,303.3,26.5,D,0
9.9027,19.2426,320.1,1.1,1,2023-01-01,0854,Terra,MODIS,66,61.03,305.1,8.8,D,0
9.9013,19.2522,317.1,1.1,1,2023-01-01,0854,Terra,MODIS,46,61.03,304.1,5.4,D,0
9.7203,20.5177,321.3,1,1,2023-01-01,0854,Terra,MODIS,53,61.03,305.8,7.4,D,0
9.8615,19.4686,316.4,1.1,1,2023-01-01,0854,Terra,MODIS,46,61.03,303.4,5.9,D,0
9.6328,20.6719,334.4,1,1,2023-01-01,0854,Terra,MODIS,83,61.03,304.7,23.7,D,0
9.6315,20.6809,327.3,1,1,2023-01-01,0854,Terra,MODIS,76,61.03,305.1,14.4,D,0
9.7701,19.6584,326.6,1,1,2023-01-01,0854,Terra,MODIS,76,61.03,301.9,17.8,D,0
9.6385,19.933,323.3,1,1,2023-01-01,0854,Terra,MODIS,68,61.03,304.4,10.3,D,0
9.8832,17.835,312.2,1.3,1.1,2023-01-01,0854,Terra,MODIS,10,61.03,299.8,5.6,D,0
9.6085,19.4998,319.5,1,1,2023-01-01,0854,Terra,MODIS,63,61.03,303,9,D,0
9.5475,19.6049,320.7,1,1,2023-01-01,0854,Terra,MODIS,66,61.03,303.4,8.9,D,0
9.5462,19.6141,318.3,1,1,2023-01-01,0854,Terra,MODIS,59,61.03,303.5,6.1,D,0
9.531,19.653,326.2,1,1,2023-01-01,0854,Terra,MODIS,71,61.03,304.8,15.5,D,0
9.4631,19.9973,334.5,1,1,2023-01-01,0854,Terra,MODIS,84,61.03,305.8,23.7,D,0
