latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-40.027,-73.1554,318,2.1,1.4,2023-01-01,0300,Terra,MODIS,96,61.03,283.2,55.6,N,0
-40.0486,-73.1029,310.2,2.1,1.4,2023-01-01,0300,Terra,MODIS,79,61.03,283.2,35.7,N,0
-40.0269,-73.1609,313.2,2.1,1.4,2023-01-01,0300,Terra,MODIS,87,61.03,282.6,43.5,N,0
-40.025,-73.1371,300.7,2.1,1.4,2023-01-01,0300,Terra,MODIS,22,61.03,283.8,19,N,0
-38.1656,-72.9359,302.2,1.9,1.3,2023-01-01,0301,Terra,MODIS,45,61.03,283.7,18.5,N,0
-37.0442,-72.3925,309.6,1.7,1.3,2023-01-01,0301,Terra,MODIS,78,61.03,286.8,25.3,N,2
-37.0537,-72.4052,304.7,1.7,1.3,2023-01-01,0301,Terra,MODIS,61,61.03,287.5,17.2,N,2
-38.171,-73.0008,325.7,1.9,1.4,2023-01-01,0301,Terra,MODIS,100,61.03,285.4,69.1,N,0
-37.046,-72.4118,321.5,1.7,1.3,2023-01-01,0301,Terra,MODIS,100,61.03,287.3,47.7,N,2
-38.1692,-72.9787,322.5,1.9,1.4,2023-01-01,0301,Terra,MODIS,100,61.03,284.6,57.9,N,0
-23.5764,-70.3813,304.1,1,1,2023-01-01,0304,Terra,MODIS,20,61.03,290.1,6.4,N,2
-22.3152,-68.8726,300.7,1.1,1,2023-01-01,0557,Aqua,MODIS,33,61.03,279.4,9.5,N,2
-32.8008,-70.9472,302.2,1,1,2023-01-01,0559,Aqua,MODIS,47,61.03,285.3,8.2,N,2
-34.1049,-70.4494,314.7,1,1,2023-01-01,0600,Aqua,MODIS,90,61.03,282.6,17,N,2
-34.1032,-70.4603,310.1,1,1,2023-01-01,0600,Aqua,MODIS,79,61.03,282.1,13.2,N,2
-37.0481,-72.3986,311.9,1.1,1,2023-01-01,0601,Aqua,MODIS,84,61.03,285.6,14.7,N,2
-37.0389,-72.3963,300.4,1.1,1,2023-01-01,0601,Aqua,MODIS,26,61.03,284.5,7,N,2
-37.0421,-72.3977,307.7,2.5,1.5,2023-01-02,0643,Aqua,MODIS,72,61.03,284.9,42.7,N,2
-26.4372,-69.4739,323.7,1.1,1,2023-01-02,1441,Terra,MODIS,61,61.03,309.3,12.1,D,2
-34.1024,-70.4532,325,1.2,1.1,2023-01-02,1443,Terra,MODIS,74,61.03,303.4,17.7,D,2
-34.1121,-70.4542,322.1,1.2,1.1,2023-01-02,1443,Terra,MODIS,56,61.03,303.6,14.1,D,2
-37.2477,-73.315,311.5,1,1,2023-01-02,1444,Terra,MODIS,50,61.03,297.9,7.3,D,2
-37.1249,-72.0105,312.4,1.1,1,2023-01-02,1444,Terra,MODIS,37,61.03,299,5.1,D,2
-37.6744,-72.5848,308,1.1,1,2023-01-02,1444,Terra,MODIS,43,61.03,296.2,4.9,D,2
-37.7287,-72.2329,309.5,1.1,1,2023-01-02,1444,Terra,MODIS,29,61.03,297,4.9,D,2
-34.6521,-71.1943,314.1,1.1,1.1,2023-01-02,1444,Terra,MODIS,44,61.03,302.5,6.5,D,2
-35.3392,-72.4086,310.6,1,1,2023-01-02,1444,Terra,MODIS,6,61.03,298.8,6,D,2
-35.5423,-71.4788,313.6,1.1,1.1,2023-01-02,1444,Terra,MODIS,32,61.03,301.7,6.3,D,2
-37.046,-72.4051,352,1.1,1,2023-01-02,1444,Terra,MODIS,96,61.03,312.4,63.8,D,2
-37.0476,-72.3932,331.7,1.1,1,2023-01-02,1444,Terra,MODIS,85,61.03,306.2,24.6,D,2
-38.172,-72.9934,319.8,1.1,1,2023-01-02,1445,Terra,MODIS,40,61.03,298.3,14.1,D,0
-38.2374,-72.3318,310.9,1.1,1,2023-01-02,1445,Terra,MODIS,45,61.03,296.6,5.6,D,2
-38.1628,-72.9917,314.8,1.1,1,2023-01-02,1445,Terra,MODIS,63,61.03,293.4,10.2,D,0
-38.1644,-72.9798,324.7,1.1,1,2023-01-02,1445,Terra,MODIS,82,61.03,295.2,19.6,D,0
-38.1736,-72.9816,326.1,1.1,1,2023-01-02,1445,Terra,MODIS,78,61.03,295.6,20.6,D,0
-38.1751,-72.9698,325.8,1.1,1,2023-01-02,1445,Terra,MODIS,58,61.03,296.1,19.1,D,0
-38.414,-73.3184,308.7,1,1,2023-01-02,1445,Terra,MODIS,64,61.03,286.7,9,D,0
-38.1864,-72.9837,347,1.3,1.1,2023-01-02,1844,Aqua,MODIS,94,61.03,300.2,73.3,D,0
-38.176,-72.9615,323.8,1.3,1.1,2023-01-02,1844,Aqua,MODIS,76,61.03,295,21.6,D,0
-38.1777,-72.9763,365.9,1.3,1.1,2023-01-02,1844,Aqua,MODIS,100,61.03,298.6,142.7,D,0
-38.1794,-72.9917,343.2,1.3,1.1,2023-01-02,1844,Aqua,MODIS,93,61.03,301,62.9,D,0
-38.1675,-72.9784,318,1.3,1.1,2023-01-02,1844,Aqua,MODIS,40,61.03,295.8,13,D,0
-38.1691,-72.9936,325.7,1.3,1.1,2023-01-02,1844,Aqua,MODIS,74,61.03,299.3,26.1,D,0
-37.954,-72.4318,315.3,1.2,1.1,2023-01-02,1844,Aqua,MODIS,53,61.03,303.2,8.2,D,2
-37.6316,-73.4645,309.1,1.4,1.2,2023-01-02,1844,Aqua,MODIS,48,61.03,298.7,10.1,D,2
-37.6144,-73.6492,308.6,1.4,1.2,2023-01-02,1844,Aqua,MODIS,15,61.03,297.3,11.3,D,2
-37.5681,-73.4179,316.6,1.4,1.2,2023-01-02,1844,Aqua,MODIS,69,61.03,297.5,18.8,D,0
-37.4793,-73.3462,312.3,1.3,1.1,2023-01-02,1844,Aqua,MODIS,37,61.03,299.7,10.8,D,2
-37.0491,-72.4065,355.7,1.2,1.1,2023-01-02,1844,Aqua,MODIS,98,61.03,319.8,79.5,D,2
-38.1848,-72.9685,338.7,1.3,1.1,2023-01-02,1844,Aqua,MODIS,90,61.03,297.5,50.1,D,0
-33.8114,-70.1918,336.5,1,1,2023-01-02,1845,Aqua,MODIS,83,61.03,308.6,22.7,D,0
-36.9179,-73.0296,312.7,1.3,1.1,2023-01-02,1845,Aqua,MODIS,0,61.03,302.1,14.5,D,2
-36.4254,-71.9664,319.9,1.1,1.1,2023-01-02,1845,Aqua,MODIS,59,61.03,307.9,7.9,D,2
-34.357,-71.426,341.6,1,1,2023-01-02,1845,Aqua,MODIS,88,61.03,312.4,30.8,D,0
-33.8204,-70.1898,385.9,1,1,2023-01-02,1845,Aqua,MODIS,100,61.03,315.5,164.6,D,0
-33.8219,-70.2006,381.9,1,1,2023-01-02,1845,Aqua,MODIS,100,61.03,321.5,147.3,D,0
-33.813,-70.2026,345.5,1,1,2023-01-02,1845,Aqua,MODIS,91,61.03,311.9,38.3,D,0
-27.4207,-70.2616,340.4,1,1,2023-01-02,1847,Aqua,MODIS,85,61.03,317.6,23.8,D,2
-37.9275,-72.6282,309.2,3.2,1.7,2023-01-03,0245,Terra,MODIS,77,61.03,283.5,61.8,N,0
-37.0523,-72.4014,302.6,3.1,1.7,2023-01-03,0245,Terra,MODIS,50,61.03,286,34.7,N,2
-37.9304,-72.6259,314.5,4.8,2,2023-01-03,0422,Terra,MODIS,85,61.03,282.3,154.7,N,0
-37.9276,-72.6201,318,4.8,2,2023-01-03,0422,Terra,MODIS,95,61.03,282.5,184.6,N,0
-34.1026,-70.4484,307.1,1.3,1.1,2023-01-03,0547,Aqua,MODIS,70,61.03,284.3,15.9,N,2
-35.0041,-71.2796,300,1.4,1.2,2023-01-03,0547,Aqua,MODIS,3,61.03,287.3,8.7,N,2
-37.9203,-72.598,301,1.4,1.2,2023-01-03,0548,Aqua,MODIS,36,61.03,283.4,11.6,N,0
-37.9173,-72.6137,317,1.4,1.2,2023-01-03,0548,Aqua,MODIS,94,61.03,283.5,30.3,N,0
-37.0502,-72.3907,305,1.4,1.2,2023-01-03,0548,Aqua,MODIS,63,61.03,284.9,15.1,N,2
-37.0471,-72.4067,305.1,1.4,1.2,2023-01-03,0548,Aqua,MODIS,63,61.03,285.2,15.2,N,2
-53.1107,-68.7938,301.1,1.1,1,2023-01-03,1352,Terra,MODIS,31,61.03,288,2.6,D,0
-37.0437,-72.4057,312.9,4.2,1.9,2023-01-03,1525,Terra,MODIS,56,61.03,296.9,62.7,D,2
-37.0412,-72.3983,313.8,4.2,1.9,2023-01-03,1525,Terra,MODIS,59,61.03,296.9,68.2,D,2
-36.6268,-72.1061,310.6,4.3,1.9,2023-01-03,1525,Terra,MODIS,17,61.03,296.2,30.6,D,2
-37.875,-72.5591,325.1,4.2,1.9,2023-01-03,1526,Terra,MODIS,78,61.03,293.3,157.1,D,0
-37.8722,-72.5518,327.9,4.2,1.9,2023-01-03,1526,Terra,MODIS,81,61.03,293,188.2,D,0
-37.8703,-72.5985,314.4,4.1,1.9,2023-01-03,1526,Terra,MODIS,61,61.03,294.1,78.2,D,0
-38.168,-72.9619,339.8,1.7,1.3,2023-01-03,1927,Aqua,MODIS,88,61.03,303.5,75.9,D,0
-38.1719,-72.9812,325.5,1.7,1.3,2023-01-03,1927,Aqua,MODIS,72,61.03,301.7,34,D,0
-38.1603,-72.971,324.8,1.7,1.3,2023-01-03,1927,Aqua,MODIS,73,61.03,301.7,31.9,D,0
-37.9211,-72.613,320.4,1.8,1.3,2023-01-03,1927,Aqua,MODIS,61,61.03,303.2,22.1,D,0
-37.046,-72.4013,330.2,2,1.4,2023-01-03,1927,Aqua,MODIS,79,61.03,308.9,49.7,D,2
-37.0128,-72.9596,317.8,1.8,1.3,2023-01-03,1927,Aqua,MODIS,0,61.03,303.8,20.9,D,0
-38.1794,-72.9582,317.3,1.7,1.3,2023-01-03,1927,Aqua,MODIS,42,61.03,301.4,14.9,D,0
-33.8955,-71.3524,336.3,2.7,1.6,2023-01-03,1928,Aqua,MODIS,82,61.03,312.6,100.3,D,0
-33.8984,-71.3439,346.3,2.7,1.6,2023-01-03,1928,Aqua,MODIS,92,61.03,313,176.2,D,0
-38.1678,-72.965,303.9,1,1,2023-01-04,0326,Terra,MODIS,58,61.03,286.8,7.5,N,0
-37.9428,-72.4649,305.1,1,1,2023-01-04,0326,Terra,MODIS,63,61.03,288.1,7.9,N,0
-37.9248,-72.6675,304,1,1,2023-01-04,0326,Terra,MODIS,58,61.03,287.6,6.9,N,0
-37.0495,-72.3979,313.7,1,1,2023-01-04,0326,Terra,MODIS,88,61.03,290.8,13.2,N,2
-37.0511,-72.4091,313.4,1,1,2023-01-04,0326,Terra,MODIS,87,61.03,291.1,12.9,N,2
-38.1693,-72.9765,300.6,1,1,2023-01-04,0326,Terra,MODIS,31,61.03,286.3,5.6,N,0
-33.8904,-71.3267,322.8,1.1,1,2023-01-04,0327,Terra,MODIS,100,61.03,293.5,22.3,N,0
-33.8738,-71.3432,323.6,1.1,1,2023-01-04,0327,Terra,MODIS,99,61.03,296.5,22.9,N,0
-33.8646,-71.3453,321.9,1.1,1,2023-01-04,0327,Terra,MODIS,100,61.03,293.5,21.4,N,0
-33.8663,-71.3566,308.8,1.1,1,2023-01-04,0327,Terra,MODIS,27,61.03,292.1,9,N,0
-34.1097,-70.4583,315.8,1.2,1.1,2023-01-04,0327,Terra,MODIS,92,61.03,287.6,20,N,2
-37.0459,-72.3956,311.2,1.6,1.2,2023-01-04,0630,Aqua,MODIS,82,61.03,288.8,23.7,N,2
-37.5846,-73.5578,304.9,1.4,1.2,2023-01-04,0630,Aqua,MODIS,62,61.03,285.2,13.7,N,0
-37.5829,-73.5737,308.8,1.4,1.2,2023-01-04,0630,Aqua,MODIS,75,61.03,285.3,17.6,N,0
-37.5741,-73.5562,344.9,1.4,1.2,2023-01-04,0630,Aqua,MODIS,100,61.03,287.8,86.2,N,0
