latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
0.8078,-74.7896,303.1,1,1,2023-01-01,0311,Terra,MODIS,53,61.03,286.9,4.9,N,0
0.8042,-74.3628,308,1,1,2023-01-01,0311,Terra,MODIS,43,61.03,290.4,8,N,0
0.7953,-74.3616,324.2,1,1,2023-01-01,0311,Terra,MODIS,100,61.03,291.5,21.9,N,0
0.5508,-75.3721,301.4,1,1,2023-01-01,0311,Terra,MODIS,38,61.03,289.5,3.2,N,0
0.9131,-74.503,326,1,1,2023-01-01,0311,Terra,MODIS,100,61.03,288.1,23.7,N,0
0.7965,-74.3526,315.7,1,1,2023-01-01,0311,Terra,MODIS,68,61.03,291.4,13.4,N,0
0.9042,-74.5017,306.3,1,1,2023-01-01,0311,Terra,MODIS,62,61.03,288.2,6.3,N,0
0.6821,-75.8188,308.2,1,1,2023-01-01,0311,Terra,MODIS,74,61.03,291.7,7.9,N,0
0.7864,-74.3544,313.5,1,1,2023-01-01,0311,Terra,MODIS,87,61.03,289.3,10.7,N,0
0.5987,-75.5575,303.8,1,1,2023-01-01,0311,Terra,MODIS,57,61.03,292.1,4.6,N,0
2.8113,-73.5085,312.1,1.1,1,2023-01-01,0312,Terra,MODIS,84,61.03,293.6,11.9,N,0
2.5555,-74.5455,317.5,1,1,2023-01-01,0312,Terra,MODIS,95,61.03,292.2,14.8,N,0
2.9398,-74.2991,308.6,1,1,2023-01-01,0312,Terra,MODIS,75,61.03,291,8.2,N,0
2.9385,-74.3083,303.1,1,1,2023-01-01,0312,Terra,MODIS,53,61.03,291.2,4.8,N,0
-1.4661,-70.2893,313.4,1.3,1.1,2023-01-01,1811,Aqua,MODIS,0,61.03,296.8,11.7,D,0
0.7988,-74.3578,328.5,2.5,1.5,2023-01-01,1812,Aqua,MODIS,73,61.03,293,76.3,D,0
0.7908,-74.3497,323.4,2.5,1.5,2023-01-01,1812,Aqua,MODIS,77,61.03,290.9,55.2,D,0
0.7875,-74.3717,342.7,2.5,1.5,2023-01-01,1812,Aqua,MODIS,93,61.03,291.3,159.5,D,0
0.732,-74.7908,314.9,2.7,1.6,2023-01-01,1812,Aqua,MODIS,36,61.03,290.1,35.9,D,0
4.4664,-71.0382,312.3,1.2,1.1,2023-01-01,1813,Aqua,MODIS,21,61.03,283.6,7.8,D,0
5.0569,-67.885,316.7,1,1,2023-01-01,1813,Aqua,MODIS,38,61.03,296.4,6.7,D,0
4.8659,-69.8441,321.3,1.1,1,2023-01-01,1813,Aqua,MODIS,63,61.03,293.3,8.9,D,0
4.6658,-71.755,311.8,1.4,1.2,2023-01-01,1813,Aqua,MODIS,52,61.03,290.3,8.5,D,0
4.664,-71.7671,326.9,1.4,1.2,2023-01-01,1813,Aqua,MODIS,82,61.03,291.5,31.7,D,0
5.2808,-67.9364,328.1,1,1,2023-01-01,1813,Aqua,MODIS,46,61.03,295.2,15.3,D,0
5.2795,-67.9453,345.8,1,1,2023-01-01,1813,Aqua,MODIS,93,61.03,299.7,43.7,D,0
4.7469,-71.7615,315.9,1.4,1.2,2023-01-01,1813,Aqua,MODIS,49,61.03,288.2,14.7,D,0
4.9314,-70.8737,312.9,1.2,1.1,2023-01-01,1813,Aqua,MODIS,44,61.03,289.7,7,D,0
4.989,-71.652,311.2,1.3,1.1,2023-01-01,1813,Aqua,MODIS,44,61.03,287.3,9.1,D,0
5.9649,-67.6551,321.8,1,1,2023-01-01,1813,Aqua,MODIS,55,61.03,299.5,8.2,D,0
5.9636,-67.6642,329.3,1,1,2023-01-01,1813,Aqua,MODIS,80,61.03,299.4,17.1,D,0
5.9726,-67.6655,339.9,1,1,2023-01-01,1813,Aqua,MODIS,89,61.03,299.2,31.3,D,0
5.5928,-70.6701,314,1.1,1.1,2023-01-01,1813,Aqua,MODIS,41,61.03,287.7,8.9,D,0
5.8001,-69.3134,320.1,1,1,2023-01-01,1813,Aqua,MODIS,53,61.03,294.8,9.9,D,0
6.1897,-67.8203,324.8,1,1,2023-01-01,1813,Aqua,MODIS,44,61.03,299.7,11.9,D,0
2.9264,-72.7031,322.8,1.7,1.3,2023-01-01,1813,Aqua,MODIS,79,61.03,295.7,25.9,D,0
2.94,-72.6898,318.8,1.7,1.3,2023-01-01,1813,Aqua,MODIS,51,61.03,294.6,16.4,D,0
2.9377,-72.7048,331.5,1.7,1.3,2023-01-01,1813,Aqua,MODIS,86,61.03,294.5,47.1,D,0
3.0806,-72.0483,334.5,1.5,1.2,2023-01-01,1813,Aqua,MODIS,88,61.03,296.6,46.6,D,0
3.0914,-72.0499,319.5,1.5,1.2,2023-01-01,1813,Aqua,MODIS,61,61.03,295.8,16.5,D,0
3.0851,-72.0408,325.1,1.5,1.2,2023-01-01,1813,Aqua,MODIS,81,61.03,296.9,25.9,D,0
3.083,-72.0541,325.4,1.5,1.2,2023-01-01,1813,Aqua,MODIS,81,61.03,296.7,27.5,D,0
3.3541,-71.8399,313.6,1.4,1.2,2023-01-01,1813,Aqua,MODIS,48,61.03,292.3,10.6,D,0
3.9103,-70.5727,320.3,1.2,1.1,2023-01-01,1813,Aqua,MODIS,68,61.03,294.6,13.2,D,0
3.9088,-70.5832,318.9,1.2,1.1,2023-01-01,1813,Aqua,MODIS,57,61.03,296.5,10.3,D,0
4.2623,-70.6173,328.3,1.2,1.1,2023-01-01,1813,Aqua,MODIS,82,61.03,290.9,23.9,D,0
4.2673,-70.6502,319.1,1.2,1.1,2023-01-01,1813,Aqua,MODIS,64,61.03,287.6,12.7,D,0
4.2636,-70.8779,312,1.2,1.1,2023-01-01,1813,Aqua,MODIS,0,61.03,287.3,8.4,D,0
4.3418,-70.9072,319.7,1.2,1.1,2023-01-01,1813,Aqua,MODIS,66,61.03,283.8,15.4,D,0
4.3402,-70.918,318.1,1.2,1.1,2023-01-01,1813,Aqua,MODIS,68,61.03,283.7,13.9,D,0
4.5858,-69.6099,323.7,1.1,1,2023-01-01,1813,Aqua,MODIS,51,61.03,301.7,9.1,D,0
4.8141,-68.2286,316.9,1,1,2023-01-01,1813,Aqua,MODIS,64,61.03,295.4,7.7,D,0
4.8128,-68.2375,335.7,1,1,2023-01-01,1813,Aqua,MODIS,87,61.03,295.3,29.8,D,0
6.5154,-69.968,322.7,1.1,1,2023-01-01,1814,Aqua,MODIS,74,61.03,297.6,13.6,D,0
6.5063,-69.9666,319.8,1.1,1,2023-01-01,1814,Aqua,MODIS,50,61.03,295,10.2,D,0
6.5168,-69.9586,317.5,1.1,1,2023-01-01,1814,Aqua,MODIS,42,61.03,296.9,8.2,D,0
6.4963,-69.9077,325.5,1,1,2023-01-01,1814,Aqua,MODIS,77,61.03,297.7,17.4,D,0
11.135,-72.5723,306.8,1.2,1.1,2023-01-02,0630,Aqua,MODIS,66,61.03,295.4,6.9,N,2
3.84,-72.41,304.1,1,1,2023-01-02,0632,Aqua,MODIS,58,61.03,288.1,7,N,0
11.1468,-72.5424,310,3.7,1.8,2023-01-02,1431,Terra,MODIS,26,61.03,295.9,34.2,D,2
5.3105,-70.4045,350.3,2,1.4,2023-01-02,1433,Terra,MODIS,95,61.03,296.6,157.6,D,0
4.5487,-69.8844,318.7,1.8,1.3,2023-01-02,1433,Terra,MODIS,61,61.03,296.5,18.4,D,0
4.5466,-69.8686,328.6,1.8,1.3,2023-01-02,1433,Terra,MODIS,82,61.03,296.8,43.6,D,0
3.6281,-71.4039,317.6,2.6,1.6,2023-01-02,1855,Aqua,MODIS,68,61.03,289.7,33.9,D,0
3.6328,-71.4094,317.5,2.6,1.6,2023-01-02,1855,Aqua,MODIS,74,61.03,289.2,32.4,D,0
3.8684,-74.9554,311.8,1.4,1.2,2023-01-02,1856,Aqua,MODIS,31,61.03,284.7,9.1,D,0
4.6077,-69.8395,331.4,3.6,1.8,2023-01-02,1856,Aqua,MODIS,73,61.03,286.3,155.7,D,0
4.5995,-69.8436,313.1,3.6,1.8,2023-01-02,1856,Aqua,MODIS,30,61.03,285.1,36.9,D,0
4.6155,-69.8457,329.5,3.6,1.8,2023-01-02,1856,Aqua,MODIS,72,61.03,286.4,142.5,D,0
4.7782,-70.6781,346.7,3.1,1.7,2023-01-02,1856,Aqua,MODIS,94,61.03,292.5,247.4,D,0
4.7931,-70.6802,326.2,3.1,1.7,2023-01-02,1856,Aqua,MODIS,80,61.03,292.8,79.9,D,0
5.0258,-71.1896,313,2.9,1.6,2023-01-02,1856,Aqua,MODIS,49,61.03,290.4,25.4,D,0
5.2482,-70.3543,321.5,3.4,1.7,2023-01-02,1856,Aqua,MODIS,75,61.03,292,72.2,D,0
5.3007,-70.3966,322,3.4,1.7,2023-01-02,1856,Aqua,MODIS,75,61.03,291.6,73.8,D,0
5.2976,-70.4041,323,3.4,1.7,2023-01-02,1856,Aqua,MODIS,70,61.03,292.2,75.1,D,0
4.6958,-76.0271,311.4,1.2,1.1,2023-01-02,1856,Aqua,MODIS,57,61.03,292.3,8.4,D,0
7.5428,-74.8611,321.2,1.6,1.3,2023-01-02,1856,Aqua,MODIS,76,61.03,295,24.7,D,0
3.9861,-71.5073,305.5,1,1,2023-01-03,0256,Terra,MODIS,65,61.03,290.6,4.9,N,0
4.1595,-72.2376,303.7,1,1,2023-01-03,0256,Terra,MODIS,56,61.03,291.5,4.3,N,0
4.1582,-72.2465,305.8,1,1,2023-01-03,0256,Terra,MODIS,66,61.03,291.4,5.8,N,0
4.9446,-69.9935,313.7,1.1,1,2023-01-03,0256,Terra,MODIS,88,61.03,292.9,11.4,N,0
4.9514,-69.9903,313,1.1,1,2023-01-03,0256,Terra,MODIS,73,61.03,292.8,11.1,N,0
4.9501,-70.0001,312.6,1.1,1,2023-01-03,0256,Terra,MODIS,85,61.03,292.4,11,N,0
10.891,-73.5191,321.5,1,1,2023-01-03,1513,Terra,MODIS,62,61.03,301.4,16,D,0
10.8897,-73.51,319.4,1,1,2023-01-03,1513,Terra,MODIS,55,61.03,303.1,14.6,D,0
10.3104,-74.6613,316.5,1,1,2023-01-03,1513,Terra,MODIS,60,61.03,299.3,7.5,D,0
9.9099,-73.3668,316.8,1,1,2023-01-03,1513,Terra,MODIS,65,61.03,302.8,7,D,0
9.765,-73.5748,318.8,1,1,2023-01-03,1513,Terra,MODIS,63,61.03,304.6,8.4,D,0
8.9691,-75.8547,313.2,1.1,1,2023-01-03,1513,Terra,MODIS,58,61.03,296.1,4.8,D,0
5.6003,-71.2999,320.7,1.4,1.2,2023-01-03,1514,Terra,MODIS,74,61.03,294.3,17.4,D,0
4.0442,-72.2581,315.6,1.3,1.1,2023-01-03,1514,Terra,MODIS,45,61.03,291.2,9.1,D,0
