latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.6913,43.2635,310.3,2.1,1.4,2023-01-30,0735,Terra,MODIS,0,61.03,295,18.1,D,2
-11.6948,43.2678,314,1.8,1.3,2023-02-17,0649,Terra,MODIS,24,61.03,298.7,14.2,D,2
-11.6939,43.2604,311,1.2,1.1,2023-04-05,1050,Aqua,MODIS,0,61.03,294.9,8.3,D,2
-11.6759,43.392,319.4,1.2,1.1,2023-05-10,1051,Aqua,MODIS,49,61.03,305.9,11,D,1
-11.5874,43.3427,317.3,1,1,2023-06-03,0711,Terra,MODIS,65,61.03,299.7,9.4,D,0
-11.5965,43.3414,326.7,1,1,2023-06-03,0711,Terra,MODIS,80,61.03,300.2,20,D,0
-11.5978,43.3508,321.3,1,1,2023-06-03,0711,Terra,MODIS,74,61.03,300.4,13.9,D,0
-11.7454,43.4245,320.8,1.2,1.1,2023-06-17,0654,Terra,MODIS,57,61.03,301.5,17.4,D,1
-11.6905,43.3272,312,1.5,1.2,2023-06-28,1047,Aqua,MODIS,39,61.03,292.8,14.6,D,1
-11.7589,43.4347,327.3,1,1,2023-09-02,0656,Terra,MODIS,67,61.03,300.3,19.5,D,1
-11.7479,43.3693,312.2,1,1,2023-09-02,1102,Aqua,MODIS,28,61.03,291.4,8.2,D,1
-11.6161,43.3663,315.7,1.1,1,2023-09-14,1113,Aqua,MODIS,55,61.03,300.6,6.7,D,0
-11.5803,43.3661,314.4,1.1,1,2023-10-17,1115,Aqua,MODIS,46,61.03,301.2,4.8,D,0
-11.5818,43.3562,324.8,1.1,1,2023-10-17,1115,Aqua,MODIS,78,61.03,301.3,15.2,D,0
-11.6078,43.2785,319.6,1,1,2023-11-07,1105,Aqua,MODIS,44,61.03,305.1,7.8,D,0
-11.5004,43.3032,306.6,1.7,1.3,2023-11-08,1852,Terra,MODIS,47,61.03,292.8,15.7,N,0
-11.5533,43.2749,314,1,1,2023-12-17,0653,Terra,MODIS,30,61.03,296.4,5.9,D,0
-12.1405,44.4274,314.2,1,1,2023-12-22,1106,Aqua,MODIS,35,61.03,298,6.8,D,0
