latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.5378,-85.5665,321.6,1.1,1.1,2023-01-04,0339,Terra,MODIS,100,61.03,294.1,21.7,N,0
10.5285,-85.5651,324.5,1.1,1.1,2023-01-04,0339,Terra,MODIS,100,61.03,294.5,25.3,N,0
10.5798,-85.2907,347,1,1,2023-01-04,1554,Terra,MODIS,94,61.03,298.5,53.7,D,0
10.4234,-85.2912,313,1,1,2023-01-04,1554,Terra,MODIS,64,61.03,298.8,5.9,D,0
9.1519,-83.3177,324.5,1.5,1.2,2023-01-06,0323,Terra,MODIS,100,61.03,291.5,39.9,N,0
9.1479,-83.3113,308.5,1.5,1.2,2023-01-06,0323,Terra,MODIS,75,61.03,291.5,14.8,N,0
9.146,-83.3244,308.8,1.5,1.2,2023-01-06,0323,Terra,MODIS,76,61.03,290.9,15.2,N,0
10.3797,-84.1537,313.4,1,1,2023-01-07,1914,Aqua,MODIS,63,61.03,296.4,6.3,D,0
10.0536,-84.8528,330.5,1.1,1,2023-01-09,1603,Terra,MODIS,81,61.03,294.4,26.3,D,0
10.0522,-84.8431,327.3,1.1,1,2023-01-09,1603,Terra,MODIS,84,61.03,294.6,21.9,D,0
9.5509,-84.5458,311.8,1.1,1,2023-01-11,1548,Terra,MODIS,57,61.03,297.4,6.5,D,0
10.4363,-85.5178,317.2,2.6,1.5,2023-01-18,1850,Aqua,MODIS,59,61.03,297.6,25.8,D,0
10.4355,-85.5278,324.4,1,1,2023-01-21,0351,Terra,MODIS,100,61.03,293,22.2,N,0
10.4342,-85.5371,330.3,1,1,2023-01-21,0351,Terra,MODIS,100,61.03,293.4,29.6,N,0
10.1924,-85.2007,323.6,1,1,2023-01-21,1920,Aqua,MODIS,31,61.03,302.8,11.8,D,0
10.2593,-85.1896,320,1,1,2023-01-21,1920,Aqua,MODIS,66,61.03,303.4,8,D,0
9.8594,-84.0698,306,1.2,1.1,2023-01-22,0735,Aqua,MODIS,66,61.03,285.9,11.8,N,0
10.3742,-85.1102,316.4,1.1,1,2023-01-23,1550,Terra,MODIS,66,61.03,300.7,7.3,D,0
10.3728,-85.1004,319.5,1.1,1,2023-01-23,1550,Terra,MODIS,74,61.03,300.5,10,D,0
10.3772,-85.1993,319.3,1.1,1,2023-01-23,1550,Terra,MODIS,73,61.03,299.7,10.5,D,0
10.0977,-83.5041,314.1,1,1,2023-01-23,1550,Terra,MODIS,42,61.03,300.7,6.8,D,2
10.0047,-84.198,317.9,1,1,2023-01-23,1550,Terra,MODIS,68,61.03,301.1,7.2,D,2
9.8535,-83.9774,312.6,1,1,2023-01-23,1550,Terra,MODIS,65,61.03,295.6,6.8,D,0
9.8522,-83.9684,317.8,1,1,2023-01-23,1550,Terra,MODIS,73,61.03,296.4,10.5,D,0
8.8875,-83.442,316.6,1.1,1,2023-01-23,1906,Aqua,MODIS,55,61.03,299.4,10.4,D,0
10.3789,-85.4965,318.3,1.3,1.1,2023-01-23,1906,Aqua,MODIS,70,61.03,302,8.9,D,0
10.4599,-85.5212,302.4,2.7,1.6,2023-01-24,0416,Terra,MODIS,49,61.03,292,17.6,N,0
10.4701,-85.4882,312.4,1.3,1.1,2023-01-26,0400,Terra,MODIS,85,61.03,292.9,14.7,N,0
10.3821,-85.4653,315.8,1.7,1.3,2023-01-27,0751,Aqua,MODIS,92,61.03,293.2,27.4,N,0
10.383,-85.4705,308.2,1.7,1.3,2023-01-27,0751,Aqua,MODIS,74,61.03,292.8,14.9,N,0
10.3807,-85.4555,310.6,1.7,1.3,2023-01-27,0751,Aqua,MODIS,80,61.03,293.1,18.4,N,0
10.0977,-83.5059,310.9,1.1,1.1,2023-01-28,1559,Terra,MODIS,52,61.03,297.9,8.6,D,2
10.3164,-85.0911,315.9,1,1,2023-01-28,1559,Terra,MODIS,59,61.03,302.5,5.6,D,0
10.0698,-84.7968,317.8,1,1,2023-01-28,1559,Terra,MODIS,71,61.03,301.8,8.2,D,0
10.0684,-84.7876,318.9,1,1,2023-01-28,1559,Terra,MODIS,73,61.03,301.4,9.2,D,0
9.9002,-84.5898,318,1,1,2023-01-28,1559,Terra,MODIS,55,61.03,303.1,8.7,D,0
9.2455,-83.4933,310.3,1.2,1.1,2023-01-28,1559,Terra,MODIS,66,61.03,298.3,5.4,D,0
9.039,-83.073,312.9,1.2,1.1,2023-01-28,1559,Terra,MODIS,63,61.03,298.2,9,D,0
9.0359,-83.0681,310.5,1.2,1.1,2023-01-28,1559,Terra,MODIS,56,61.03,298,6.7,D,0
9.184,-83.2771,320.2,1.2,1.1,2023-01-28,1922,Aqua,MODIS,75,61.03,302.7,14.1,D,0
9.1541,-83.4976,324.2,1.2,1.1,2023-01-28,1922,Aqua,MODIS,79,61.03,304.1,16.4,D,0
10.0481,-84.3587,318.4,1.1,1,2023-01-28,1922,Aqua,MODIS,69,61.03,303.9,7.4,D,0
10.4377,-85.5206,325.1,1,1,2023-01-28,1922,Aqua,MODIS,78,61.03,308,11.7,D,0
10.4364,-85.5297,330,1,1,2023-01-28,1922,Aqua,MODIS,82,61.03,308.3,17.3,D,0
10.6735,-85.5004,319.7,1.4,1.2,2023-01-30,1543,Terra,MODIS,70,61.03,301.8,12.9,D,0
8.8783,-83.4407,317.6,1,1,2023-01-30,1908,Aqua,MODIS,48,61.03,297.9,8.6,D,0
10.6632,-85.5066,325.2,1.2,1.1,2023-01-30,1909,Aqua,MODIS,37,61.03,307.3,12.2,D,0
10.6729,-85.5082,325.8,1.2,1.1,2023-01-30,1909,Aqua,MODIS,40,61.03,308.3,12.7,D,0
10.4344,-85.2432,302.7,2.1,1.4,2023-01-31,0409,Terra,MODIS,51,61.03,292.2,10,N,0
10.4245,-85.4939,313.5,2,1.4,2023-01-31,0409,Terra,MODIS,87,61.03,291.1,31,N,0
