latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.8577,-3.7885,329.5,2.3,1.5,2023-01-01,0230,Aqua,MODIS,100,61.03,287,103.4,N,0
8.5611,-7.6711,304.1,1.2,1.1,2023-01-01,0230,Aqua,MODIS,59,61.03,293.1,7.1,N,0
8.9158,-3.7506,315.5,2.3,1.5,2023-01-01,0230,Aqua,MODIS,91,61.03,288.3,53.1,N,0
8.9122,-3.7295,301.8,2.3,1.5,2023-01-01,0230,Aqua,MODIS,44,61.03,285.7,20.8,N,0
8.9026,-3.7526,316.2,2.3,1.5,2023-01-01,0230,Aqua,MODIS,93,61.03,286.8,54.8,N,0
8.9166,-3.736,308.6,2.3,1.5,2023-01-01,0230,Aqua,MODIS,75,61.03,287.3,35.1,N,0
8.9069,-3.7593,314.9,2.3,1.5,2023-01-01,0230,Aqua,MODIS,90,61.03,287.5,49.4,N,0
8.9035,-3.7381,310.7,2.3,1.5,2023-01-01,0230,Aqua,MODIS,70,61.03,286,39.1,N,0
8.8611,-3.8092,300.3,2.3,1.5,2023-01-01,0230,Aqua,MODIS,14,61.03,285.2,17.8,N,0
10.3018,-5.3449,317,1.1,1,2023-01-01,1032,Terra,MODIS,52,61.03,304,5.8,D,0
9.2404,-4.3679,366.9,1,1,2023-01-01,1033,Terra,MODIS,100,61.03,302,97.2,D,0
9.0331,-3.5201,323.9,1,1,2023-01-01,1033,Terra,MODIS,72,61.03,306.5,11.3,D,0
9.0302,-3.6851,323.1,1,1,2023-01-01,1033,Terra,MODIS,44,61.03,306.9,8.1,D,0
10.0886,-6.3905,318.4,1.2,1.1,2023-01-01,1033,Terra,MODIS,63,61.03,306.3,8.2,D,0
9.0276,-3.6672,348.9,1,1,2023-01-01,1033,Terra,MODIS,94,61.03,306.2,47.8,D,0
9.0262,-3.6583,349.4,1,1,2023-01-01,1033,Terra,MODIS,94,61.03,307.7,49.5,D,0
9.0249,-3.6494,328.8,1,1,2023-01-01,1033,Terra,MODIS,67,61.03,306.8,15.9,D,0
8.9908,-3.5511,321.4,1,1,2023-01-01,1033,Terra,MODIS,41,61.03,305.5,7.1,D,0
8.9802,-3.4794,317.8,1,1,2023-01-01,1033,Terra,MODIS,55,61.03,305.4,6,D,0
8.9832,-3.5614,323.4,1,1,2023-01-01,1033,Terra,MODIS,47,61.03,308.1,9.9,D,0
8.9842,-3.753,327.5,1,1,2023-01-01,1033,Terra,MODIS,77,61.03,303.6,15.2,D,0
8.9829,-3.7441,321.2,1,1,2023-01-01,1033,Terra,MODIS,24,61.03,303.3,8.5,D,0
8.9648,-3.6828,319.9,1,1,2023-01-01,1033,Terra,MODIS,39,61.03,306.1,6.7,D,0
9.4461,-7.1449,316.6,1.3,1.1,2023-01-01,1033,Terra,MODIS,65,61.03,303.4,10.7,D,0
8.956,-3.6841,326.9,1,1,2023-01-01,1033,Terra,MODIS,71,61.03,304.3,14.7,D,0
8.9629,-3.7925,327.9,1,1,2023-01-01,1033,Terra,MODIS,38,61.03,301.8,13,D,0
8.9566,-3.8116,328.5,1,1,2023-01-01,1033,Terra,MODIS,65,61.03,302,15.3,D,0
8.9504,-3.8307,331.7,1,1,2023-01-01,1033,Terra,MODIS,64,61.03,298.5,20,D,0
8.9432,-3.856,322.3,1,1,2023-01-01,1033,Terra,MODIS,53,61.03,303.4,11.7,D,0
8.9356,-3.8662,328.3,1,1,2023-01-01,1033,Terra,MODIS,79,61.03,302.1,19.1,D,0
8.9343,-3.8572,361.9,1,1,2023-01-01,1033,Terra,MODIS,100,61.03,307.6,83.1,D,0
8.933,-3.8483,338.8,1,1,2023-01-01,1033,Terra,MODIS,75,61.03,305.3,31.9,D,0
8.9121,-3.7056,337.2,1,1,2023-01-01,1033,Terra,MODIS,87,61.03,305.9,28.4,D,0
8.932,-3.9031,318.2,1,1,2023-01-01,1033,Terra,MODIS,54,61.03,302.5,7.7,D,0
8.9045,-3.7158,340.7,1,1,2023-01-01,1033,Terra,MODIS,82,61.03,303.7,33.4,D,0
8.9032,-3.7069,334.3,1,1,2023-01-01,1033,Terra,MODIS,74,61.03,303.1,24.4,D,0
8.9009,-3.7528,337.9,1,1,2023-01-01,1033,Terra,MODIS,87,61.03,306.4,29.2,D,0
8.8459,-3.4407,319.4,1,1,2023-01-01,1033,Terra,MODIS,63,61.03,305.6,7.7,D,0
8.9028,-3.8891,319.4,1,1,2023-01-01,1033,Terra,MODIS,65,61.03,305.3,9.3,D,0
