latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.3012,16.7774,304.3,1,1,2023-01-14,0929,Terra,MODIS,59,61.03,279.4,9.6,D,0
43.006,17.6206,309.5,1.4,1.2,2023-02-05,0949,Terra,MODIS,66,61.03,277.6,19.6,D,0
45.4757,13.9882,317.1,1,1,2023-02-07,2040,Terra,MODIS,95,61.03,266.3,21.2,N,0
43.9556,16.412,304.2,1,1,2023-02-12,1205,Aqua,MODIS,58,61.03,282.2,7.5,D,0
42.9476,17.327,306.6,1.9,1.3,2023-02-15,1234,Aqua,MODIS,42,61.03,290.6,19.2,D,0
44.1802,15.9528,303.1,1.6,1.3,2023-02-15,1234,Aqua,MODIS,46,61.03,291.6,8.7,D,0
42.9943,17.6094,307.3,1.1,1,2023-02-21,1153,Aqua,MODIS,65,61.03,289.7,9.3,D,0
44.6571,15.9417,313.7,1.2,1.1,2023-02-21,1154,Aqua,MODIS,74,61.03,288.5,16.9,D,0
45.2619,18.4192,302.5,1,1,2023-02-21,1154,Aqua,MODIS,52,61.03,291.5,3.7,D,0
45.2777,16.2261,309.8,1.1,1.1,2023-02-21,1154,Aqua,MODIS,69,61.03,291.4,10.7,D,0
45.2965,16.3016,301.3,1.1,1.1,2023-02-21,1154,Aqua,MODIS,46,61.03,289.9,4.8,D,0
45.3455,16.3582,308.1,1.1,1.1,2023-02-21,1154,Aqua,MODIS,66,61.03,289.4,9.3,D,0
45.1866,18.6227,302.2,1.2,1.1,2023-02-23,1140,Aqua,MODIS,48,61.03,288.7,6.2,D,0
45.3381,18.2802,315.5,1.2,1.1,2023-02-24,0944,Terra,MODIS,76,61.03,281.8,19.9,D,0
45.3355,18.2948,300.1,1.2,1.1,2023-02-24,0944,Terra,MODIS,26,61.03,279.9,6.8,D,0
44.1591,15.4623,303,1,1,2023-03-12,1212,Aqua,MODIS,54,61.03,290.8,3.9,D,0
44.1574,15.4501,310.9,1,1,2023-03-12,1212,Aqua,MODIS,71,61.03,291,9.1,D,0
44.4959,16.0533,309.8,1.1,1,2023-03-14,1159,Aqua,MODIS,69,61.03,292.2,9.6,D,0
44.5404,15.4081,310.6,1.2,1.1,2023-03-17,1227,Aqua,MODIS,70,61.03,290.3,12,D,0
44.543,15.4162,303,1.2,1.1,2023-03-17,1227,Aqua,MODIS,39,61.03,289.2,5.4,D,0
44.5413,15.4008,308,1.2,1.1,2023-03-17,1227,Aqua,MODIS,66,61.03,290.1,9.3,D,0
45.361,16.4062,316.1,1.6,1.3,2023-03-18,1003,Terra,MODIS,76,61.03,289.7,27.8,D,0
45.3611,16.4008,317.6,1.6,1.3,2023-03-18,1003,Terra,MODIS,78,61.03,289.8,32.1,D,0
45.3321,13.6804,303.8,1.2,1.1,2023-03-18,1003,Terra,MODIS,57,61.03,289.1,7,D,0
