latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.2054,-74.9463,304,1.5,1.2,2023-01-01,0316,Terra,MODIS,58,61.03,290.7,9.5,N,0
21.3598,-78.0116,316.2,1.1,1,2023-01-01,0317,Terra,MODIS,93,61.03,292.6,14.7,N,0
21.3673,-78.0191,316,1.1,1,2023-01-01,0317,Terra,MODIS,92,61.03,292.4,15.1,N,0
21.9306,-77.998,306.3,1.1,1,2023-01-01,0317,Terra,MODIS,67,61.03,293.5,6.2,N,0
21.3585,-78.0216,343.7,1.1,1,2023-01-01,0317,Terra,MODIS,100,61.03,294,53.5,N,0
21.9214,-77.9966,303.6,1.1,1,2023-01-01,0317,Terra,MODIS,37,61.03,293.2,4.4,N,0
22.658,-81.2219,302.3,1,1,2023-01-01,0317,Terra,MODIS,48,61.03,291.7,4.9,N,0
21.3624,-77.9999,315.7,1.4,1.2,2023-01-01,0723,Aqua,MODIS,92,61.03,291.3,22.7,N,0
21.3543,-78.0147,330.6,1.4,1.2,2023-01-01,0723,Aqua,MODIS,100,61.03,292.8,47.8,N,0
21.3668,-78.0256,316.7,1.4,1.2,2023-01-01,0723,Aqua,MODIS,94,61.03,291.8,24,N,0
21.3646,-78.0128,333.4,1.4,1.2,2023-01-01,0723,Aqua,MODIS,100,61.03,292.8,53.6,N,0
21.3565,-78.0276,319,1.4,1.2,2023-01-01,0723,Aqua,MODIS,98,61.03,292,27.2,N,0
21.0925,-78.3452,338.3,2.1,1.4,2023-01-01,1818,Aqua,MODIS,89,61.03,298.2,103.8,D,0
21.0888,-78.3648,313.7,2.1,1.4,2023-01-01,1818,Aqua,MODIS,45,61.03,292.5,20.9,D,0
21.4413,-77.894,340.2,1.9,1.3,2023-01-01,1818,Aqua,MODIS,86,61.03,299.1,97.5,D,0
21.438,-77.912,322.4,1.9,1.3,2023-01-01,1818,Aqua,MODIS,73,61.03,297.3,37.5,D,0
21.9081,-78.0049,318.5,1.9,1.3,2023-01-01,1818,Aqua,MODIS,60,61.03,297.7,24.8,D,0
21.9232,-77.9896,321.8,1.9,1.3,2023-01-01,1818,Aqua,MODIS,72,61.03,298.8,34.6,D,0
20.5724,-75.3306,317.7,1.3,1.1,2023-01-01,1818,Aqua,MODIS,70,61.03,297.7,16.2,D,0
20.7027,-77.05,316.3,1.7,1.3,2023-01-01,1818,Aqua,MODIS,54,61.03,297.8,19,D,0
20.7699,-75.9899,318.5,1.4,1.2,2023-01-01,1818,Aqua,MODIS,70,61.03,299,17.4,D,0
20.7676,-76.0034,326.3,1.4,1.2,2023-01-01,1818,Aqua,MODIS,79,61.03,300,30.8,D,0
20.7055,-77.034,320.1,1.7,1.3,2023-01-01,1818,Aqua,MODIS,67,61.03,296.7,25.4,D,0
21.757,-78.8524,315.2,2.2,1.4,2023-01-02,1607,Terra,MODIS,71,61.03,298.3,24.5,D,0
21.4757,-78.4986,328.4,1.4,1.2,2023-01-02,1900,Aqua,MODIS,82,61.03,296.5,33.9,D,0
20.229,-77.1906,316.1,1.7,1.3,2023-01-02,1900,Aqua,MODIS,65,61.03,299.8,16.3,D,0
20.2652,-76.9806,319.3,1.8,1.3,2023-01-02,1900,Aqua,MODIS,72,61.03,300.4,18.4,D,0
20.4437,-77.0157,319.2,1.8,1.3,2023-01-02,1900,Aqua,MODIS,68,61.03,299.1,22.7,D,0
20.4509,-77.0223,325.3,1.8,1.3,2023-01-02,1900,Aqua,MODIS,78,61.03,298.6,36,D,0
20.576,-76.2079,325.5,2,1.4,2023-01-02,1900,Aqua,MODIS,79,61.03,298,44,D,0
20.5739,-76.227,346.9,2,1.4,2023-01-02,1900,Aqua,MODIS,94,61.03,298.7,134.9,D,0
20.5943,-76.7718,341.9,1.8,1.3,2023-01-02,1900,Aqua,MODIS,91,61.03,301.9,93.7,D,0
21.2192,-78.3951,323.4,1.4,1.2,2023-01-02,1900,Aqua,MODIS,72,61.03,300.6,25,D,0
21.3526,-78.1349,327.4,1.5,1.2,2023-01-02,1900,Aqua,MODIS,81,61.03,299.7,33.6,D,0
21.4529,-77.8495,336,1.6,1.2,2023-01-02,1900,Aqua,MODIS,87,61.03,301.2,55.5,D,0
21.4511,-77.8646,355.7,1.6,1.2,2023-01-02,1900,Aqua,MODIS,98,61.03,302.7,129.6,D,0
21.464,-77.851,324.5,1.6,1.2,2023-01-02,1900,Aqua,MODIS,72,61.03,301.4,28.2,D,0
21.4622,-77.866,327.4,1.6,1.2,2023-01-02,1900,Aqua,MODIS,77,61.03,300.1,34.5,D,0
21.4528,-77.8552,342.1,1.6,1.2,2023-01-02,1900,Aqua,MODIS,91,61.03,302.2,76.5,D,0
21.4511,-77.8702,347.8,1.6,1.2,2023-01-02,1900,Aqua,MODIS,89,61.03,302,96.3,D,0
21.4639,-77.8566,329,1.6,1.2,2023-01-02,1900,Aqua,MODIS,82,61.03,301.8,40.8,D,0
21.4622,-77.8717,321.7,1.6,1.2,2023-01-02,1900,Aqua,MODIS,71,61.03,298.8,23.7,D,0
21.474,-78.5122,352.3,1.4,1.2,2023-01-02,1900,Aqua,MODIS,96,61.03,300.2,102.9,D,0
21.469,-78.5184,325.9,1.4,1.2,2023-01-02,1900,Aqua,MODIS,80,61.03,299.2,29.6,D,0
22.2847,-80.3288,313.7,1.2,1.1,2023-01-02,1901,Aqua,MODIS,28,61.03,299.3,6.2,D,0
21.8897,-79.7543,314.4,1.2,1.1,2023-01-02,1901,Aqua,MODIS,67,61.03,298.5,10.6,D,0
22.1932,-79.5993,314,1.3,1.1,2023-01-02,1901,Aqua,MODIS,65,61.03,300.2,6.9,D,0
22.1488,-80.602,320.8,1.1,1.1,2023-01-02,1901,Aqua,MODIS,75,61.03,300.7,14.1,D,0
21.8577,-82.9797,323.3,1,1,2023-01-02,1901,Aqua,MODIS,76,61.03,300.8,15.2,D,0
21.8666,-82.9812,322.5,1,1,2023-01-02,1901,Aqua,MODIS,75,61.03,300.4,14.4,D,0
22.4078,-80.9404,325.3,1.1,1,2023-01-02,1901,Aqua,MODIS,80,61.03,300.7,19.1,D,0
22.4064,-80.9508,315.5,1.1,1,2023-01-02,1901,Aqua,MODIS,64,61.03,298.8,8.3,D,0
22.6099,-81.2862,318,1.1,1,2023-01-02,1901,Aqua,MODIS,46,61.03,299.2,10.5,D,0
22.8229,-79.9406,314.8,1.2,1.1,2023-01-02,1901,Aqua,MODIS,51,61.03,299.5,9.7,D,0
22.8327,-79.9421,322.7,1.2,1.1,2023-01-02,1901,Aqua,MODIS,77,61.03,299.2,20.2,D,0
22.6626,-81.2423,314.5,1.1,1,2023-01-02,1901,Aqua,MODIS,49,61.03,299.8,5.3,D,0
22.3449,-83.5531,309.8,1,1,2023-01-02,1901,Aqua,MODIS,38,61.03,298.1,3.9,D,0
22.7159,-80.9859,314.7,1.1,1,2023-01-02,1901,Aqua,MODIS,40,61.03,299.9,7.5,D,0
22.7145,-80.9964,380.1,1.1,1,2023-01-02,1901,Aqua,MODIS,100,61.03,305.9,166.8,D,0
22.7131,-81.0068,335,1.1,1,2023-01-02,1901,Aqua,MODIS,87,61.03,302.6,32.2,D,0
22.7209,-80.9924,363.2,1.1,1,2023-01-02,1901,Aqua,MODIS,100,61.03,303.5,101.8,D,0
22.7196,-81.0029,382.3,1.1,1,2023-01-02,1901,Aqua,MODIS,100,61.03,307.9,178.9,D,0
22.7288,-81.0043,314.2,1.1,1,2023-01-02,1901,Aqua,MODIS,30,61.03,299.8,8.5,D,0
22.7503,-81.1988,311.6,1.1,1,2023-01-02,1901,Aqua,MODIS,46,61.03,298.7,5.6,D,0
