latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.0362,34.0097,302.1,1,1,2023-01-10,0824,Terra,MODIS,51,61.03,289.5,5.1,D,0
35.0523,32.8773,304.3,1.1,1.1,2023-01-23,1059,Aqua,MODIS,54,61.03,290.2,7.4,D,0
35.0789,33.1949,300.1,1,1,2023-02-13,1106,Aqua,MODIS,24,61.03,289.2,3.4,D,0
34.723,33.3197,314.5,1.2,1.1,2023-05-14,0805,Terra,MODIS,61,61.03,303.3,14.6,D,3
34.7969,33.3016,325.7,1.1,1,2023-05-17,1103,Aqua,MODIS,79,61.03,307.5,10.3,D,0
34.7951,33.2899,332,1.1,1,2023-05-17,1103,Aqua,MODIS,84,61.03,308.4,19.6,D,0
34.7436,33.2636,306.5,1.1,1,2023-06-17,1921,Terra,MODIS,45,61.03,293.3,7.4,N,0
34.8571,32.5452,349.1,1,1,2023-06-26,1114,Aqua,MODIS,92,61.03,315.6,43.5,D,0
34.8555,32.5344,332.5,1,1,2023-06-26,1114,Aqua,MODIS,72,61.03,314.6,14.9,D,0
34.8659,32.5432,334.7,1,1,2023-06-26,1114,Aqua,MODIS,76,61.03,312.9,18.1,D,0
35.0853,33.2011,336.9,1,1,2023-07-03,1113,Aqua,MODIS,78,61.03,319.8,13,D,0
34.8546,33.4155,340.2,1,1,2023-07-11,0818,Terra,MODIS,87,61.03,315.3,27,D,0
34.8457,33.4135,358.7,1,1,2023-07-11,0818,Terra,MODIS,99,61.03,313.9,67.6,D,0
34.844,33.4245,332.1,1,1,2023-07-11,0818,Terra,MODIS,79,61.03,314.1,13.8,D,0
35.0731,33.41,328.5,1,1,2023-07-16,1927,Terra,MODIS,100,61.03,299.3,23.9,N,0
34.9045,32.4971,326.6,2.7,1.6,2023-07-18,1153,Aqua,MODIS,78,61.03,312,33.7,D,0
34.9023,32.4668,327.5,2.7,1.6,2023-07-18,1153,Aqua,MODIS,81,61.03,313.5,38,D,0
35.1087,33.053,342.2,3,1.6,2023-07-18,1153,Aqua,MODIS,91,61.03,320.3,110.6,D,0
34.7786,32.6224,323.7,1.2,1.1,2023-08-04,1917,Terra,MODIS,100,61.03,298.7,24.7,N,0
34.7764,32.6096,311.2,1.2,1.1,2023-08-04,1917,Terra,MODIS,77,61.03,297.5,9.9,N,0
34.76,32.9443,325.2,4.2,1.9,2023-08-06,1204,Aqua,MODIS,68,61.03,312.2,78.3,D,0
34.7708,32.9827,309.1,2,1.4,2023-08-06,1901,Terra,MODIS,64,61.03,297.3,17.3,N,0
34.7752,33.0042,308.5,2,1.4,2023-08-06,1901,Terra,MODIS,61,61.03,297.4,16.4,N,0
34.787,33.0006,323.5,2,1.4,2023-08-06,1901,Terra,MODIS,100,61.03,299,50.1,N,0
34.7718,32.9928,326.3,1.9,1.3,2023-08-07,0840,Terra,MODIS,61,61.03,310.2,26.5,D,0
34.776,32.9725,335.5,1.9,1.3,2023-08-07,0840,Terra,MODIS,83,61.03,309.5,56.9,D,0
34.7728,33.0804,365.2,1,1,2023-09-09,1113,Aqua,MODIS,100,61.03,308.2,90.9,D,0
34.7711,33.0694,327.8,1,1,2023-09-09,1113,Aqua,MODIS,81,61.03,307.1,13.8,D,0
34.7817,33.0784,328.2,1,1,2023-09-09,1113,Aqua,MODIS,81,61.03,306.5,15,D,0
34.8046,33.073,305.3,1.2,1.1,2023-09-09,1914,Terra,MODIS,44,61.03,294.7,6,N,0
34.8067,33.0855,308.3,1.2,1.1,2023-09-09,1914,Terra,MODIS,73,61.03,295.5,8.5,N,0
34.9876,33.9925,313.5,1.2,1.1,2023-09-11,0757,Terra,MODIS,55,61.03,302.4,10.1,D,3
34.8411,32.8402,443,1.1,1,2023-09-14,1126,Aqua,MODIS,100,61.03,331.9,668.1,D,0
34.8426,32.8518,397.4,1.1,1,2023-09-14,1126,Aqua,MODIS,100,61.03,306,248.3,D,0
34.8502,32.8383,331.1,1.1,1,2023-09-14,1126,Aqua,MODIS,77,61.03,302.6,20.7,D,0
34.9221,33.499,323,1.1,1,2023-09-28,0803,Terra,MODIS,66,61.03,309.5,6.7,D,0
34.9186,33.5055,325.2,1,1,2023-09-28,1121,Aqua,MODIS,69,61.03,307,8.2,D,0
34.9171,33.4944,326,1,1,2023-09-28,1121,Aqua,MODIS,70,61.03,307,9.7,D,0
34.7354,32.9369,321.6,3.7,1.8,2023-11-06,1036,Aqua,MODIS,75,61.03,296.8,95.3,D,0
34.7378,32.969,310.3,3.7,1.8,2023-11-06,1036,Aqua,MODIS,44,61.03,296.2,31.8,D,0
34.7284,32.9317,319.2,3.7,1.8,2023-11-06,1036,Aqua,MODIS,68,61.03,297.1,79.5,D,0
34.8098,32.6401,310.7,2.4,1.5,2023-11-15,1156,Aqua,MODIS,42,61.03,293.2,25.7,D,0
34.6916,32.6745,307.9,1.2,1.1,2023-11-21,1110,Aqua,MODIS,49,61.03,293,8.7,D,0
