latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.9321,17.379,300.4,1,1,2023-01-01,1150,Aqua,MODIS,31,61.03,276.5,6.9,D,2
49.6751,18.6644,301.2,1,1,2023-01-01,1150,Aqua,MODIS,40,61.03,281.2,6.5,D,2
49.6786,18.6647,318.5,1.1,1,2023-01-02,0924,Terra,MODIS,68,61.03,283,22,D,2
49.6811,18.6749,320.6,1,1,2023-01-04,0110,Aqua,MODIS,100,61.03,273.5,24.1,N,2
49.6753,18.6587,319.1,1,1,2023-01-08,1153,Aqua,MODIS,69,61.03,279.1,21,D,2
49.6751,18.6618,305.5,1.9,1.4,2023-01-14,1114,Aqua,MODIS,45,61.03,278,25.1,D,2
49.6784,18.6558,304.9,1.9,1.4,2023-01-14,1114,Aqua,MODIS,52,61.03,278.4,25.5,D,2
49.6781,18.6667,310.4,1.1,1.1,2023-02-09,1137,Aqua,MODIS,57,61.03,274.6,17.5,D,2
49.6754,18.6517,308.4,1.1,1.1,2023-02-09,1137,Aqua,MODIS,55,61.03,274.6,15.9,D,2
49.6741,18.662,300.5,1,1,2023-02-09,2025,Terra,MODIS,29,61.03,267.7,10.7,N,2
49.6774,18.6594,327.4,1.4,1.2,2023-02-10,0957,Terra,MODIS,74,61.03,271.2,49.7,D,2
49.6743,18.6608,302.4,1.1,1,2023-02-16,1140,Aqua,MODIS,52,61.03,270.7,9.8,D,2
49.6774,18.6565,306.6,1,1,2023-02-28,1157,Aqua,MODIS,55,61.03,281.5,10.6,D,2
50.6061,14.883,304.8,1,1,2023-03-01,0951,Terra,MODIS,52,61.03,276.3,10.5,D,0
49.4428,17.1249,305.6,1.1,1,2023-03-16,1146,Aqua,MODIS,37,61.03,287.5,7.3,D,0
49.8108,18.313,302.1,1.3,1.1,2023-03-18,1133,Aqua,MODIS,39,61.03,283.2,6.2,D,2
49.6771,18.673,300.9,1.1,1,2023-03-29,0921,Terra,MODIS,0,61.03,269.7,6.6,D,2
49.6789,18.6583,306.9,1.1,1,2023-03-29,0921,Terra,MODIS,0,61.03,269,10.4,D,2
49.1694,14.131,363.7,1,1,2023-04-06,0955,Terra,MODIS,100,61.03,287.9,101.6,D,0
50.3507,14.5041,307.6,1.7,1.3,2023-04-21,1019,Terra,MODIS,66,61.03,291.9,14,D,2
49.6798,18.6574,329.9,1.1,1,2023-04-22,0923,Terra,MODIS,82,61.03,297.5,28,D,2
49.678,18.6716,325.8,1.1,1,2023-04-22,0923,Terra,MODIS,79,61.03,297.2,22.6,D,2
49.6004,18.1784,306.7,1.1,1,2023-04-22,0923,Terra,MODIS,58,61.03,295.5,5.7,D,0
49.6765,18.6619,311.2,1.2,1.1,2023-04-22,1136,Aqua,MODIS,64,61.03,299.1,9.2,D,2
50.6336,15.4005,303.2,1.1,1,2023-04-30,0955,Terra,MODIS,55,61.03,287.2,5.8,D,0
