latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.108,125.7866,302.1,1.5,1.2,2023-02-04,0234,Terra,MODIS,48,61.03,274.3,14.9,D,2
42.5217,130.5237,326.4,1.7,1.3,2023-02-24,0131,Terra,MODIS,0,61.03,277.1,58.6,D,0
42.5103,130.5223,381,1.7,1.3,2023-02-24,0131,Terra,MODIS,75,61.03,281.6,346.3,D,0
42.5121,130.5167,367.8,1.7,1.3,2023-02-24,0131,Terra,MODIS,75,61.03,282,241,D,0
42.5007,130.5152,301.1,1.7,1.3,2023-02-24,0131,Terra,MODIS,38,61.03,275.2,14.6,D,0
38.2928,126.8564,304.9,1,1,2023-02-25,0213,Terra,MODIS,60,61.03,279.5,9.2,D,0
37.9682,126.1461,301,1,1,2023-02-25,0449,Aqua,MODIS,43,61.03,281.5,5.7,D,0
39.9182,124.6015,303.7,1.1,1,2023-02-25,0450,Aqua,MODIS,57,61.03,283.3,7.3,D,0
42.8382,130.1167,312.1,3.1,1.7,2023-02-26,0115,Terra,MODIS,38,61.03,278.5,63.3,D,0
42.8365,130.1528,340.2,3.1,1.7,2023-02-26,0115,Terra,MODIS,92,61.03,281.8,233,D,0
42.8215,130.1518,333.3,3.1,1.7,2023-02-26,0115,Terra,MODIS,83,61.03,280.7,170.5,D,0
42.7782,130.1128,341.3,3.1,1.7,2023-02-26,0115,Terra,MODIS,83,61.03,279.8,231.3,D,0
42.7766,130.149,332,3.1,1.7,2023-02-26,0115,Terra,MODIS,36,61.03,279.9,147.3,D,0
42.7648,130.0751,342.2,3.1,1.7,2023-02-26,0115,Terra,MODIS,47,61.03,279.1,240.2,D,0
42.7632,130.1111,342.9,3.1,1.7,2023-02-26,0115,Terra,MODIS,83,61.03,280.9,247,D,0
42.794,130.1065,322.5,3.1,1.7,2023-02-26,0115,Terra,MODIS,82,61.03,280.2,115.5,D,0
42.7921,130.1436,302.2,3.1,1.7,2023-02-26,0115,Terra,MODIS,51,61.03,279.3,30.1,D,0
42.7789,130.1071,326,3.1,1.7,2023-02-26,0115,Terra,MODIS,66,61.03,279,125.3,D,0
42.7771,130.1433,333.1,3.1,1.7,2023-02-26,0115,Terra,MODIS,85,61.03,280.2,166.1,D,0
42.7657,130.0694,336.2,3.1,1.7,2023-02-26,0115,Terra,MODIS,83,61.03,278.6,201.5,D,0
42.764,130.1055,345.9,3.1,1.7,2023-02-26,0115,Terra,MODIS,94,61.03,280.6,282.3,D,0
42.7622,130.1419,327.8,3.1,1.7,2023-02-26,0115,Terra,MODIS,75,61.03,279.1,132.2,D,0
42.749,130.1044,343.5,3.1,1.7,2023-02-26,0115,Terra,MODIS,93,61.03,279.9,272.5,D,0
42.7472,130.1408,309.5,3.1,1.7,2023-02-26,0115,Terra,MODIS,69,61.03,279.2,55.4,D,0
42.4909,130.5098,300.1,2.9,1.6,2023-02-26,0115,Terra,MODIS,28,61.03,281.3,27.2,D,0
42.8324,130.1313,309.3,4.1,1.9,2023-02-26,0253,Terra,MODIS,41,61.03,279.4,82,D,0
42.7632,130.137,331.9,4.1,1.9,2023-02-26,0253,Terra,MODIS,45,61.03,281.1,231.7,D,0
42.4767,130.4935,303.4,2.4,1.5,2023-02-26,0355,Aqua,MODIS,39,61.03,285.6,22.5,D,0
42.4895,130.488,331.8,2.4,1.5,2023-02-26,0355,Aqua,MODIS,88,61.03,285.3,117.1,D,0
42.4829,130.4595,312.2,2.4,1.5,2023-02-26,0355,Aqua,MODIS,72,61.03,284.9,45,D,0
42.4844,130.4858,324.6,2.4,1.5,2023-02-26,0355,Aqua,MODIS,83,61.03,285.9,81.1,D,0
42.7173,130.1227,301.5,2.5,1.5,2023-02-26,0355,Aqua,MODIS,35,61.03,284,22.2,D,0
42.7632,130.0946,354.3,2.5,1.5,2023-02-26,0355,Aqua,MODIS,79,61.03,285.1,257.9,D,0
42.7827,130.0554,337.4,2.5,1.5,2023-02-26,0355,Aqua,MODIS,42,61.03,283.4,142,D,0
42.7961,130.0512,326,2.5,1.5,2023-02-26,0355,Aqua,MODIS,29,61.03,280.1,86.9,D,0
42.7957,130.0758,337,2.5,1.5,2023-02-26,0355,Aqua,MODIS,79,61.03,283.8,141,D,0
42.7894,130.0494,338.8,2.5,1.5,2023-02-26,0355,Aqua,MODIS,77,61.03,282.7,155.6,D,0
42.8089,130.0708,329.9,2.5,1.5,2023-02-26,0355,Aqua,MODIS,84,61.03,281.6,110.7,D,0
42.822,130.0651,306.7,2.5,1.5,2023-02-26,0355,Aqua,MODIS,26,61.03,278.9,33.8,D,0
42.8818,130.1965,302.1,2.4,1.5,2023-02-26,0355,Aqua,MODIS,40,61.03,280.9,22.8,D,0
42.875,130.1678,313.4,2.5,1.5,2023-02-26,0355,Aqua,MODIS,74,61.03,281.6,51.6,D,0
42.8826,130.1572,305.5,2.5,1.5,2023-02-26,0355,Aqua,MODIS,38,61.03,280.6,30.7,D,0
