latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
55.9444,8.6616,306.3,1.6,1.2,2023-03-05,1056,Terra,MODIS,63,61.03,276.5,21.3,D,0
55.9392,8.685,330,1.6,1.2,2023-03-05,1056,Terra,MODIS,87,61.03,275.7,64.8,D,0
56.0898,8.2846,301.8,1,1,2023-03-05,1214,Aqua,MODIS,46,61.03,279.6,8.3,D,0
55.8554,8.3472,314.9,1.1,1,2023-03-26,1033,Terra,MODIS,59,61.03,281.9,16,D,0
55.8466,8.3426,312.8,1.1,1,2023-03-26,1033,Terra,MODIS,29,61.03,281.6,13.1,D,0
55.3215,12.2121,303,1.1,1,2023-03-28,1017,Terra,MODIS,39,61.03,278.1,8.5,D,0
55.3188,12.2281,301.1,1.1,1,2023-03-28,1017,Terra,MODIS,28,61.03,277.8,7.4,D,0
54.7005,11.3138,323.3,1.1,1,2023-03-28,1204,Aqua,MODIS,66,61.03,282.3,23.6,D,0
55.0444,11.9669,307.3,1,1,2023-03-28,1204,Aqua,MODIS,49,61.03,282.1,11,D,0
55.7269,11.4715,307.3,1,1,2023-03-28,1204,Aqua,MODIS,65,61.03,281.6,10.6,D,0
55.7547,11.5254,325.4,1,1,2023-03-28,1204,Aqua,MODIS,84,61.03,281.1,27.2,D,0
55.4469,10.3677,303.6,1.1,1,2023-04-02,1026,Terra,MODIS,53,61.03,281.2,8.3,D,0
55.0197,9.2593,300.2,1,1,2023-04-02,1026,Terra,MODIS,33,61.03,283,6,D,0
55.2527,11.7833,300.2,1,1,2023-04-02,1218,Aqua,MODIS,33,61.03,287.2,5.1,D,2
55.2278,10.1268,301.3,1.1,1,2023-04-04,1205,Aqua,MODIS,46,61.03,285.4,6.1,D,0
57.6079,10.4116,304.5,1,1,2023-04-04,1205,Aqua,MODIS,42,61.03,284.4,7.9,D,0
54.7207,11.921,301.5,1.1,1,2023-04-09,1018,Terra,MODIS,41,61.03,285.8,4.8,D,0
54.9097,11.2097,330.1,1,1,2023-04-18,1205,Aqua,MODIS,87,61.03,287.1,30.9,D,0
54.9071,11.194,308.4,1,1,2023-04-18,1205,Aqua,MODIS,67,61.03,286,8.6,D,0
54.8939,11.1154,313.8,1,1,2023-04-18,1205,Aqua,MODIS,74,61.03,287.9,12.8,D,0
55.0863,10.6341,309.4,1.1,1,2023-04-18,1205,Aqua,MODIS,49,61.03,288.7,9,D,0
55.4292,11.4404,302.3,1,1,2023-04-18,1206,Aqua,MODIS,52,61.03,289.5,4.3,D,0
55.3554,10.4389,317.1,1.1,1,2023-04-18,1206,Aqua,MODIS,77,61.03,290.7,15.5,D,0
55.3527,10.4227,312,1.1,1,2023-04-18,1206,Aqua,MODIS,72,61.03,291.5,10.9,D,2
56.4859,10.1216,302.2,1,1,2023-04-18,1206,Aqua,MODIS,51,61.03,282.5,6,D,0
56.4831,10.1052,308.7,1.1,1,2023-04-18,1206,Aqua,MODIS,64,61.03,282.1,10.2,D,0
56.5247,10.296,300.8,1,1,2023-04-18,1206,Aqua,MODIS,42,61.03,281.8,5.2,D,0
