latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.4405,42.3314,331,1.9,1.3,2023-04-29,0746,Terra,MODIS,69,61.03,306.7,28.1,D,0
11.471,42.3217,332.8,1.3,1.1,2023-05-06,0738,Terra,MODIS,13,61.03,308.7,19.5,D,0
11.4691,42.3336,334.6,1.3,1.1,2023-05-06,0738,Terra,MODIS,57,61.03,309.3,21.8,D,0
11.4628,42.3081,334.6,1.3,1.1,2023-05-06,0738,Terra,MODIS,66,61.03,309.7,19.1,D,0
11.459,42.332,334.6,1.3,1.1,2023-05-06,0738,Terra,MODIS,67,61.03,309,22.1,D,0
11.4526,42.3128,333.4,1.3,1.1,2023-05-06,0738,Terra,MODIS,61,61.03,308.9,17.8,D,0
11.4507,42.3247,333.6,1.3,1.1,2023-05-06,0738,Terra,MODIS,73,61.03,308.9,17.9,D,0
11.4406,42.3231,334,1.3,1.1,2023-05-06,0738,Terra,MODIS,74,61.03,309.3,18.5,D,0
11.4854,41.9447,331.9,2,1.4,2023-05-07,1029,Aqua,MODIS,58,61.03,309,35.9,D,0
12.0364,42.1829,333.2,1.9,1.3,2023-05-07,1029,Aqua,MODIS,36,61.03,306.7,36.8,D,0
11.1438,41.8988,318.5,3.9,1.8,2023-05-09,1015,Aqua,MODIS,25,61.03,293.9,68.5,D,0
12.3136,42.4106,334.6,2.7,1.6,2023-05-16,0754,Terra,MODIS,70,61.03,308.1,58.6,D,0
11.4406,42.297,331.6,2.8,1.6,2023-05-16,0754,Terra,MODIS,66,61.03,305.2,44.6,D,0
11.4364,42.3214,333,2.8,1.6,2023-05-16,0754,Terra,MODIS,77,61.03,305.3,54.9,D,0
11.4321,42.3458,331.6,2.8,1.6,2023-05-16,0754,Terra,MODIS,75,61.03,305,51.2,D,0
11.4224,42.3188,331.9,2.8,1.6,2023-05-16,0754,Terra,MODIS,70,61.03,305.6,49.7,D,0
11.4042,42.3406,332.2,2.8,1.6,2023-05-16,0754,Terra,MODIS,67,61.03,305,51.2,D,0
11.4131,42.341,331.1,3.7,1.8,2023-05-16,1015,Aqua,MODIS,55,61.03,301.3,71.9,D,0
11.439,42.3013,330.2,3.7,1.8,2023-05-16,1015,Aqua,MODIS,83,61.03,301.3,57.3,D,0
11.4055,42.3379,330.3,3.7,1.8,2023-05-16,1015,Aqua,MODIS,42,61.03,302,56.6,D,0
