latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.4449,-71.6073,321.9,1,1,2023-01-01,1817,Aqua,MODIS,67,61.03,297.7,14.4,D,0
19.4463,-71.5979,341.9,1,1,2023-01-01,1817,Aqua,MODIS,86,61.03,297.5,41.4,D,0
18.6818,-69.4235,320.4,1.1,1,2023-01-01,1817,Aqua,MODIS,76,61.03,297.9,14.8,D,0
19.4374,-71.5965,320,1,1,2023-01-01,1817,Aqua,MODIS,56,61.03,298.5,12.6,D,0
18.9279,-70.3503,326.1,1.1,1,2023-01-02,0628,Aqua,MODIS,100,61.03,289.8,28.5,N,2
18.9309,-70.3589,311.6,1.1,1,2023-01-03,1510,Terra,MODIS,0,61.03,284,10.3,D,2
18.9293,-70.349,326.7,1.1,1,2023-01-03,1510,Terra,MODIS,63,61.03,286.5,26.1,D,2
18.9289,-70.3574,319.4,1.1,1.1,2023-01-03,1804,Aqua,MODIS,77,61.03,294.4,17.1,D,2
19.4479,-71.5917,313,1.3,1.1,2023-01-03,1804,Aqua,MODIS,63,61.03,297.5,9.5,D,0
19.4458,-71.6046,311,1.3,1.1,2023-01-03,1804,Aqua,MODIS,50,61.03,298.1,7.3,D,0
18.3778,-71.2327,314.6,1.3,1.1,2023-01-03,1804,Aqua,MODIS,67,61.03,299.9,7.3,D,0
18.6688,-69.4255,313,1.1,1,2023-01-03,1804,Aqua,MODIS,65,61.03,299.8,7.4,D,0
19.4541,-71.5924,301.8,1,1,2023-01-05,0244,Terra,MODIS,44,61.03,289.1,4.7,N,0
18.9281,-70.3501,312.7,1,1,2023-01-05,0244,Terra,MODIS,86,61.03,287.2,13,N,2
18.9268,-70.3595,311.9,1,1,2023-01-05,0244,Terra,MODIS,84,61.03,288.4,11.8,N,2
18.9176,-70.3574,309.4,1.8,1.3,2023-01-05,1751,Aqua,MODIS,34,61.03,288.3,18.1,D,2
18.9936,-71.7705,317.2,1.3,1.1,2023-01-06,1833,Aqua,MODIS,55,61.03,298.9,8.9,D,0
18.9274,-70.3541,306.4,1.3,1.1,2023-01-07,0228,Terra,MODIS,68,61.03,282.3,13.7,N,2
18.9304,-70.3461,309.3,1.1,1.1,2023-01-07,0644,Aqua,MODIS,77,61.03,288.6,12,N,2
18.932,-70.3563,303.2,1.1,1.1,2023-01-07,0644,Aqua,MODIS,54,61.03,286.9,7.6,N,2
18.9227,-70.3565,310.5,2.1,1.4,2023-01-07,1439,Terra,MODIS,65,61.03,291.6,18.3,D,2
18.9251,-70.3602,308.1,3.2,1.7,2023-01-07,1738,Aqua,MODIS,53,61.03,289.8,30.9,D,2
18.9243,-70.3539,300.5,2.3,1.5,2023-01-08,0309,Terra,MODIS,29,61.03,287.8,16,N,2
19.7213,-71.4279,315.9,1,1,2023-01-08,1820,Aqua,MODIS,45,61.03,298.7,8,D,0
18.2058,-70.5491,312.5,1,1,2023-01-08,1820,Aqua,MODIS,39,61.03,300.2,8.1,D,3
18.177,-71.0809,313.7,1,1,2023-01-08,1820,Aqua,MODIS,40,61.03,300,6.3,D,0
19.7226,-71.4183,313.9,1,1,2023-01-08,1820,Aqua,MODIS,41,61.03,297.2,6.4,D,0
18.9221,-70.3509,318.8,1,1,2023-01-10,1504,Terra,MODIS,76,61.03,295.7,12.7,D,2
18.9323,-70.3588,310.9,1,1,2023-01-10,1504,Terra,MODIS,45,61.03,296,5.6,D,2
18.9309,-70.3495,328.3,1,1,2023-01-10,1504,Terra,MODIS,84,61.03,296.8,22.4,D,2
18.6173,-69.1153,322.3,1,1,2023-01-10,1504,Terra,MODIS,69,61.03,293.2,17.4,D,0
18.6016,-69.5362,313.1,1,1,2023-01-10,1807,Aqua,MODIS,44,61.03,296.8,7.7,D,0
18.3913,-70.9066,322.6,1.1,1.1,2023-01-10,1807,Aqua,MODIS,77,61.03,301.9,13.8,D,0
18.3419,-71.2178,319,1.2,1.1,2023-01-10,1807,Aqua,MODIS,67,61.03,300.4,10.4,D,0
18.46,-71.2455,340,1.2,1.1,2023-01-10,1807,Aqua,MODIS,90,61.03,300.4,42.5,D,0
18.4583,-71.2565,321.6,1.2,1.1,2023-01-10,1807,Aqua,MODIS,76,61.03,301,12.2,D,0
18.9219,-70.3474,315.7,1.1,1,2023-01-10,1807,Aqua,MODIS,70,61.03,295.2,10,D,2
18.9203,-70.3573,326.9,1.1,1,2023-01-10,1807,Aqua,MODIS,82,61.03,295.4,22.4,D,2
18.5204,-69.2103,319.5,1,1,2023-01-10,1807,Aqua,MODIS,73,61.03,299.7,10.3,D,0
18.9303,-70.3464,301.4,1.5,1.2,2023-01-11,0618,Aqua,MODIS,39,61.03,287.5,9.1,N,2
18.9329,-70.3542,302.5,1.5,1.2,2023-01-11,0618,Aqua,MODIS,49,61.03,287.6,10.7,N,2
18.9237,-70.3601,317.9,1,1,2023-01-12,0238,Terra,MODIS,96,61.03,289.6,16.1,N,2
18.9251,-70.3506,328.3,1,1,2023-01-12,0238,Terra,MODIS,100,61.03,290.7,27.4,N,2
18.9238,-70.3437,301.3,2,1.4,2023-01-12,0700,Aqua,MODIS,40,61.03,289.5,13.2,N,2
18.9322,-70.3466,305.9,2,1.4,2023-01-12,0700,Aqua,MODIS,66,61.03,289.5,20.7,N,2
18.9241,-70.3512,327.8,1.4,1.2,2023-01-12,1448,Terra,MODIS,83,61.03,293,38.3,D,2
18.9185,-70.3599,311.3,1.6,1.3,2023-01-12,1754,Aqua,MODIS,62,61.03,292.6,15.9,D,2
18.9211,-70.3446,305.6,1.6,1.3,2023-01-12,1754,Aqua,MODIS,34,61.03,292.1,8.1,D,2
18.9272,-70.3544,313.2,2.1,1.4,2023-01-13,1529,Terra,MODIS,70,61.03,292.9,24.2,D,2
18.9327,-70.3547,307.5,1.6,1.3,2023-01-14,0222,Terra,MODIS,72,61.03,289,15.5,N,2
