latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.7387,-90.3153,314.7,1,1,2023-01-02,1613,Terra,MODIS,34,61.03,298.4,7.3,D,0
-2.4577,-78.1675,308.1,1.1,1,2023-01-03,1516,Terra,MODIS,45,61.03,289,5.1,D,0
-2.0072,-78.3329,328.2,1.2,1.1,2023-01-04,0336,Terra,MODIS,100,61.03,273.8,39.4,N,1
-2.0088,-78.3443,338.4,1.2,1.1,2023-01-04,0336,Terra,MODIS,100,61.03,272.4,57.9,N,1
-1.9934,-78.3679,320,3.4,1.7,2023-01-04,0621,Aqua,MODIS,100,61.03,271.4,132.8,N,1
-1.9992,-78.3294,333.3,3.4,1.7,2023-01-04,0621,Aqua,MODIS,100,61.03,277.1,222.4,N,1
-1.993,-78.3383,304.5,3.4,1.7,2023-01-04,0621,Aqua,MODIS,60,61.03,273,61.1,N,1
-2.0093,-78.3354,339.5,3.4,1.7,2023-01-04,0621,Aqua,MODIS,100,61.03,277,279.3,N,1
-4.8802,-79.0528,317.6,1.9,1.3,2023-01-04,1840,Aqua,MODIS,74,61.03,295.8,26.7,D,0
0.0036,-79.3982,311.9,1.7,1.3,2023-01-04,1842,Aqua,MODIS,59,61.03,293.8,13.1,D,0
0.966,-79.4845,320.3,1.6,1.3,2023-01-04,1842,Aqua,MODIS,77,61.03,294.5,22.7,D,0
0.9637,-79.4995,319.6,1.6,1.3,2023-01-04,1842,Aqua,MODIS,76,61.03,295.6,21.7,D,0
1.0467,-79.3223,322.2,1.6,1.2,2023-01-04,1842,Aqua,MODIS,79,61.03,296.7,22.7,D,0
1.0497,-79.315,316.4,1.6,1.2,2023-01-04,1842,Aqua,MODIS,36,61.03,295.9,11.4,D,0
1.0475,-79.329,318.7,1.6,1.2,2023-01-04,1842,Aqua,MODIS,59,61.03,296.9,16,D,0
-2.005,-78.3372,327.7,1.1,1,2023-01-06,0320,Terra,MODIS,100,61.03,273.8,34.9,N,1
-1.0967,-80.4444,310,1.1,1.1,2023-01-06,1541,Terra,MODIS,23,61.03,280.2,6.1,D,0
-1.1652,-80.1731,314.7,1.2,1.1,2023-01-06,1541,Terra,MODIS,74,61.03,282.5,13.1,D,0
-4.2657,-79.9513,321.9,1.3,1.1,2023-01-06,1542,Terra,MODIS,70,61.03,294.8,21.1,D,0
-0.1928,-76.6451,310.5,1.9,1.3,2023-01-06,1828,Aqua,MODIS,55,61.03,287.5,12.9,D,2
-2.011,-78.3414,347.1,1.9,1.4,2023-01-08,0304,Terra,MODIS,100,61.03,277.2,159.6,N,1
-2.0141,-78.3647,316.5,1.9,1.4,2023-01-08,0304,Terra,MODIS,93,61.03,272.1,51.2,N,1
-1.999,-78.3429,314.5,1.9,1.4,2023-01-08,0304,Terra,MODIS,89,61.03,273.6,47.4,N,1
-2.0052,-78.3476,357.2,1.9,1.4,2023-01-08,0304,Terra,MODIS,100,61.03,277.5,219.6,N,1
-1.9905,-79.8299,334.3,1.1,1,2023-01-09,1857,Aqua,MODIS,83,61.03,298.5,26.3,D,0
-0.1893,-76.6452,318.6,1.1,1,2023-01-09,1858,Aqua,MODIS,58,61.03,299.9,10.6,D,2
-2.0117,-78.3575,318.8,4,1.9,2023-01-10,0248,Terra,MODIS,98,61.03,267.7,172.4,N,1
