latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.6114,28.873,377,1.2,1.1,2023-01-01,1143,Aqua,MODIS,100,61.03,298.7,179.2,D,0
24.4504,33.2407,322,2.2,1.4,2023-01-02,1047,Aqua,MODIS,66,61.03,300.5,45,D,0
24.4514,33.2453,320.7,2.2,1.4,2023-01-02,1047,Aqua,MODIS,61,61.03,301.6,40,D,0
24.4576,32.9881,311.3,1.6,1.2,2023-01-03,0834,Terra,MODIS,61,61.03,292.8,17.6,D,2
29.9244,32.4655,305.7,1,1,2023-01-05,0816,Terra,MODIS,47,61.03,293.1,4.4,D,0
26.065,34.2526,309.9,1.1,1,2023-01-05,0817,Terra,MODIS,56,61.03,295.7,4.9,D,0
26.0633,34.2632,314.9,1.1,1,2023-01-05,0817,Terra,MODIS,68,61.03,295.7,9,D,0
30.2845,30.8765,305.9,1,1,2023-01-10,0826,Terra,MODIS,61,61.03,290.6,5.6,D,2
29.0186,31.2009,305.1,1,1,2023-01-10,0826,Terra,MODIS,55,61.03,293.4,3.7,D,0
24.9672,32.7515,314.3,1.2,1.1,2023-01-10,0827,Terra,MODIS,67,61.03,293.4,12.9,D,0
25.9385,32.7805,307.3,1.2,1.1,2023-01-10,0827,Terra,MODIS,46,61.03,291.3,9.2,D,2
25.672,32.6053,306.3,1,1,2023-01-12,0811,Terra,MODIS,0,61.03,291.9,6.5,D,0
24.4632,33.2128,312.2,1,1,2023-01-12,0811,Terra,MODIS,61,61.03,292.6,9.4,D,0
30.2518,30.646,331.1,1.1,1,2023-01-15,0835,Terra,MODIS,87,61.03,294.2,30.9,D,0
30.25,30.6569,314,1.1,1,2023-01-15,0835,Terra,MODIS,73,61.03,293.3,10.9,D,0
30.5409,28.4967,301.4,1,1,2023-01-15,0835,Terra,MODIS,47,61.03,288.5,4.3,D,0
27.8056,30.8047,307.7,1.2,1.1,2023-01-15,0835,Terra,MODIS,55,61.03,289.2,10.4,D,0
31.1259,29.8129,301.8,1.2,1.1,2023-01-17,0819,Terra,MODIS,0,61.03,290.6,4.9,D,2
30.1565,30.7873,308.1,1.1,1,2023-01-17,0819,Terra,MODIS,64,61.03,291.9,6.8,D,0
29.0145,31.2039,306.4,1,1,2023-01-17,0819,Terra,MODIS,60,61.03,294.6,4.3,D,0
28.1221,33.2812,317.4,1,1,2023-01-17,0819,Terra,MODIS,56,61.03,295.9,11.5,D,2
24.6159,32.9862,319,1.1,1,2023-01-17,0820,Terra,MODIS,71,61.03,296.1,15.2,D,0
24.4199,33.2855,320.6,1.1,1,2023-01-17,0820,Terra,MODIS,75,61.03,296.5,15.3,D,0
24.4182,33.296,328.1,1.1,1,2023-01-17,0820,Terra,MODIS,82,61.03,297.9,24.8,D,0
28.5411,32.9316,327.5,1.1,1,2023-01-17,2343,Aqua,MODIS,100,61.03,283.1,32.5,N,0
25.8294,32.7369,300.8,1,1,2023-01-20,1942,Terra,MODIS,34,61.03,281.9,7.3,N,2
30.9337,27.5553,307.9,1.4,1.2,2023-01-20,1943,Terra,MODIS,73,61.03,280.6,20.2,N,0
30.938,27.5569,303,1,1,2023-01-21,0011,Aqua,MODIS,53,61.03,279.3,9.5,N,0
30.5403,28.4956,304,1.1,1,2023-01-22,0828,Terra,MODIS,56,61.03,292,5,D,0
28.0501,33.3424,308.3,1.3,1.1,2023-01-22,0829,Terra,MODIS,0,61.03,294.9,6.3,D,0
30.9413,27.5591,303.6,1.3,1.1,2023-01-22,2358,Aqua,MODIS,56,61.03,279.3,13.6,N,0
24.4113,33.1582,322.4,1.6,1.2,2023-01-23,1056,Aqua,MODIS,35,61.03,305.4,20.9,D,0
31.2363,31.259,303,1.7,1.3,2023-01-23,2008,Terra,MODIS,53,61.03,283.3,16.8,N,0
26.0615,32.3451,307.6,1,1,2023-01-24,0813,Terra,MODIS,48,61.03,290.7,7.9,D,0
24.4719,33.3245,322.9,1,1,2023-01-24,0814,Terra,MODIS,74,61.03,297,17.1,D,0
24.4705,33.3342,314.5,1,1,2023-01-24,0814,Terra,MODIS,57,61.03,295.7,9.6,D,0
24.4909,33.0112,313.6,1,1,2023-01-24,0814,Terra,MODIS,55,61.03,294.3,9.8,D,0
29.0158,31.2029,313.3,1,1,2023-01-26,1126,Aqua,MODIS,56,61.03,302.2,5.5,D,0
30.6521,31.9934,307.8,1.2,1.1,2023-01-26,1127,Aqua,MODIS,47,61.03,297.6,5.7,D,0
30.6506,31.9815,307.3,1.2,1.1,2023-01-26,1127,Aqua,MODIS,38,61.03,296.4,4.9,D,0
31.3628,30.3261,312.2,1,1,2023-01-26,1127,Aqua,MODIS,53,61.03,296.9,7.8,D,0
27.8589,30.8167,309.3,1.3,1.1,2023-01-27,0838,Terra,MODIS,39,61.03,291.4,11.6,D,0
24.6096,32.9538,322.2,2,1.4,2023-01-27,0839,Terra,MODIS,70,61.03,297.9,41.3,D,2
24.606,32.9727,321.3,2,1.4,2023-01-27,0839,Terra,MODIS,72,61.03,297.3,38.7,D,2
24.6024,32.9654,329.2,2,1.4,2023-01-27,0839,Terra,MODIS,81,61.03,297.4,63.9,D,0
28.0416,33.3392,319.8,1,1,2023-01-28,1113,Aqua,MODIS,61,61.03,303.4,9.2,D,0
27.7158,30.8128,320.3,1.1,1.1,2023-01-28,1113,Aqua,MODIS,69,61.03,294.9,17.9,D,0
27.8954,30.6456,308.3,1,1,2023-01-29,0822,Terra,MODIS,48,61.03,293.7,4.2,D,0
27.6539,30.8578,308.5,1,1,2023-01-29,0822,Terra,MODIS,46,61.03,289.2,7.6,D,2
27.6268,30.8465,316,1,1,2023-01-29,0822,Terra,MODIS,53,61.03,288.1,13.7,D,0
24.4621,33.2856,314.7,1.2,1.1,2023-01-29,0823,Terra,MODIS,35,61.03,300.9,7.2,D,0
30.3848,31.6471,304.9,1.4,1.2,2023-01-31,0805,Terra,MODIS,60,61.03,289.2,8.2,D,0
30.2724,31.8297,323.1,1.4,1.2,2023-01-31,0805,Terra,MODIS,82,61.03,289,30.1,D,0
24.4537,33.3875,314.7,1,1,2023-01-31,0807,Terra,MODIS,65,61.03,295.1,10.3,D,0
24.4329,33.0694,308.5,1.1,1,2023-01-31,0807,Terra,MODIS,31,61.03,294.1,5.2,D,0
24.4225,33.0781,311.9,1.1,1,2023-01-31,0807,Terra,MODIS,48,61.03,295.3,7.5,D,0
30.3882,31.6463,304.5,1.8,1.3,2023-02-01,0846,Terra,MODIS,59,61.03,289.8,10.1,D,0
24.4277,33.1086,314.1,3,1.7,2023-02-01,0848,Terra,MODIS,56,61.03,292.4,47.3,D,0
29.0151,31.2009,312.7,1.1,1,2023-02-02,1129,Aqua,MODIS,60,61.03,298.5,6.9,D,0
28.1128,33.2918,309.2,1.4,1.2,2023-02-03,0831,Terra,MODIS,0,61.03,294.6,8.6,D,0
24.8542,32.9379,322.6,1,1,2023-02-05,0816,Terra,MODIS,75,61.03,298,15.1,D,0
24.5964,32.9999,311.8,1,1,2023-02-05,0816,Terra,MODIS,32,61.03,295.8,7,D,0
24.5072,32.9782,313.5,1,1,2023-02-05,0816,Terra,MODIS,57,61.03,294.8,9.9,D,0
24.436,33.1398,311.5,1,1,2023-02-05,0816,Terra,MODIS,43,61.03,295,7.3,D,0
24.4256,32.9673,316.4,1,1,2023-02-05,0816,Terra,MODIS,65,61.03,294.6,11.9,D,0
24.4622,33.3508,316.1,1.3,1.1,2023-02-06,1101,Aqua,MODIS,67,61.03,284.1,17.9,D,0
24.4607,33.3446,313,1.3,1.1,2023-02-06,1101,Aqua,MODIS,61,61.03,283.8,14.3,D,0
28.3556,30.7625,329.3,1.6,1.3,2023-02-06,1102,Aqua,MODIS,0,61.03,292.3,53.2,D,0
24.9778,32.8989,313.7,1.3,1.1,2023-02-07,0800,Terra,MODIS,56,61.03,278.5,18.3,D,2
26.2815,31.9883,309.5,1.1,1,2023-02-10,0825,Terra,MODIS,39,61.03,291.3,7.8,D,0
24.4769,33.3,329.3,1.3,1.1,2023-02-10,0825,Terra,MODIS,83,61.03,295.2,31.5,D,0
24.4619,33.1473,322.7,1.2,1.1,2023-02-10,0825,Terra,MODIS,77,61.03,292.5,24.6,D,0
24.4599,33.1593,325.1,1.3,1.1,2023-02-10,0825,Terra,MODIS,80,61.03,294,27.8,D,0
25.7061,32.6832,314.6,1,1,2023-02-11,1117,Aqua,MODIS,36,61.03,299.5,6.9,D,0
29.9766,32.53,314.8,1,1,2023-02-11,1118,Aqua,MODIS,69,61.03,296.5,8.1,D,2
29.9751,32.5196,312.9,1,1,2023-02-11,1118,Aqua,MODIS,66,61.03,298.4,6.3,D,2
24.4045,33.0874,324.9,1,1,2023-02-12,0809,Terra,MODIS,73,61.03,294,19.2,D,0
24.4031,33.0972,318.5,1,1,2023-02-12,0809,Terra,MODIS,41,61.03,295.6,13,D,0
26.1135,32.5577,313,1.3,1.1,2023-02-13,1104,Aqua,MODIS,0,61.03,291.4,13.8,D,0
30.4173,30.704,304.6,1.1,1,2023-02-15,0832,Terra,MODIS,58,61.03,292.1,3.9,D,0
26.0566,32.3728,305.8,1.4,1.2,2023-02-15,0834,Terra,MODIS,33,61.03,290.3,10.4,D,2
24.4726,33.1182,314.3,1.7,1.3,2023-02-15,0834,Terra,MODIS,66,61.03,293.3,24.9,D,0
25.6224,32.4548,302.3,1.3,1.1,2023-02-15,1930,Terra,MODIS,48,61.03,283.1,11.5,N,0
29.0176,31.2021,306.7,1.1,1,2023-02-17,0817,Terra,MODIS,58,61.03,294.5,4.5,D,0
24.4751,33.1808,322.6,1.1,1,2023-02-17,0818,Terra,MODIS,75,61.03,297.4,17.9,D,0
26.1831,32.0908,311.1,1,1,2023-02-17,0818,Terra,MODIS,59,61.03,293.1,8.1,D,0
26.0724,32.1552,321.6,1,1,2023-02-17,0818,Terra,MODIS,77,61.03,292.7,18.1,D,0
25.0196,32.765,311.6,1,1,2023-02-17,0818,Terra,MODIS,49,61.03,297,6.8,D,0
24.4735,33.191,310.3,1.1,1,2023-02-17,0818,Terra,MODIS,18,61.03,295.6,5.8,D,0
24.4132,33.3377,316.5,1.1,1,2023-02-17,0818,Terra,MODIS,66,61.03,299.1,10,D,0
24.4167,33.0806,315.4,1.1,1,2023-02-17,0818,Terra,MODIS,43,61.03,297.1,8.3,D,0
24.4485,33.1504,300.9,2.3,1.5,2023-02-17,1914,Terra,MODIS,35,61.03,282.7,23.8,N,0
24.4508,33.1671,308.5,2.3,1.5,2023-02-17,1914,Terra,MODIS,72,61.03,282.8,36,N,0
24.4526,33.1724,305.3,2.3,1.5,2023-02-17,1914,Terra,MODIS,64,61.03,282.6,32,N,0
30.6918,26.9722,300.6,1,1,2023-02-18,1957,Terra,MODIS,31,61.03,279,8.3,N,0
24.4598,33.1997,314.4,1.1,1.1,2023-02-19,0802,Terra,MODIS,62,61.03,294,13.4,D,0
24.4432,33.2535,313.1,1.1,1.1,2023-02-19,0802,Terra,MODIS,49,61.03,286.4,11.9,D,0
24.4418,33.2645,360.3,1.1,1.1,2023-02-19,0802,Terra,MODIS,100,61.03,288.7,102.2,D,0
28.4871,30.6673,310.4,1.1,1,2023-02-20,0008,Aqua,MODIS,80,61.03,283.2,15,N,0
28.4853,30.6783,307.9,1.1,1,2023-02-20,0008,Aqua,MODIS,73,61.03,283,13,N,0
27.7719,30.7895,309.9,1,1,2023-02-22,0826,Terra,MODIS,57,61.03,291.8,8.4,D,0
27.7704,30.7995,312,1,1,2023-02-22,0826,Terra,MODIS,63,61.03,292.6,9.9,D,0
26.1659,32.1781,310.1,1.1,1.1,2023-02-22,0826,Terra,MODIS,43,61.03,295.2,7.2,D,0
26.2236,32.1205,305.7,1.5,1.2,2023-02-23,2004,Terra,MODIS,65,61.03,282.5,18.7,N,0
29.8071,32.0921,312.8,1.1,1.1,2023-02-24,0809,Terra,MODIS,64,61.03,300.1,6.9,D,0
26.2217,32.1023,311,1.1,1,2023-02-24,0810,Terra,MODIS,45,61.03,295.5,8.8,D,0
26.1753,32.1097,310.5,1.1,1,2023-02-24,0810,Terra,MODIS,48,61.03,296.5,7.1,D,2
26.0509,32.211,324.1,1.1,1,2023-02-24,0810,Terra,MODIS,77,61.03,296.1,20.8,D,2
26.0495,32.2213,328,1.1,1,2023-02-24,0810,Terra,MODIS,81,61.03,295.8,25.4,D,2
24.379,32.9696,315.6,1,1,2023-02-24,0811,Terra,MODIS,51,61.03,296.3,8.8,D,0
24.5304,33.1363,314.6,1,1,2023-02-24,0811,Terra,MODIS,41,61.03,300.7,6.4,D,0
24.4514,33.1071,320.2,1,1,2023-02-24,0811,Terra,MODIS,68,61.03,298.7,13.6,D,2
25.8632,32.7973,303.7,1,1,2023-02-25,1948,Terra,MODIS,56,61.03,282.8,9,N,0
24.4749,33.0115,305,1,1,2023-02-25,1948,Terra,MODIS,62,61.03,283.3,9.8,N,0
29.0185,31.1997,300.3,1,1,2023-02-25,1949,Terra,MODIS,24,61.03,286.5,6.7,N,0
30.0007,29.794,300.7,1,1,2023-02-25,1949,Terra,MODIS,33,61.03,284.2,7.3,N,0
31.1193,29.8054,303.2,1,1,2023-02-25,1949,Terra,MODIS,54,61.03,287.8,7.2,N,2
26.0999,32.3986,311.7,1.7,1.3,2023-02-26,0754,Terra,MODIS,37,61.03,295.9,16.5,D,0
24.4597,32.9972,314,1.5,1.2,2023-02-26,0755,Terra,MODIS,39,61.03,299,13,D,0
24.4553,32.9904,317.9,1.5,1.2,2023-02-26,0755,Terra,MODIS,61,61.03,298.8,17.9,D,0
26.1844,32.0795,317.6,1.5,1.2,2023-02-27,0835,Terra,MODIS,0,61.03,297,22.1,D,0
26.2239,32.6278,317.5,1.6,1.3,2023-02-27,0835,Terra,MODIS,53,61.03,301.4,17.2,D,0
30.6975,31.9284,320.8,1,1,2023-03-01,0818,Terra,MODIS,74,61.03,300.7,13.1,D,0
28.3617,28.8824,328.3,1,1,2023-03-02,1137,Aqua,MODIS,69,61.03,312,16.9,D,0
28.3603,28.8719,321.5,1,1,2023-03-02,1137,Aqua,MODIS,27,61.03,307.2,8.3,D,0
29.0175,31.2025,304.9,1.2,1.1,2023-03-02,1958,Terra,MODIS,62,61.03,293.2,8.9,N,0
25.7001,32.6766,323.3,1.2,1.1,2023-03-03,0803,Terra,MODIS,66,61.03,303.5,16.3,D,0
