latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3302,-88.4338,317.4,1,1,2023-01-02,1609,Terra,MODIS,46,61.03,301.5,6.7,D,2
13.6749,-89.7256,327.1,1.1,1.1,2023-01-02,1609,Terra,MODIS,80,61.03,302.2,20.9,D,0
13.6763,-89.7359,323.7,1.1,1.1,2023-01-02,1609,Terra,MODIS,77,61.03,300.1,15.8,D,0
13.4058,-88.7408,315,1.8,1.3,2023-01-05,1634,Terra,MODIS,39,61.03,298.5,12.1,D,0
13.4084,-88.7565,318.9,1.7,1.3,2023-01-05,1634,Terra,MODIS,73,61.03,298.1,19.8,D,0
13.9974,-89.1271,315.6,4,1.9,2023-01-06,2010,Aqua,MODIS,52,61.03,299.2,43.6,D,0
14.0014,-89.1323,317.1,4,1.9,2023-01-06,2010,Aqua,MODIS,67,61.03,299.5,51,D,0
13.4779,-89.237,315.4,1.3,1.1,2023-01-09,1603,Terra,MODIS,42,61.03,298.3,7.9,D,0
13.7966,-89.3308,318,1.3,1.1,2023-01-09,1603,Terra,MODIS,0,61.03,299.5,13.4,D,0
13.378,-88.0655,302,1.9,1.3,2023-01-11,0334,Terra,MODIS,46,61.03,291,9.4,N,0
14.0534,-89.7021,314.5,1.2,1.1,2023-01-12,1628,Terra,MODIS,57,61.03,299.4,6.5,D,0
13.9904,-89.6425,310.3,1.2,1.1,2023-01-12,1628,Terra,MODIS,31,61.03,296.8,5.5,D,0
13.64,-88.7884,313.3,1.3,1.1,2023-01-12,1628,Terra,MODIS,47,61.03,297.5,6.8,D,2
13.4902,-88.8429,308.4,1,1,2023-01-14,0359,Terra,MODIS,75,61.03,294.4,6.8,N,0
13.7092,-88.6523,316.6,1,1,2023-01-14,1612,Terra,MODIS,66,61.03,302.7,6.5,D,0
13.4847,-88.825,328.1,1,1,2023-01-14,1612,Terra,MODIS,81,61.03,306.2,17.8,D,0
13.5321,-88.7889,319.8,1.3,1.1,2023-01-14,1918,Aqua,MODIS,70,61.03,304.5,10.6,D,0
13.6353,-88.7881,313.4,1.3,1.1,2023-01-14,1918,Aqua,MODIS,38,61.03,300.7,5.3,D,2
13.8397,-88.8569,311.1,1.3,1.1,2023-01-14,1918,Aqua,MODIS,43,61.03,298.7,5.3,D,0
14.0158,-89.167,324.9,1.7,1.3,2023-01-16,1556,Terra,MODIS,79,61.03,300.2,34.3,D,0
13.7932,-89.3151,322.7,1.7,1.3,2023-01-16,1556,Terra,MODIS,0,61.03,300.7,29,D,0
