latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.6529,9.614,310.5,1,1,2023-01-10,1305,Aqua,MODIS,0,61.03,293.8,4.7,D,0
1.8064,10.2301,302.3,1.5,1.2,2023-01-16,2146,Terra,MODIS,48,61.03,279.4,10.2,N,0
2.0154,10.9468,301,1.5,1.2,2023-01-21,1242,Aqua,MODIS,44,61.03,277.3,7,D,0
1.8797,10.8071,301.2,1.5,1.2,2023-01-21,1242,Aqua,MODIS,39,61.03,271.1,7.4,D,0
1.8784,10.8125,301,1.5,1.2,2023-01-21,1242,Aqua,MODIS,24,61.03,272.4,6.7,D,0
1.7134,10.9972,302.6,1.5,1.2,2023-01-21,1242,Aqua,MODIS,41,61.03,274.9,7.6,D,0
1.9886,10.1863,322.2,1.2,1.1,2023-01-24,1311,Aqua,MODIS,72,61.03,294.4,18.5,D,0
1.9638,11.2713,317.9,1,1,2023-01-26,1258,Aqua,MODIS,72,61.03,297,10.9,D,0
1.8624,11.1477,313.7,1,1,2023-01-26,1258,Aqua,MODIS,65,61.03,296.4,7.7,D,0
2.0896,11.2565,314.3,1,1,2023-01-26,1258,Aqua,MODIS,66,61.03,296.8,7.3,D,0
2.0908,11.1385,311.8,1,1,2023-01-26,1258,Aqua,MODIS,60,61.03,296.6,5.6,D,0
2.1641,11.1938,319.5,1,1,2023-01-26,1258,Aqua,MODIS,74,61.03,297,11.5,D,0
1.891,10.6126,308.7,1.4,1.2,2023-01-28,1245,Aqua,MODIS,47,61.03,291.1,7.2,D,0
2.0475,11.3074,308.5,1.3,1.1,2023-01-28,1245,Aqua,MODIS,55,61.03,290.6,7.3,D,0
1.8812,10.1795,306.1,1.6,1.2,2023-01-28,1245,Aqua,MODIS,29,61.03,288.1,8,D,0
2.0342,9.8267,311.1,1.3,1.1,2023-02-07,1316,Aqua,MODIS,47,61.03,295.5,6.1,D,0
2.0326,9.8153,313.7,1.3,1.1,2023-02-07,1316,Aqua,MODIS,59,61.03,295.3,8.8,D,0
1.1623,10.5296,309.4,1,1,2023-02-09,1303,Aqua,MODIS,41,61.03,290.2,5.3,D,0
1.8149,10.2647,314.3,1,1,2023-02-09,1303,Aqua,MODIS,46,61.03,294.7,7,D,0
1.8564,9.9812,311.5,1,1,2023-02-09,1303,Aqua,MODIS,44,61.03,293,6.3,D,0
2.079,9.921,310.5,1,1,2023-02-09,1303,Aqua,MODIS,61,61.03,288.4,6.5,D,0
3.6968,8.7693,302.1,1.6,1.2,2023-02-09,2151,Terra,MODIS,46,61.03,291.5,7.5,N,0
1.8969,10.9624,306,1.2,1.1,2023-02-11,1249,Aqua,MODIS,27,61.03,284.4,5.7,D,0
1.8444,10.6946,316.4,1.2,1.1,2023-02-11,1249,Aqua,MODIS,72,61.03,283,14.5,D,0
1.8477,10.6986,311.1,1.2,1.1,2023-02-11,1249,Aqua,MODIS,47,61.03,282.8,8.7,D,0
2.0337,11.1363,310.3,1.1,1.1,2023-02-11,1250,Aqua,MODIS,60,61.03,289.6,7.3,D,0
2.0423,11.0621,308.5,1.2,1.1,2023-02-11,1250,Aqua,MODIS,46,61.03,282.4,7.2,D,0
2.008,10.5317,309.9,2.9,1.6,2023-02-12,1332,Aqua,MODIS,60,61.03,290,24.4,D,0
1.7708,11.2024,307.2,1.9,1.4,2023-02-13,1236,Aqua,MODIS,54,61.03,290.6,11.3,D,0
1.78,10.7601,308,2.1,1.4,2023-02-13,1236,Aqua,MODIS,50,61.03,289.1,14.4,D,0
2.0155,11.029,308.7,2,1.4,2023-02-13,1236,Aqua,MODIS,56,61.03,291,14.1,D,0
1.8749,11.319,311.3,1.8,1.3,2023-02-14,1318,Aqua,MODIS,60,61.03,294.8,12.1,D,0
1.6721,11.1086,308.6,1.7,1.3,2023-02-14,1318,Aqua,MODIS,43,61.03,290.2,7.6,D,0
1.669,11.1034,308.8,1.7,1.3,2023-02-14,1318,Aqua,MODIS,38,61.03,291.9,8.2,D,0
1.7646,11.1986,318.3,1.7,1.3,2023-02-14,1318,Aqua,MODIS,73,61.03,294.9,25.4,D,0
1.7622,11.1919,316.5,1.7,1.3,2023-02-14,1318,Aqua,MODIS,70,61.03,294.6,20.5,D,0
1.8154,11.1529,315.6,1.7,1.3,2023-02-14,1318,Aqua,MODIS,69,61.03,294.5,19,D,0
1.7475,10.6004,314.9,1.6,1.2,2023-02-14,1318,Aqua,MODIS,56,61.03,293.8,13.8,D,0
1.7605,10.6127,315.9,1.6,1.2,2023-02-14,1318,Aqua,MODIS,69,61.03,293.9,15.6,D,0
1.7585,10.5988,313.6,1.6,1.2,2023-02-14,1318,Aqua,MODIS,63,61.03,293.9,12.1,D,0
1.8136,10.7431,315.8,1.6,1.2,2023-02-14,1318,Aqua,MODIS,68,61.03,295.1,15.3,D,0
1.8721,11.0776,313.3,1.7,1.3,2023-02-14,1318,Aqua,MODIS,64,61.03,296.8,13.6,D,0
