latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.3305,36.894,329.8,1.9,1.3,2023-01-02,1045,Aqua,MODIS,73,61.03,306.7,31.6,D,0
14.3671,36.9669,335.9,2.5,1.5,2023-01-05,0820,Terra,MODIS,85,61.03,303.4,98.9,D,0
14.2495,37.5561,347.7,1.1,1.1,2023-01-05,1114,Aqua,MODIS,92,61.03,316.1,48.1,D,0
14.3643,36.9761,362.9,1.1,1,2023-01-05,1114,Aqua,MODIS,100,61.03,311.5,86.2,D,0
14.3629,36.9663,338.3,1.1,1,2023-01-05,1114,Aqua,MODIS,83,61.03,314.9,24.6,D,0
14.6016,36.6228,329.1,1.1,1,2023-01-05,1114,Aqua,MODIS,66,61.03,314.4,11.1,D,0
14.3633,36.904,356.5,1.1,1,2023-01-07,1101,Aqua,MODIS,97,61.03,314.9,64.7,D,0
14.3619,36.8943,346.2,1.1,1,2023-01-07,1101,Aqua,MODIS,90,61.03,315.7,39.8,D,0
14.3791,36.9315,318,1,1,2023-01-08,1936,Terra,MODIS,96,61.03,295.2,14,N,0
14.3879,36.9302,321.4,1,1,2023-01-08,1936,Terra,MODIS,100,61.03,294.4,17,N,0
14.3867,36.9211,308.2,1,1,2023-01-08,1936,Terra,MODIS,40,61.03,293.5,6.1,N,0
14.3993,36.947,304.1,1,1,2023-01-08,1936,Terra,MODIS,28,61.03,293.6,4.1,N,0
14.3981,36.938,314.6,1,1,2023-01-08,1936,Terra,MODIS,88,61.03,293.8,10.8,N,0
14.3946,36.9343,322.7,1,1,2023-01-09,0749,Terra,MODIS,50,61.03,308.8,8.3,D,0
14.3959,36.9251,322.5,1,1,2023-01-09,0749,Terra,MODIS,43,61.03,306.1,8.4,D,0
14.3918,36.9288,330.3,1.7,1.3,2023-01-09,1048,Aqua,MODIS,74,61.03,311.7,29.8,D,0
14.5779,36.7812,328.9,3.9,1.8,2023-01-15,1146,Aqua,MODIS,70,61.03,304,91.9,D,0
14.5854,36.7725,332.5,3.9,1.8,2023-01-15,1146,Aqua,MODIS,76,61.03,305.1,124.2,D,0
14.7159,36.6548,324.6,1,1,2023-01-21,0751,Terra,MODIS,63,61.03,312.7,7.4,D,0
14.5831,36.548,327.2,1,1,2023-01-21,0751,Terra,MODIS,69,61.03,312,11.7,D,0
14.5888,36.7589,333.4,1,1,2023-01-21,1107,Aqua,MODIS,68,61.03,318.7,11.1,D,0
14.5874,36.7497,333,1,1,2023-01-21,1107,Aqua,MODIS,70,61.03,319.2,11.1,D,0
14.7133,36.6615,334.2,1,1,2023-01-21,1107,Aqua,MODIS,71,61.03,319.1,12.3,D,0
14.5623,36.7723,304.2,1.3,1.1,2023-01-22,1923,Terra,MODIS,59,61.03,293.2,7.6,N,0
14.5649,36.7699,326.8,1.5,1.2,2023-01-23,0735,Terra,MODIS,71,61.03,311.1,18.1,D,0
14.5631,36.7721,330.7,1.4,1.2,2023-01-23,1053,Aqua,MODIS,53,61.03,316.3,13.2,D,0
14.5697,36.6805,332.4,1.4,1.2,2023-01-23,1053,Aqua,MODIS,68,61.03,318.8,15.6,D,0
14.6051,36.7839,333.2,1.4,1.2,2023-01-23,1053,Aqua,MODIS,71,61.03,319.2,14.9,D,0
14.599,36.7465,337.9,1.4,1.2,2023-01-23,1053,Aqua,MODIS,79,61.03,316.6,26.3,D,0
14.4555,37.6841,326.7,2.1,1.4,2023-01-25,1040,Aqua,MODIS,53,61.03,312.3,23.4,D,0
14.4432,37.6864,334.8,2.1,1.4,2023-01-25,1040,Aqua,MODIS,65,61.03,312,51.5,D,0
14.44,37.6677,341,2.1,1.4,2023-01-25,1040,Aqua,MODIS,86,61.03,312.6,82.3,D,0
14.4524,37.6654,332.3,2.1,1.4,2023-01-25,1040,Aqua,MODIS,75,61.03,313.7,44.7,D,0
14.4448,37.6812,338.4,2.1,1.4,2023-01-25,1040,Aqua,MODIS,83,61.03,312.3,66.7,D,0
14.4572,37.6789,327.9,2.1,1.4,2023-01-25,1040,Aqua,MODIS,45,61.03,312.7,26.5,D,0
14.5685,37.7351,324,2,1.4,2023-01-25,1040,Aqua,MODIS,48,61.03,312.4,19,D,0
14.4812,37.6686,333,1.3,1.1,2023-01-26,0800,Terra,MODIS,68,61.03,311.8,23.8,D,0
14.4794,37.6798,328.8,1.3,1.1,2023-01-26,0800,Terra,MODIS,50,61.03,310.9,16.9,D,0
14.4927,37.6589,328.5,1.2,1.1,2023-01-26,0800,Terra,MODIS,45,61.03,311.2,16.1,D,0
14.4197,37.6309,358.9,1.5,1.2,2023-01-26,1122,Aqua,MODIS,99,61.03,312.3,125.2,D,0
14.4178,37.6166,350.2,1.5,1.2,2023-01-26,1122,Aqua,MODIS,93,61.03,307.7,86,D,0
14.4306,37.6295,332.6,1.5,1.2,2023-01-26,1122,Aqua,MODIS,54,61.03,309.1,27.7,D,0
14.424,37.6379,337.3,1.5,1.2,2023-01-26,1122,Aqua,MODIS,61,61.03,310.4,40.8,D,0
14.4223,37.6237,341.2,1.5,1.2,2023-01-26,1122,Aqua,MODIS,86,61.03,310.6,53.6,D,0
14.4477,37.6493,340.2,1.6,1.2,2023-01-26,1122,Aqua,MODIS,36,61.03,315.2,41.7,D,0
14.6387,36.821,340.1,1.4,1.2,2023-01-26,1122,Aqua,MODIS,83,61.03,321.1,33.3,D,0
14.649,36.8196,342.1,1.4,1.2,2023-01-26,1122,Aqua,MODIS,85,61.03,322,36.5,D,0
14.4087,37.6323,374.8,1.5,1.2,2023-01-26,1122,Aqua,MODIS,100,61.03,312.5,221.1,D,0
14.4069,37.6181,363.8,1.5,1.2,2023-01-26,1122,Aqua,MODIS,100,61.03,310.9,152.6,D,0
14.7009,36.6671,335.4,1.3,1.1,2023-01-26,1122,Aqua,MODIS,75,61.03,320.3,22.6,D,0
14.6993,36.6548,335.4,1.3,1.1,2023-01-26,1122,Aqua,MODIS,75,61.03,320.6,22.7,D,0
15.1167,37.2286,333.5,1.5,1.2,2023-01-26,1123,Aqua,MODIS,74,61.03,320.1,23.5,D,0
14.4874,37.6414,301.1,4.3,1.9,2023-01-26,1851,Terra,MODIS,37,61.03,287.8,44.5,N,0
14.4864,37.7042,365.1,1,1,2023-01-28,0744,Terra,MODIS,100,61.03,312,91.1,D,0
14.4851,37.7135,349.1,1,1,2023-01-28,0744,Terra,MODIS,94,61.03,310.8,49.1,D,0
