latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.3739,25.8449,308.6,1.6,1.3,2023-04-25,1028,Aqua,MODIS,67,61.03,293.4,15,D,0
59.3677,25.8185,308.9,1.6,1.3,2023-04-25,1028,Aqua,MODIS,68,61.03,295.1,15.7,D,0
58.3988,24.5325,301.4,1.2,1.1,2023-05-07,0945,Terra,MODIS,29,61.03,290.7,5.5,D,2
58.3111,24.776,306.8,1,1,2023-05-11,0912,Terra,MODIS,50,61.03,292.9,5.7,D,0
59.3747,27.2383,309,2.2,1.4,2023-05-11,1152,Aqua,MODIS,68,61.03,290.2,20.9,D,0
58.1277,25.8691,306.4,1.1,1,2023-05-12,1056,Aqua,MODIS,20,61.03,292.8,3.9,D,0
57.9101,26.7223,301.5,1.1,1,2023-05-19,1056,Aqua,MODIS,23,61.03,291.3,2.4,D,0
58.1037,26.5704,309,1.1,1,2023-05-19,1056,Aqua,MODIS,68,61.03,291.5,8.8,D,0
58.8432,24.4319,300.2,1.2,1.1,2023-05-27,1138,Aqua,MODIS,22,61.03,288.9,3.5,D,0
58.7109,24.2048,308.6,1,1,2023-05-29,1123,Aqua,MODIS,22,61.03,295.9,6.1,D,0
59.2773,27.3288,301,1.2,1.1,2023-06-05,1123,Aqua,MODIS,22,61.03,290,3.1,D,0
59.3716,25.841,315.3,1,1,2023-06-09,0919,Terra,MODIS,76,61.03,298.3,12.9,D,0
59.3634,25.8466,314.4,1.1,1,2023-06-09,1055,Aqua,MODIS,73,61.03,296.3,13.2,D,0
59.3601,25.8285,336,1.1,1,2023-06-09,1055,Aqua,MODIS,90,61.03,297.3,40.6,D,0
59.3687,25.8361,325.2,1.1,1,2023-06-09,1055,Aqua,MODIS,84,61.03,300.3,25.8,D,0
59.3654,25.818,315.4,1.1,1,2023-06-09,1055,Aqua,MODIS,76,61.03,297.3,14.4,D,0
58.029,25.5893,315,2,1.4,2023-06-10,1000,Terra,MODIS,61,61.03,286.2,33.2,D,0
58.0303,25.588,308.9,1.3,1.1,2023-06-10,1136,Aqua,MODIS,45,61.03,289.8,9.8,D,0
59.3667,25.8483,309.2,1.4,1.2,2023-06-10,1137,Aqua,MODIS,68,61.03,297.6,12.8,D,0
59.3465,27.12,303,1.4,1.2,2023-06-12,0943,Terra,MODIS,22,61.03,291.5,4,D,0
59.1703,27.6802,310.4,1.2,1.1,2023-06-13,0846,Terra,MODIS,53,61.03,299.2,7.5,D,0
59.1682,27.7016,321.7,1.2,1.1,2023-06-13,0846,Terra,MODIS,79,61.03,299.6,20.5,D,0
59.1679,27.6973,314.2,1.6,1.2,2023-06-13,1026,Aqua,MODIS,70,61.03,299.7,17,D,0
59.1657,27.6894,311.1,1.1,1.1,2023-06-14,0927,Terra,MODIS,60,61.03,299.2,6.7,D,0
59.5256,26.306,311.2,1.3,1.1,2023-06-18,1040,Aqua,MODIS,65,61.03,295.7,12.4,D,0
58.313,26.2393,319.7,1,1,2023-06-21,0919,Terra,MODIS,52,61.03,305.5,10.8,D,0
58.027,25.597,302.9,1.4,1.2,2023-06-24,0943,Terra,MODIS,31,61.03,290.2,4,D,0
58.1679,27.291,305.2,1.1,1,2023-06-26,1121,Aqua,MODIS,23,61.03,291.5,4,D,0
57.8483,26.3434,314.9,1.2,1.1,2023-07-12,0853,Terra,MODIS,69,61.03,300.6,11.1,D,0
59.3324,25.1868,302,1,1,2023-07-24,1117,Aqua,MODIS,25,61.03,291.3,3.8,D,0
58.0563,27.4629,303,2.1,1.4,2023-08-15,1154,Aqua,MODIS,17,61.03,289.5,6.8,D,0
58.8631,25.8281,303.9,1.3,1.1,2023-08-24,1138,Aqua,MODIS,13,61.03,290.4,5.6,D,0
58.7845,24.0295,300.2,1,1,2023-08-26,1124,Aqua,MODIS,11,61.03,284.8,2.1,D,0
