latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.5747,36.5325,311.5,3.5,1.8,2023-01-01,0715,Terra,MODIS,63,61.03,294.4,32.8,D,0
5.8513,35.5952,319.3,3.7,1.8,2023-01-01,0716,Terra,MODIS,68,61.03,297.4,70.3,D,0
6.4525,35.1345,321.9,1.7,1.3,2023-01-01,1138,Aqua,MODIS,69,61.03,305.4,14.8,D,0
6.4327,35.2445,319.6,1.7,1.3,2023-01-01,1138,Aqua,MODIS,57,61.03,302.4,14.3,D,0
6.2281,34.9221,341.2,1.6,1.3,2023-01-01,1138,Aqua,MODIS,78,61.03,305.5,71,D,0
6.23,34.9357,341.5,1.6,1.3,2023-01-01,1138,Aqua,MODIS,68,61.03,304.3,73.6,D,0
6.0785,35.2503,317.7,1.7,1.3,2023-01-01,1138,Aqua,MODIS,22,61.03,300.1,19.5,D,0
5.9483,34.9772,329.9,1.6,1.3,2023-01-01,1138,Aqua,MODIS,78,61.03,306.7,39.3,D,0
6.108,36.4236,321.5,2.1,1.4,2023-01-01,1138,Aqua,MODIS,0,61.03,290.3,36.1,D,0
6.5374,35.0043,325.6,1.7,1.3,2023-01-01,1138,Aqua,MODIS,76,61.03,303.3,27.9,D,0
5.7908,35.2495,324.6,1.7,1.3,2023-01-01,1138,Aqua,MODIS,33,61.03,303.6,26.5,D,0
6.5574,34.8974,323.7,1.6,1.3,2023-01-01,1138,Aqua,MODIS,41,61.03,301.2,18.4,D,0
6.5377,35.011,334,1.7,1.3,2023-01-01,1138,Aqua,MODIS,84,61.03,303,49.7,D,0
6.5686,34.8959,323.7,1.6,1.3,2023-01-01,1138,Aqua,MODIS,50,61.03,301.6,18.9,D,0
6.6944,34.8066,317.6,1.6,1.2,2023-01-01,1138,Aqua,MODIS,61,61.03,300.9,14,D,0
6.724,34.7738,324.4,1.6,1.2,2023-01-01,1138,Aqua,MODIS,74,61.03,300.4,26.8,D,0
7.1534,34.8976,323.2,1.7,1.3,2023-01-01,1138,Aqua,MODIS,74,61.03,301.4,28.6,D,0
7.1532,34.9071,315.1,1.7,1.3,2023-01-01,1138,Aqua,MODIS,32,61.03,300.1,11.4,D,0
7.1513,34.8924,318.8,1.7,1.3,2023-01-01,1138,Aqua,MODIS,63,61.03,301.3,18.2,D,0
7.3567,34.6303,318,1.6,1.2,2023-01-01,1138,Aqua,MODIS,64,61.03,301.8,15,D,0
7.5282,34.0188,332.2,1.5,1.2,2023-01-01,1138,Aqua,MODIS,62,61.03,305.2,33,D,0
7.5405,34.0303,340.2,1.5,1.2,2023-01-01,1138,Aqua,MODIS,77,61.03,301.6,57.2,D,0
7.5893,34.3091,325.3,1.5,1.2,2023-01-01,1138,Aqua,MODIS,55,61.03,300.3,26.9,D,0
7.611,34.1221,326.3,1.5,1.2,2023-01-01,1138,Aqua,MODIS,58,61.03,299.9,25.3,D,0
7.6093,34.1089,354.6,1.5,1.2,2023-01-01,1138,Aqua,MODIS,97,61.03,303,111.7,D,0
7.62,34.1074,341,1.5,1.2,2023-01-01,1138,Aqua,MODIS,90,61.03,295.3,63.5,D,0
7.6182,34.0942,337.8,1.5,1.2,2023-01-01,1138,Aqua,MODIS,87,61.03,303.8,53.3,D,0
7.797,34.3241,337.9,1.5,1.2,2023-01-01,1138,Aqua,MODIS,88,61.03,303.7,52.3,D,0
7.7951,34.3104,341.2,1.5,1.2,2023-01-01,1138,Aqua,MODIS,90,61.03,308.6,62.5,D,0
7.8235,34.1759,322.6,1.5,1.2,2023-01-01,1138,Aqua,MODIS,68,61.03,300.4,19.7,D,0
7.8617,34.2956,343.1,1.5,1.2,2023-01-01,1138,Aqua,MODIS,91,61.03,300.1,71.8,D,0
7.8662,34.0075,335,1.5,1.2,2023-01-01,1138,Aqua,MODIS,70,61.03,302.9,43.9,D,0
7.8618,34.0149,332.6,1.5,1.2,2023-01-01,1138,Aqua,MODIS,66,61.03,300,36.2,D,0
8.1877,34.6686,349,1.7,1.3,2023-01-01,1138,Aqua,MODIS,89,61.03,299.7,103.6,D,0
8.1619,34.3918,338.2,1.6,1.2,2023-01-01,1138,Aqua,MODIS,88,61.03,296.7,62.1,D,0
8.3551,34.3817,333.7,1.6,1.2,2023-01-01,1138,Aqua,MODIS,85,61.03,301.7,44.9,D,0
8.3532,34.3675,323.7,1.6,1.2,2023-01-01,1138,Aqua,MODIS,53,61.03,302.6,20,D,0
8.3662,34.3802,347.5,1.6,1.2,2023-01-01,1138,Aqua,MODIS,94,61.03,302.5,90.9,D,0
8.3679,34.3888,328.6,1.6,1.2,2023-01-01,1138,Aqua,MODIS,75,61.03,292.9,32.4,D,0
6.4518,35.1444,325.9,1.7,1.3,2023-01-01,1138,Aqua,MODIS,76,61.03,305.5,22.7,D,0
8.366,34.3744,330.7,1.6,1.2,2023-01-01,1138,Aqua,MODIS,67,61.03,304.6,37.8,D,0
6.5393,35.019,325.5,1.7,1.3,2023-01-01,1138,Aqua,MODIS,76,61.03,301.2,27.8,D,0
10.6048,34.586,317.9,1.8,1.3,2023-01-01,1139,Aqua,MODIS,59,61.03,299.9,16.4,D,0
8.3952,34.1714,334.8,1.5,1.2,2023-01-01,1139,Aqua,MODIS,86,61.03,302.2,40.9,D,0
8.3933,34.1577,331,1.5,1.2,2023-01-01,1139,Aqua,MODIS,83,61.03,305.3,31.2,D,0
8.3968,34.1016,336.9,1.5,1.2,2023-01-01,1139,Aqua,MODIS,87,61.03,303.8,48.6,D,0
9.5889,36.5207,329.2,2.4,1.5,2023-01-01,1139,Aqua,MODIS,77,61.03,300,75.2,D,0
9.5943,36.455,323.1,2.4,1.5,2023-01-01,1139,Aqua,MODIS,75,61.03,299.4,47.7,D,0
9.6859,35.7349,318.4,2.1,1.4,2023-01-01,1139,Aqua,MODIS,61,61.03,300.7,22.3,D,0
10.0889,37.5127,322.8,3,1.6,2023-01-01,1139,Aqua,MODIS,62,61.03,306.7,37.4,D,0
9.9972,35.6196,319.3,2.1,1.4,2023-01-01,1139,Aqua,MODIS,69,61.03,302.6,23.1,D,0
10.355,37.0924,322.3,2.8,1.6,2023-01-01,1139,Aqua,MODIS,70,61.03,307,35.9,D,0
10.3575,37.0867,322.1,2.8,1.6,2023-01-01,1139,Aqua,MODIS,68,61.03,307.2,35.6,D,0
10.3449,35.6806,325.3,2.1,1.4,2023-01-01,1139,Aqua,MODIS,61,61.03,303.3,45,D,0
10.3575,35.6785,320.4,2.1,1.4,2023-01-01,1139,Aqua,MODIS,43,61.03,300.6,31,D,0
10.3911,35.5359,320.1,2.1,1.4,2023-01-01,1139,Aqua,MODIS,68,61.03,303.5,21.2,D,0
10.5607,35.3319,318.8,2,1.4,2023-01-01,1139,Aqua,MODIS,58,61.03,300.9,21.9,D,0
10.6019,34.5968,315.8,1.8,1.3,2023-01-01,1139,Aqua,MODIS,55,61.03,299.2,11.9,D,0
10.8043,35.7116,313.2,2.2,1.4,2023-01-01,1139,Aqua,MODIS,39,61.03,296.6,19.2,D,0
10.8282,35.0785,318.8,2,1.4,2023-01-01,1139,Aqua,MODIS,61,61.03,299.1,19.4,D,0
10.8901,35.4595,324,2.1,1.4,2023-01-01,1139,Aqua,MODIS,74,61.03,299.8,41.3,D,0
10.8381,35.0589,318.4,2,1.4,2023-01-01,1139,Aqua,MODIS,51,61.03,300.7,18.5,D,0
10.8312,35.0726,321.5,2,1.4,2023-01-01,1139,Aqua,MODIS,64,61.03,299.6,25.1,D,0
10.8925,35.4729,318.6,2.1,1.4,2023-01-01,1139,Aqua,MODIS,63,61.03,299,25.9,D,0
10.8902,35.4542,318.7,2.1,1.4,2023-01-01,1139,Aqua,MODIS,63,61.03,299.8,25.5,D,0
11.2784,35.7414,319.1,2.2,1.5,2023-01-01,1139,Aqua,MODIS,50,61.03,295.5,24.9,D,0
11.2758,35.7215,318.5,2.2,1.4,2023-01-01,1139,Aqua,MODIS,38,61.03,299.2,23.8,D,0
11.2759,35.7365,326.8,2.2,1.5,2023-01-01,1139,Aqua,MODIS,67,61.03,297.4,47.8,D,0
11.3068,35.7743,321.8,2.3,1.5,2023-01-01,1139,Aqua,MODIS,67,61.03,298.5,37,D,0
11.2874,35.0066,319.8,2,1.4,2023-01-01,1139,Aqua,MODIS,44,61.03,302,15.2,D,0
11.4213,35.5308,319,2.2,1.4,2023-01-01,1139,Aqua,MODIS,42,61.03,298.5,22.7,D,0
11.4341,35.5293,331.9,2.2,1.4,2023-01-01,1139,Aqua,MODIS,81,61.03,299.2,66.8,D,0
11.4329,35.5242,328.4,2.2,1.4,2023-01-01,1139,Aqua,MODIS,76,61.03,299.9,52.3,D,0
11.6297,35.6331,318.6,2.2,1.4,2023-01-01,1139,Aqua,MODIS,37,61.03,298.3,23.5,D,0
11.6272,35.6131,321.1,2.2,1.4,2023-01-01,1139,Aqua,MODIS,44,61.03,298.8,32.3,D,0
