latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-17.4219,178.1044,308.3,1.8,1.3,2023-06-12,1044,Terra,MODIS,60,61.03,287.6,20.7,N,0
-16.7915,178.5733,305.5,1.3,1.1,2023-06-13,0151,Aqua,MODIS,23,61.03,285.2,6.3,D,0
-17.9328,177.2731,316.1,1.1,1,2023-06-18,0204,Aqua,MODIS,0,61.03,296.5,11.8,D,0
-17.5374,177.5441,309.4,1,1,2023-06-20,2208,Terra,MODIS,68,61.03,288.9,7.5,D,0
-17.8746,177.2769,317.2,1,1,2023-06-24,1352,Aqua,MODIS,95,61.03,291.5,16.3,N,0
-17.7887,177.4265,310.8,1.1,1,2023-06-25,0203,Aqua,MODIS,66,61.03,300.1,4.6,D,0
-17.4555,177.912,310.4,1,1,2023-06-25,0204,Aqua,MODIS,38,61.03,298.8,5.3,D,0
-17.8168,177.3996,310.9,1.2,1.1,2023-06-25,2216,Terra,MODIS,70,61.03,296.9,8.3,D,0
-17.8144,177.3942,309.8,1.2,1.1,2023-06-25,2216,Terra,MODIS,55,61.03,296.8,7.1,D,0
-17.5781,177.8023,307.2,1.1,1,2023-06-30,0217,Aqua,MODIS,39,61.03,293,5,D,0
-17.8417,177.3902,314.4,1,1,2023-07-07,0216,Aqua,MODIS,64,61.03,300.5,6.3,D,0
-16.6933,178.691,320,1,1,2023-07-09,0202,Aqua,MODIS,77,61.03,299.9,13.4,D,0
-16.6946,178.6816,319.5,1,1,2023-07-09,0202,Aqua,MODIS,77,61.03,298.1,12.7,D,0
-17.4417,177.8692,310.3,1,1,2023-07-09,2159,Terra,MODIS,35,61.03,298.7,5.3,D,0
-17.4431,177.8787,310.6,1,1,2023-07-09,2159,Terra,MODIS,41,61.03,299,5.2,D,0
-16.6609,178.9024,305,1.5,1.2,2023-07-11,0148,Aqua,MODIS,49,61.03,294.7,6.5,D,0
-17.7593,177.4861,311.3,1.5,1.2,2023-07-12,0229,Aqua,MODIS,48,61.03,297.7,8.8,D,0
-17.5157,177.9963,313.1,1.3,1.1,2023-07-19,2214,Terra,MODIS,57,61.03,291.6,12.8,D,0
-17.5171,178.0072,321.5,1.3,1.1,2023-07-19,2214,Terra,MODIS,74,61.03,290.2,24.3,D,0
-16.516,179.3866,313.5,1.8,1.3,2023-08-08,0143,Aqua,MODIS,55,61.03,295.9,16,D,0
-17.5395,177.9337,314.3,1.2,1.1,2023-08-16,0223,Aqua,MODIS,61,61.03,296.2,9.4,D,0
-16.69,178.6636,314.1,2.4,1.5,2023-08-22,0139,Aqua,MODIS,52,61.03,296.8,32.6,D,0
-16.6942,178.6576,311,2.4,1.5,2023-08-22,0139,Aqua,MODIS,41,61.03,296.4,24.4,D,0
-17.4005,178.0738,313.2,1.2,1.1,2023-08-23,0221,Aqua,MODIS,37,61.03,300.5,8.7,D,0
-17.8532,177.5332,315.5,1.1,1,2023-08-23,0221,Aqua,MODIS,72,61.03,299.6,10.8,D,0
-17.5447,177.954,312.2,1.2,1.1,2023-08-23,0221,Aqua,MODIS,49,61.03,297.6,8.3,D,0
-16.7355,178.7147,312.3,1.3,1.1,2023-08-23,0221,Aqua,MODIS,53,61.03,299.1,10.3,D,0
-16.7309,178.7101,306.6,1.9,1.3,2023-08-23,1039,Terra,MODIS,47,61.03,290.8,19,N,0
-17.4183,177.803,313.6,1,1,2023-08-25,0206,Aqua,MODIS,0,61.03,299.1,6.6,D,0
-17.4105,177.7921,316.6,1,1,2023-08-25,0206,Aqua,MODIS,53,61.03,299.9,9.5,D,0
-16.5947,178.8731,313.6,1,1,2023-08-25,0207,Aqua,MODIS,64,61.03,302.2,5.5,D,0
-16.642,178.8617,317,1,1,2023-08-25,0207,Aqua,MODIS,72,61.03,300.6,9.7,D,0
-16.6246,178.7926,314.3,1,1,2023-08-25,0207,Aqua,MODIS,56,61.03,301.4,6.8,D,0
-16.6183,178.7726,317.8,1,1,2023-08-25,0207,Aqua,MODIS,59,61.03,303,9.1,D,0
