latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
64.6445,24.4475,301.6,1,1,2023-05-09,0927,Terra,MODIS,29,61.03,288.5,4.4,D,0
63.3178,23.5005,302.4,1,1,2023-05-09,0927,Terra,MODIS,52,61.03,288.7,4.8,D,0
64.6469,24.4345,306.9,1,1,2023-05-12,0951,Terra,MODIS,0,61.03,290.9,8,D,0
60.1911,24.9459,309.9,1.3,1.1,2023-05-12,0952,Terra,MODIS,0,61.03,295.8,8.2,D,2
61.4655,23.7649,303.6,1.3,1.1,2023-05-14,1043,Aqua,MODIS,10,61.03,289.4,5.5,D,2
60.6046,25.7089,336.7,1.2,1.1,2023-05-15,1125,Aqua,MODIS,89,61.03,299.6,40.5,D,0
60.6023,25.6883,331.2,1.1,1.1,2023-05-15,1125,Aqua,MODIS,86,61.03,302.5,31,D,0
60.8018,21.4187,305.7,1,1,2023-05-19,0944,Terra,MODIS,49,61.03,294,5.1,D,2
62.895,27.6614,301.5,2,1.4,2023-05-22,0830,Terra,MODIS,0,61.03,290.1,6.9,D,2
61.6784,28.201,306.8,2.1,1.4,2023-05-22,1008,Terra,MODIS,0,61.03,293,17.6,D,0
60.6747,24.3103,323.4,1.7,1.3,2023-05-22,1008,Terra,MODIS,72,61.03,292.6,41,D,0
60.6759,24.3059,324.1,1.7,1.3,2023-05-22,1008,Terra,MODIS,63,61.03,292.7,39.2,D,0
60.667,24.3,309.9,1.1,1,2023-05-22,1124,Aqua,MODIS,47,61.03,275.6,13.5,D,0
60.3522,23.6499,309.3,2.2,1.4,2023-05-23,1206,Aqua,MODIS,62,61.03,292.6,21.3,D,0
60.2209,23.2732,314.5,1.2,1.1,2023-05-24,0952,Terra,MODIS,56,61.03,296.9,9.8,D,0
60.217,23.2932,319.4,1.2,1.1,2023-05-24,0952,Terra,MODIS,74,61.03,299,16,D,0
61.4522,22.4732,307.6,2.2,1.4,2023-05-25,1032,Terra,MODIS,66,61.03,288,27.2,D,0
61.4529,22.4668,306.4,2.2,1.4,2023-05-25,1032,Terra,MODIS,63,61.03,288,24.9,D,0
61.4563,22.4816,304,1.5,1.2,2023-05-25,1152,Aqua,MODIS,58,61.03,289.5,10.5,D,0
61.454,22.4535,316.3,1.5,1.2,2023-05-25,1152,Aqua,MODIS,77,61.03,289.6,26.9,D,0
61.5119,21.7152,308.7,1.5,1.2,2023-05-27,1016,Terra,MODIS,58,61.03,289,12.6,D,0
61.5061,21.7406,326.5,1.5,1.2,2023-05-27,1016,Terra,MODIS,84,61.03,290.3,41.4,D,0
60.8372,23.4541,301.8,1.2,1.1,2023-05-27,1138,Aqua,MODIS,22,61.03,290,2.9,D,0
61.0442,22.5792,301,1.1,1,2023-06-09,0919,Terra,MODIS,7,61.03,289.4,3.4,D,0
60.3297,24.5422,308.1,1,1,2023-06-12,1123,Aqua,MODIS,50,61.03,295.4,6.3,D,0
62.4656,21.9937,346.2,1,1,2023-06-12,1123,Aqua,MODIS,94,61.03,296.2,53.3,D,0
63.0971,26.1926,312.4,1.2,1.1,2023-06-12,1123,Aqua,MODIS,55,61.03,290,13.8,D,0
65.8304,29.9032,308.1,1,1,2023-06-14,0925,Terra,MODIS,58,61.03,294.1,6.3,D,0
66.3968,25.794,310.2,1,1,2023-06-14,0925,Terra,MODIS,68,61.03,295.4,8.2,D,0
62.796,30.3665,319.8,1.1,1.1,2023-06-14,0926,Terra,MODIS,0,61.03,295.3,18.5,D,0
66.3973,25.7988,309,1.1,1.1,2023-06-14,1110,Aqua,MODIS,64,61.03,296.5,7.7,D,0
67.737,28.6765,301.6,2.1,1.4,2023-06-15,0827,Terra,MODIS,46,61.03,291,9.7,D,0
67.7368,28.6614,315.4,1.3,1.1,2023-06-15,1005,Terra,MODIS,76,61.03,294.2,16.7,D,0
67.7337,28.6229,305.7,1.2,1.1,2023-06-15,1005,Terra,MODIS,36,61.03,294.4,5.9,D,0
67.7281,28.6486,335.3,1.3,1.1,2023-06-15,1005,Terra,MODIS,89,61.03,293.7,47.3,D,0
65.2559,28.6281,315.7,1.5,1.2,2023-06-15,1006,Terra,MODIS,74,61.03,296.3,22.4,D,0
65.2492,28.6563,307.1,1.5,1.2,2023-06-15,1006,Terra,MODIS,58,61.03,295.3,10.6,D,0
65.2518,28.6308,338.3,1.2,1.1,2023-06-15,1014,Aqua,MODIS,90,61.03,298.3,50.8,D,0
67.7251,28.6323,317.7,1.1,1,2023-06-15,1014,Aqua,MODIS,78,61.03,296.1,14.8,D,0
67.7293,28.6551,339.1,1.1,1,2023-06-15,1014,Aqua,MODIS,91,61.03,296,44.1,D,0
67.732,28.6385,326.7,4.3,1.9,2023-06-15,1142,Terra,MODIS,85,61.03,287.4,209.3,D,0
67.7343,28.6492,329,4.3,1.9,2023-06-15,1142,Terra,MODIS,86,61.03,287,230.6,D,0
67.7232,28.6245,315.7,2.7,1.6,2023-06-15,1153,Aqua,MODIS,76,61.03,291.7,55.5,D,0
67.7247,28.6895,302.7,2.8,1.6,2023-06-15,1153,Aqua,MODIS,53,61.03,289.9,16.8,D,0
62.6726,30.5133,335.7,1.8,1.3,2023-06-15,1945,Terra,MODIS,100,61.03,286.5,90.9,N,0
62.6748,30.5477,317.9,1.8,1.3,2023-06-15,1945,Terra,MODIS,96,61.03,285.2,42.3,N,0
65.5581,28.6983,332.8,1.7,1.3,2023-06-15,1946,Terra,MODIS,100,61.03,285.3,76.9,N,0
65.2558,28.6203,310.9,1.1,1,2023-06-16,0909,Terra,MODIS,71,61.03,293,9.2,D,0
61.1783,24.8552,324.7,1.1,1,2023-06-16,0910,Terra,MODIS,60,61.03,297.2,20.9,D,0
61.176,24.8749,320.1,1.1,1,2023-06-16,0910,Terra,MODIS,65,61.03,297.9,15.3,D,0
61.5224,28.8365,306.6,1,1,2023-06-16,0910,Terra,MODIS,34,61.03,296.4,3.3,D,0
66.4793,28.1032,301.9,2.4,1.5,2023-06-16,1046,Terra,MODIS,37,61.03,290.2,16.3,D,0
