latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.5023,5.1921,300.1,1,1,2023-01-03,2113,Terra,MODIS,18,61.03,279.3,8.1,N,2
43.4455,4.891,314.6,1.1,1,2023-01-05,1301,Aqua,MODIS,57,61.03,288.6,15.2,D,2
51.0455,2.3011,309,1,1,2023-01-10,0208,Aqua,MODIS,76,61.03,279.2,13.2,N,2
43.4515,4.9015,301.3,1.4,1.2,2023-01-10,1001,Terra,MODIS,40,61.03,282.2,11.1,D,2
51.0505,2.3189,302.3,1,1,2023-01-11,1040,Terra,MODIS,0,61.03,274.3,8.3,D,2
43.8902,-0.303,304.3,1.1,1,2023-01-12,1304,Aqua,MODIS,55,61.03,284.5,8.6,D,0
43.7405,5.2287,303.8,1,1,2023-01-13,1026,Terra,MODIS,57,61.03,278.3,9.9,D,0
51.0413,2.2897,301.4,1.1,1.1,2023-01-13,2134,Terra,MODIS,41,61.03,275.1,10,N,2
43.4441,4.8996,303.4,1.1,1.1,2023-01-15,1010,Terra,MODIS,42,61.03,279.5,9.7,D,2
49.4819,0.244,300.2,1.8,1.3,2023-01-18,0254,Aqua,MODIS,19,61.03,267.3,23.1,N,2
51.0456,2.2956,311.6,1.1,1,2023-01-18,1033,Terra,MODIS,0,61.03,277.5,15.7,D,2
42.4085,2.6332,301.2,1,1,2023-01-19,1306,Aqua,MODIS,45,61.03,279.8,8.1,D,0
42.4101,2.6452,309,1,1,2023-01-19,1306,Aqua,MODIS,68,61.03,279,13,D,0
51.035,2.2789,301.6,1.2,1.1,2023-01-26,1311,Aqua,MODIS,36,61.03,281.5,9.6,D,2
51.0369,2.2962,302.9,1.2,1.1,2023-01-26,1311,Aqua,MODIS,41,61.03,281.7,10.4,D,2
43.4474,4.8929,306.4,1,1,2023-01-27,2119,Terra,MODIS,68,61.03,272.7,12.5,N,2
43.7502,6.0212,313.5,1,1,2023-01-30,1243,Aqua,MODIS,70,61.03,279.8,15.8,D,0
43.7532,5.981,306.9,1,1,2023-01-30,1243,Aqua,MODIS,61,61.03,279.6,11.1,D,0
44.4009,6.0295,309.7,1,1,2023-01-30,1243,Aqua,MODIS,64,61.03,275.7,13,D,0
44.4097,6.0266,301.6,1,1,2023-01-30,1243,Aqua,MODIS,22,61.03,276.6,7.3,D,0
43.6917,5.8292,301.2,1,1,2023-01-30,1243,Aqua,MODIS,45,61.03,278.8,8.1,D,0
51.0464,2.2996,309.8,1.1,1,2023-01-30,1245,Aqua,MODIS,0,61.03,280.8,11.8,D,2
44.4953,3.8829,315,3.6,1.8,2023-01-31,1118,Terra,MODIS,63,61.03,275.4,109.2,D,0
44.5015,3.879,313.3,3.6,1.8,2023-01-31,1118,Terra,MODIS,58,61.03,275,105.6,D,0
43.7763,6.9871,300.2,1.1,1,2023-02-01,1021,Terra,MODIS,31,61.03,282.3,6.9,D,0
43.7459,7.0573,303,1.1,1,2023-02-01,1021,Terra,MODIS,54,61.03,280.7,8.1,D,0
42.9589,2.9851,307.1,1.1,1,2023-02-02,1312,Aqua,MODIS,56,61.03,286.5,10.6,D,0
43.4421,4.9003,300.2,1.3,1.1,2023-02-02,1312,Aqua,MODIS,0,61.03,287.9,6.9,D,2
44.0844,6.4324,304.9,1.1,1,2023-02-03,1005,Terra,MODIS,57,61.03,287.2,9.8,D,0
44.0828,6.4452,305,1.1,1,2023-02-03,1005,Terra,MODIS,60,61.03,285.5,10,D,0
42.7027,2.7427,303,4,1.9,2023-02-03,1354,Aqua,MODIS,54,61.03,291.7,35.1,D,0
42.6968,2.7521,303.5,4,1.9,2023-02-03,1354,Aqua,MODIS,56,61.03,291.7,37.1,D,0
42.5619,2.5421,326.4,1.3,1.1,2023-02-03,2112,Terra,MODIS,100,61.03,280.2,44,N,0
42.5652,2.5598,308,1.3,1.1,2023-02-03,2112,Terra,MODIS,73,61.03,278,18.3,N,0
43.0067,-0.2774,301.2,1.2,1.1,2023-02-04,1259,Aqua,MODIS,45,61.03,283.5,10.6,D,0
43.4446,4.9018,302.3,1.1,1,2023-02-06,1245,Aqua,MODIS,0,61.03,286.5,6.5,D,2
44.7818,4.4277,309.7,1.1,1,2023-02-06,1246,Aqua,MODIS,69,61.03,275.9,12.7,D,0
51.0322,2.2852,303.9,1,1,2023-02-06,1247,Aqua,MODIS,20,61.03,284.8,7,D,2
51.0433,2.2958,315.5,1,1,2023-02-06,1247,Aqua,MODIS,0,61.03,283.4,15.8,D,2
51.0331,2.2864,304.1,1.6,1.2,2023-02-07,1110,Terra,MODIS,44,61.03,280.4,17.4,D,2
51.0278,2.2685,303.2,1.3,1.1,2023-02-08,1234,Aqua,MODIS,52,61.03,281.3,11.5,D,2
51.0427,2.2982,301,1,1,2023-02-08,2123,Terra,MODIS,35,61.03,273.8,9.1,N,2
43.9795,-0.9113,313.2,1.1,1,2023-02-09,1056,Terra,MODIS,69,61.03,281.4,17.2,D,0
42.9967,-0.3829,334.9,1.2,1.1,2023-02-09,1056,Terra,MODIS,89,61.03,281.1,50.9,D,0
43.113,-1.2079,322.5,1,1,2023-02-09,1314,Aqua,MODIS,82,61.03,287.6,22.9,D,0
43.1149,-1.1956,301,1,1,2023-02-09,1314,Aqua,MODIS,42,61.03,285,6,D,0
42.9157,-0.5757,306.6,2.8,1.6,2023-02-10,1357,Aqua,MODIS,46,61.03,280.9,45.3,D,0
43.0771,-1.1247,306,2.6,1.5,2023-02-10,1357,Aqua,MODIS,48,61.03,282.2,31.1,D,0
43.0911,-1.1247,307.8,2.6,1.5,2023-02-10,1357,Aqua,MODIS,66,61.03,281.5,37.3,D,0
43.0819,-1.1284,313.4,2.6,1.5,2023-02-10,1357,Aqua,MODIS,74,61.03,282.9,52.1,D,0
44.5046,4.0441,322.3,1,1,2023-02-11,0154,Aqua,MODIS,100,61.03,271.9,27.3,N,0
44.4929,3.8708,307.6,1.2,1.1,2023-02-11,1040,Terra,MODIS,66,61.03,280.4,13.9,D,0
44.0681,3.6247,300.2,1.1,1.1,2023-02-11,1040,Terra,MODIS,32,61.03,279.5,8.8,D,0
43.4491,4.9041,305,1.3,1.1,2023-02-11,1040,Terra,MODIS,52,61.03,285.1,11.8,D,2
42.747,3.0147,301.7,1.1,1.1,2023-02-11,1040,Terra,MODIS,0,61.03,284.4,7.4,D,2
42.5948,2.9036,300,1.1,1.1,2023-02-11,1040,Terra,MODIS,21,61.03,283,6.4,D,2
42.5925,2.9169,303.5,1.1,1.1,2023-02-11,1040,Terra,MODIS,56,61.03,282.7,8.8,D,0
43.1053,-1.1417,301.4,1,1,2023-02-11,1040,Terra,MODIS,45,61.03,285.7,6.4,D,0
43.0827,-0.6094,306.4,1.2,1.1,2023-02-11,1301,Aqua,MODIS,63,61.03,288,12,D,0
43.0756,-1.1109,307,1.3,1.1,2023-02-11,1301,Aqua,MODIS,59,61.03,287.3,12.4,D,0
43.0729,-1.1253,309.2,1.3,1.1,2023-02-11,1301,Aqua,MODIS,68,61.03,286.1,14.9,D,0
44.2469,6.1366,300.9,1.2,1.1,2023-02-11,1301,Aqua,MODIS,42,61.03,281.8,8.1,D,0
44.2453,6.1226,318.1,1.2,1.1,2023-02-11,1301,Aqua,MODIS,78,61.03,286.9,23.4,D,0
44.0671,3.6204,303,1,1,2023-02-11,1301,Aqua,MODIS,55,61.03,281.7,8.4,D,0
44.0227,0.7455,302.5,1.1,1,2023-02-11,1301,Aqua,MODIS,53,61.03,286.6,6.5,D,0
43.0951,-0.6157,309.4,1.8,1.3,2023-02-12,1343,Aqua,MODIS,69,61.03,289.6,22.5,D,0
43.0887,-1.1858,312.4,1.6,1.3,2023-02-12,1343,Aqua,MODIS,72,61.03,289.5,24,D,0
43.1393,-0.7364,304.9,1.7,1.3,2023-02-12,1343,Aqua,MODIS,60,61.03,290.2,14.4,D,0
43.1629,-0.867,311.9,1.7,1.3,2023-02-12,1343,Aqua,MODIS,72,61.03,290.2,24.4,D,0
43.1777,-1.0848,300.9,1.7,1.3,2023-02-12,1343,Aqua,MODIS,43,61.03,288.5,9.3,D,0
51.0425,2.2992,316.8,1.3,1.1,2023-02-13,1022,Terra,MODIS,0,61.03,283.7,22.8,D,2
46.3557,2.4428,301.6,1.1,1,2023-02-13,1023,Terra,MODIS,48,61.03,283.5,7.6,D,0
44.7287,4.4811,300.5,1,1,2023-02-13,1023,Terra,MODIS,39,61.03,283,6,D,0
44.1196,3.6162,314.8,1,1,2023-02-13,1024,Terra,MODIS,75,61.03,283.4,16.1,D,0
42.7824,1.6617,307.1,1.1,1,2023-02-13,1024,Terra,MODIS,65,61.03,287.6,12.4,D,0
43.4408,4.8966,308.8,1,1,2023-02-13,1247,Aqua,MODIS,0,61.03,291.7,8.8,D,2
42.6663,2.5285,310.2,1.3,1.1,2023-02-13,1247,Aqua,MODIS,61,61.03,285.7,15.9,D,0
42.7769,1.6692,322.9,1.4,1.2,2023-02-13,1247,Aqua,MODIS,82,61.03,288,35.3,D,0
42.7742,1.6551,300.3,1.4,1.2,2023-02-13,1247,Aqua,MODIS,30,61.03,288.6,8.9,D,0
44.7959,4.4206,304.7,1,1,2023-02-13,1248,Aqua,MODIS,60,61.03,287.1,8.4,D,0
44.0109,6.0235,302.1,1,1,2023-02-13,1248,Aqua,MODIS,51,61.03,288.8,5.4,D,0
44.0091,6.0113,302.5,1,1,2023-02-13,1248,Aqua,MODIS,52,61.03,289.6,5.6,D,0
43.102,-0.0247,307.8,1.6,1.3,2023-02-13,1248,Aqua,MODIS,66,61.03,290.5,16.9,D,0
43.726,3.2395,310.8,1.1,1.1,2023-02-13,1248,Aqua,MODIS,70,61.03,287,14.4,D,0
43.3285,-1.1935,300.3,1.9,1.3,2023-02-13,1248,Aqua,MODIS,32,61.03,288.9,8.8,D,0
51.0283,2.2901,300.9,1,1,2023-02-13,1250,Aqua,MODIS,24,61.03,287.5,4.9,D,2
51.0261,2.2761,305.1,1,1,2023-02-13,1250,Aqua,MODIS,60,61.03,288.2,7.6,D,2
51.0448,2.3028,305.1,1.1,1,2023-02-13,2132,Terra,MODIS,63,61.03,278.9,11.6,N,2
44.5014,0.4769,305.3,1.6,1.2,2023-02-14,1105,Terra,MODIS,61,61.03,285.2,15.5,D,0
43.0355,0.0189,300.8,1.6,1.2,2023-02-14,1105,Terra,MODIS,42,61.03,283.4,11.5,D,0
42.9178,1.1439,302.7,1.4,1.2,2023-02-14,1330,Aqua,MODIS,52,61.03,292.1,9.9,D,0
44.8113,4.4451,318.5,1.3,1.1,2023-02-15,1007,Terra,MODIS,79,61.03,285.4,26.1,D,0
44.8097,4.4601,303.2,1.3,1.1,2023-02-15,1007,Terra,MODIS,55,61.03,284,10.1,D,0
42.5136,9.4556,321.9,1,1,2023-02-15,1008,Terra,MODIS,74,61.03,287.7,21.7,D,0
43.1888,-1.3056,303.5,2.9,1.6,2023-02-15,1234,Aqua,MODIS,56,61.03,288.9,27.5,D,0
