latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.1137,-52.6984,337.3,1.2,1.1,2023-02-03,1702,Aqua,MODIS,88,61.03,292.5,44.1,D,0
5.1121,-52.7089,340.7,1.2,1.1,2023-02-03,1702,Aqua,MODIS,90,61.03,293.2,51.3,D,0
5.1218,-52.7104,310.9,1.2,1.1,2023-02-03,1702,Aqua,MODIS,44,61.03,292.4,7.5,D,0
4.7068,-52.9536,308.8,1.3,1.1,2023-03-09,1355,Terra,MODIS,19,61.03,289.1,5.9,D,0
5.5865,-53.6568,329.7,1,1,2023-03-10,1712,Aqua,MODIS,84,61.03,294.1,25.2,D,0
5.5852,-53.6661,321.3,1,1,2023-03-10,1712,Aqua,MODIS,76,61.03,295.7,15.2,D,0
5.5501,-53.8483,315.1,1,1,2023-03-17,1713,Aqua,MODIS,63,61.03,298.7,7.4,D,0
4.8499,-53.6936,308.5,1.2,1.1,2023-03-21,1356,Terra,MODIS,50,61.03,293.8,6.1,D,0
5.5886,-53.6608,303.2,1.1,1,2023-03-26,0147,Terra,MODIS,25,61.03,291.2,4.9,N,0
5.5703,-53.8508,321.8,1.6,1.2,2023-03-26,1700,Aqua,MODIS,78,61.03,296.1,23,D,0
5.5681,-53.8647,325.4,1.6,1.2,2023-03-26,1700,Aqua,MODIS,81,61.03,293.4,31.2,D,0
5.5665,-53.8576,332.8,1.6,1.2,2023-03-26,1700,Aqua,MODIS,87,61.03,295.2,49.5,D,0
5.5995,-53.8766,307.6,1.7,1.3,2023-04-07,1405,Terra,MODIS,47,61.03,290,9.4,D,0
5.324,-52.9102,313.1,1,1,2023-04-07,1716,Aqua,MODIS,45,61.03,297.4,5.3,D,0
5.1652,-52.6408,314,1.2,1.1,2023-06-20,1348,Terra,MODIS,0,61.03,297.3,8.3,D,2
5.376,-52.9784,314,1.2,1.1,2023-07-21,1710,Aqua,MODIS,68,61.03,296.3,7.7,D,0
5.3744,-52.9888,317.5,1.2,1.1,2023-07-21,1710,Aqua,MODIS,73,61.03,296.9,11.6,D,0
5.4752,-53.2722,313.6,1.4,1.2,2023-07-31,1736,Aqua,MODIS,62,61.03,296.6,9.1,D,0
5.4478,-54.0009,315.8,1,1,2023-08-09,1720,Aqua,MODIS,66,61.03,298.3,8.4,D,0
5.1133,-52.6398,314.9,2.5,1.5,2023-08-12,1747,Aqua,MODIS,53,61.03,296.2,27.5,D,0
4.4881,-52.5158,304.8,1.2,1.1,2023-08-14,0119,Terra,MODIS,62,61.03,291.8,6.2,N,0
5.1666,-52.6473,313.2,1.5,1.2,2023-08-18,1704,Aqua,MODIS,0,61.03,296.5,11.7,D,2
5.3437,-52.9746,312,1.1,1,2023-08-19,1344,Terra,MODIS,56,61.03,298.5,6.1,D,0
4.4488,-52.114,324.5,1,1,2023-08-23,1716,Aqua,MODIS,79,61.03,297.9,16.2,D,0
4.4475,-52.1229,322.6,1,1,2023-08-23,1716,Aqua,MODIS,77,61.03,298.4,14.3,D,0
5.4922,-53.5571,314,1.1,1,2023-08-23,1717,Aqua,MODIS,63,61.03,295.9,7.9,D,0
5.6198,-53.6867,320.2,1.1,1,2023-08-23,1717,Aqua,MODIS,75,61.03,300.3,11.5,D,0
5.6235,-53.8583,311.3,1.2,1.1,2023-08-24,1352,Terra,MODIS,53,61.03,295.2,6,D,0
5.6219,-53.8476,310.4,1.2,1.1,2023-08-24,1352,Terra,MODIS,44,61.03,294.6,5.2,D,0
5.1606,-52.6456,314.3,1.5,1.2,2023-08-24,1352,Terra,MODIS,0,61.03,297.2,12.2,D,2
5.1904,-52.6859,312.2,4.1,1.9,2023-08-24,1758,Aqua,MODIS,0,61.03,288.7,42,D,0
5.1856,-52.7217,310.5,4,1.9,2023-08-24,1758,Aqua,MODIS,46,61.03,288.7,34.1,D,0
5.1944,-52.6911,313.3,4.1,1.9,2023-08-24,1758,Aqua,MODIS,0,61.03,288.6,41.5,D,0
5.3905,-53.0898,317.7,1.7,1.3,2023-08-25,1702,Aqua,MODIS,56,61.03,299.3,17,D,0
5.5808,-53.6638,313.7,1.9,1.3,2023-08-25,1702,Aqua,MODIS,59,61.03,297.7,15.3,D,0
5.3946,-53.0568,319,1,1,2023-08-26,1335,Terra,MODIS,57,61.03,305,8.9,D,0
3.3791,-53.9328,317.7,1.3,1.1,2023-08-30,1714,Aqua,MODIS,71,61.03,299.8,12.9,D,0
5.2751,-52.8529,319.2,1.8,1.3,2023-09-01,1700,Aqua,MODIS,70,61.03,295.9,24.2,D,0
5.2711,-52.8591,318.1,1.8,1.3,2023-09-01,1700,Aqua,MODIS,40,61.03,295.2,21.1,D,0
5.05,-52.511,315.1,1.1,1.1,2023-09-02,1327,Terra,MODIS,46,61.03,299.6,6.3,D,0
5.406,-53.1124,317,1.7,1.3,2023-09-02,1742,Aqua,MODIS,43,61.03,301.5,14.9,D,0
5.4197,-53.0984,333.1,1.8,1.3,2023-09-02,1742,Aqua,MODIS,84,61.03,302,54.1,D,0
