latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-17.5413,-149.5574,311.6,2.8,1.6,2023-01-06,2320,Aqua,MODIS,0,61.03,294.5,29.2,D,0
-10.5455,-138.651,314.8,1,1,2023-02-14,2308,Aqua,MODIS,27,61.03,301.9,7.5,D,3
-10.5353,-138.6394,310.5,1,1,2023-02-14,2308,Aqua,MODIS,0,61.03,298.3,5.3,D,3
-10.4368,-138.6446,314.6,1.8,1.3,2023-03-09,1856,Terra,MODIS,0,61.03,301.8,19.9,D,3
-9.7603,-139.1007,312.5,4.3,1.9,2023-03-11,1840,Terra,MODIS,0,61.03,294.3,43.5,D,0
-9.7563,-139.1011,314.7,3.3,1.7,2023-03-13,2233,Aqua,MODIS,27,61.03,301.8,48.9,D,0
-10.5394,-138.6429,314.3,1.3,1.1,2023-03-14,1905,Terra,MODIS,27,61.03,299.3,10.7,D,3
-9.7628,-139.1177,311.7,3.7,1.8,2023-03-24,2345,Aqua,MODIS,0,61.03,295.2,44.6,D,0
-10.4322,-138.6523,312.2,1,1,2023-03-31,1914,Terra,MODIS,0,61.03,300.9,6,D,3
-8.8052,-140.2213,310.4,3.2,1.7,2023-05-07,1956,Terra,MODIS,0,61.03,292.4,31.2,D,0
-8.8025,-140.1996,312.8,3.2,1.7,2023-05-19,2347,Aqua,MODIS,0,61.03,296.6,40.1,D,0
-10.4374,-138.6438,314.2,1,1,2023-09-15,1907,Terra,MODIS,0,61.03,301.6,7.9,D,3
-8.8003,-140.2044,312.2,4,1.9,2023-09-21,1955,Terra,MODIS,0,61.03,298.5,60,D,0
-10.5451,-138.6506,312.2,2,1.4,2023-11-18,2341,Aqua,MODIS,40,61.03,296.9,20.9,D,3
-8.8101,-140.227,313.4,3.9,1.8,2023-11-19,2245,Aqua,MODIS,0,61.03,299.1,62.2,D,0
-10.547,-138.6589,314.8,1.1,1.1,2023-11-20,2326,Aqua,MODIS,36,61.03,301.2,10.1,D,3
-10.541,-138.6483,313.8,1.7,1.3,2023-11-21,1847,Terra,MODIS,29,61.03,299.8,17.3,D,3
-10.5442,-138.6554,312.8,1.4,1.2,2023-12-08,1851,Terra,MODIS,36,61.03,298.6,11.8,D,3
-9.7618,-139.1176,311,3,1.6,2023-12-27,2249,Aqua,MODIS,0,61.03,295.9,39.2,D,0
-10.542,-138.6465,316.4,1.2,1.1,2023-12-28,2330,Aqua,MODIS,28,61.03,301.1,12.2,D,3
-10.5436,-138.6573,316.8,1.2,1.1,2023-12-28,2330,Aqua,MODIS,21,61.03,301.7,12.6,D,3
-10.4405,-138.6463,312.7,1.2,1.1,2023-12-28,2330,Aqua,MODIS,0,61.03,300.2,8.8,D,3
