latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.8648,12.6561,311.7,1.2,1.1,2023-01-10,1305,Aqua,MODIS,0,61.03,293.2,7.5,D,0
-0.8578,10.1494,313.9,1,1,2023-01-10,1305,Aqua,MODIS,65,61.03,297.3,6.6,D,0
-0.8591,10.1404,317.6,1,1,2023-01-10,1305,Aqua,MODIS,67,61.03,297.5,9.7,D,0
0.5286,11.463,310.2,1.1,1.1,2023-01-10,1305,Aqua,MODIS,60,61.03,293.4,6.4,D,0
-1.5301,9.9532,310.7,1,1,2023-01-10,1305,Aqua,MODIS,59,61.03,293.8,5.2,D,0
-1.957,9.874,320.6,1,1,2023-01-10,1305,Aqua,MODIS,75,61.03,293.5,12.8,D,0
-1.5232,9.9628,307.9,1.4,1.2,2023-01-11,0916,Terra,MODIS,53,61.03,285.7,7.4,D,0
-1.5214,9.9506,313.8,1.4,1.2,2023-01-11,0916,Terra,MODIS,68,61.03,286.4,14.3,D,0
-1.592,9.9758,309.2,1.2,1.1,2023-01-14,0941,Terra,MODIS,61,61.03,293.5,6.2,D,0
-1.9626,9.8687,309.2,2.4,1.5,2023-01-14,1238,Aqua,MODIS,61,61.03,289.9,19.1,D,0
-1.9664,9.8626,306.5,2.4,1.5,2023-01-14,1238,Aqua,MODIS,53,61.03,289.3,11.8,D,0
-0.6289,14.3696,316.6,1.1,1.1,2023-01-14,1238,Aqua,MODIS,69,61.03,297,8.4,D,0
-1.7999,9.8943,307.6,1,1,2023-01-16,0925,Terra,MODIS,49,61.03,286,4.1,D,0
-1.9543,9.8757,314.8,1,1,2023-01-16,0925,Terra,MODIS,69,61.03,287.6,9.2,D,0
-1.9634,9.8773,312.6,1,1,2023-01-16,0925,Terra,MODIS,66,61.03,286.7,7.9,D,0
-2.0866,11.1889,318.4,1.1,1,2023-01-17,1307,Aqua,MODIS,73,61.03,294.1,11.1,D,0
-2.0881,11.1791,313.1,1.1,1,2023-01-17,1307,Aqua,MODIS,64,61.03,294.2,5.8,D,0
-1.9644,9.8743,326.5,1,1,2023-01-17,1307,Aqua,MODIS,81,61.03,284.9,21.7,D,0
-1.9576,9.8774,304,1.8,1.3,2023-01-18,0909,Terra,MODIS,40,61.03,277.5,11.8,D,0
0.2232,11.9271,301.9,1.1,1,2023-01-18,2129,Terra,MODIS,45,61.03,282.5,5.4,N,0
0.8761,11.5897,301.3,1.1,1,2023-01-18,2130,Terra,MODIS,40,61.03,286.1,4.6,N,0
