latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
42.1461,41.8104,322.1,1.3,1.1,2023-01-01,1009,Aqua,MODIS,81,61.03,284.9,30.1,D,0
41.7084,45.429,308.7,1,1,2023-01-01,1009,Aqua,MODIS,67,61.03,284.3,10.4,D,0
42.1488,41.8252,353.4,1.3,1.1,2023-01-01,1009,Aqua,MODIS,97,61.03,286.1,101.4,D,0
42.1515,41.84,319.5,1.3,1.1,2023-01-01,1009,Aqua,MODIS,79,61.03,282.9,26.4,D,0
42.3664,44.8798,301,1.3,1.1,2023-01-03,2333,Aqua,MODIS,36,61.03,274,13.9,N,0
42.2462,44.2203,312,1.2,1.1,2023-01-04,0732,Terra,MODIS,72,61.03,282.7,17.5,D,0
42.3697,44.8782,311.5,1.1,1,2023-01-04,0732,Terra,MODIS,67,61.03,282.5,15.8,D,0
42.3681,44.8911,309.1,1.1,1,2023-01-04,0732,Terra,MODIS,64,61.03,283.4,14.2,D,0
42.2403,44.2219,302.6,1.5,1.2,2023-01-04,1039,Aqua,MODIS,53,61.03,284.8,12.9,D,0
42.368,44.8738,308.3,1.6,1.3,2023-01-04,1039,Aqua,MODIS,67,61.03,284.1,21.8,D,0
42.3691,44.8855,303,1.7,1.3,2023-01-04,1039,Aqua,MODIS,45,61.03,282.1,14.2,D,0
42.3676,44.8678,301.2,1.6,1.3,2023-01-04,1039,Aqua,MODIS,28,61.03,284.5,11.7,D,0
42.474,44.5428,311.8,1.6,1.2,2023-01-04,1039,Aqua,MODIS,72,61.03,284,24,D,0
42.294,41.6813,319.6,1.1,1,2023-01-10,2336,Aqua,MODIS,99,61.03,275.6,25.1,N,0
42.2918,41.6941,313.2,1.1,1,2023-01-10,2336,Aqua,MODIS,87,61.03,275.7,18.9,N,0
42.2639,41.6716,311.7,1,1,2023-01-14,0750,Terra,MODIS,66,61.03,280,13.3,D,0
42.255,41.6694,333.4,1,1,2023-01-14,0750,Terra,MODIS,88,61.03,281.2,36.2,D,0
42.2246,41.6736,301.8,1.1,1.1,2023-01-15,1015,Aqua,MODIS,0,61.03,282.2,8,D,0
42.6052,44.3764,317.2,2.9,1.6,2023-01-16,1058,Aqua,MODIS,0,61.03,282.7,92,D,0
42.6071,44.3679,309,2.9,1.6,2023-01-16,1058,Aqua,MODIS,51,61.03,281.5,62.2,D,0
42.5158,41.6855,302.1,2,1.4,2023-01-16,1058,Aqua,MODIS,51,61.03,287.1,16.3,D,0
42.5168,41.6803,303.3,2,1.4,2023-01-16,1058,Aqua,MODIS,56,61.03,287.1,18.1,D,0
43.2421,40.4516,301.5,1.2,1.1,2023-01-17,0815,Terra,MODIS,47,61.03,287.1,8.5,D,0
43.2174,40.3082,301.4,1.2,1.1,2023-01-17,0815,Terra,MODIS,46,61.03,284.9,7.6,D,0
42.5516,42.2652,311.1,1.5,1.2,2023-01-17,0815,Terra,MODIS,71,61.03,284.3,23.1,D,0
42.5544,41.7536,322.3,1.5,1.2,2023-01-17,1002,Aqua,MODIS,82,61.03,289.5,38.8,D,0
42.5507,41.7354,330.2,1.5,1.2,2023-01-17,1002,Aqua,MODIS,87,61.03,290.3,56.1,D,0
42.2294,41.7098,342.5,1.1,1.1,2023-01-17,2339,Aqua,MODIS,100,61.03,277.2,62.1,N,0
42.227,41.7233,336.3,1.1,1.1,2023-01-17,2339,Aqua,MODIS,100,61.03,279.1,49.9,N,0
42.2247,41.7367,321.3,1.1,1.1,2023-01-17,2339,Aqua,MODIS,100,61.03,277.5,27.4,N,0
42.2409,41.7058,323.2,2.3,1.5,2023-01-18,0718,Terra,MODIS,82,61.03,282.5,77.3,D,0
42.2427,41.678,314.2,2.3,1.5,2023-01-18,0718,Terra,MODIS,27,61.03,281.6,44.3,D,0
42.239,41.7335,319.7,2.3,1.5,2023-01-18,0718,Terra,MODIS,79,61.03,282.9,63.3,D,0
42.9199,41.5562,306.6,1.3,1.1,2023-01-18,1045,Aqua,MODIS,64,61.03,290,12.3,D,0
42.8889,41.1605,300.7,1.3,1.1,2023-01-18,1045,Aqua,MODIS,40,61.03,288,6.6,D,0
42.2385,41.7222,321.7,1.3,1.1,2023-01-18,1045,Aqua,MODIS,76,61.03,282.5,29,D,0
42.23,41.7401,324.7,1.3,1.1,2023-01-18,1045,Aqua,MODIS,71,61.03,282.2,33.3,D,0
42.2369,41.7062,324.3,1.3,1.1,2023-01-18,1045,Aqua,MODIS,82,61.03,283.9,33,D,0
42.2385,41.7341,309.7,1.9,1.4,2023-01-18,1824,Terra,MODIS,67,61.03,271.3,37.6,N,0
42.2458,41.7365,309.2,1.9,1.4,2023-01-18,1824,Terra,MODIS,65,61.03,271.7,36.3,N,0
43.2421,40.59,301.6,1,1,2023-01-19,0759,Terra,MODIS,48,61.03,287.8,5.2,D,0
41.5709,41.6641,301.7,2.5,1.5,2023-01-19,0949,Aqua,MODIS,48,61.03,287.3,21.7,D,2
42.8786,41.4379,302,3.1,1.7,2023-01-20,0840,Terra,MODIS,50,61.03,289.4,26.5,D,0
42.8789,41.4314,301.2,3.1,1.7,2023-01-20,0840,Terra,MODIS,46,61.03,289.4,23.1,D,0
42.5269,41.6954,327.7,1,1,2023-01-20,1031,Aqua,MODIS,85,61.03,292.8,24.4,D,0
42.3595,42.2423,305,1,1,2023-01-20,1031,Aqua,MODIS,57,61.03,290.3,6.9,D,0
