latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.3097,-91.4259,324.1,1.4,1.2,2023-01-01,1954,Aqua,MODIS,77,61.03,296.4,21.4,D,0
14.1788,-90.7967,316.3,1.5,1.2,2023-01-01,1954,Aqua,MODIS,58,61.03,296.2,10.6,D,0
13.9981,-91.2436,317.1,1.4,1.2,2023-01-01,1954,Aqua,MODIS,53,61.03,299.3,10.3,D,0
14.3113,-91.4135,314.8,1.4,1.2,2023-01-01,1954,Aqua,MODIS,22,61.03,294.8,7.2,D,0
13.9456,-90.8479,318.4,1.5,1.2,2023-01-01,1954,Aqua,MODIS,67,61.03,300.1,13.1,D,0
14.0744,-91.4365,319.7,1.3,1.1,2023-01-01,1954,Aqua,MODIS,48,61.03,300.9,14.5,D,0
14.7439,-91.5696,300.4,1.2,1.1,2023-01-02,0808,Aqua,MODIS,24,61.03,283.7,8.3,N,1
17.4033,-90.7945,308.4,1.5,1.2,2023-01-02,1608,Terra,MODIS,54,61.03,296.2,7,D,0
14.2813,-90.9231,315.7,1.4,1.2,2023-01-02,1609,Terra,MODIS,68,61.03,298.4,8.9,D,0
14.0713,-91.4384,319.1,1.5,1.2,2023-01-02,1609,Terra,MODIS,39,61.03,298.8,16.8,D,0
14.0105,-91.0234,317.1,1.4,1.2,2023-01-02,1609,Terra,MODIS,47,61.03,301.4,11.6,D,0
14.1701,-90.7577,329.3,1,1,2023-01-03,1941,Aqua,MODIS,82,61.03,300.8,20.4,D,0
13.9983,-90.5377,325,1,1,2023-01-03,1941,Aqua,MODIS,67,61.03,300.7,16.2,D,0
13.997,-90.5471,318.5,1,1,2023-01-03,1941,Aqua,MODIS,52,61.03,300.2,9.2,D,0
14.1125,-90.7044,322,1,1,2023-01-03,1941,Aqua,MODIS,70,61.03,295.5,12.9,D,0
14.2248,-91.0844,316.8,1,1,2023-01-03,1941,Aqua,MODIS,56,61.03,301.2,6.6,D,0
