latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.8773,-13.8152,318.2,2.2,1.4,2023-01-01,1457,Aqua,MODIS,62,61.03,303.1,20,D,0
11.7974,-14.4634,318,2,1.4,2023-01-01,1457,Aqua,MODIS,56,61.03,282.2,31.2,D,0
11.9372,-14.1671,315,2.1,1.4,2023-01-01,1457,Aqua,MODIS,37,61.03,288.1,20.9,D,0
11.7352,-14.0121,320.5,2.1,1.4,2023-01-01,1457,Aqua,MODIS,54,61.03,302.7,16.6,D,0
11.9965,-13.9048,319.5,2.2,1.4,2023-01-01,1457,Aqua,MODIS,66,61.03,304.1,21.6,D,0
11.938,-14.1615,324.9,1,1,2023-01-02,1113,Terra,MODIS,68,61.03,300.6,15.4,D,0
11.8772,-13.818,314.7,1,1,2023-01-02,1113,Terra,MODIS,52,61.03,300.2,6.1,D,0
11.7756,-14.3882,320.8,1,1,2023-01-02,1113,Terra,MODIS,73,61.03,297.3,14.1,D,0
11.7662,-14.4487,313.8,3,1.6,2023-01-02,1402,Aqua,MODIS,52,61.03,299.6,28.4,D,0
11.7668,-14.4534,315.6,3,1.6,2023-01-02,1402,Aqua,MODIS,60,61.03,299.5,34.9,D,0
12.0217,-14.103,335.2,1.2,1.1,2023-01-03,1444,Aqua,MODIS,85,61.03,306.6,32.7,D,0
12.0595,-14.1255,321.6,1.2,1.1,2023-01-03,1444,Aqua,MODIS,57,61.03,308,11.2,D,0
12.1136,-14.2644,316.4,1.2,1.1,2023-01-03,1444,Aqua,MODIS,56,61.03,305.1,7.5,D,0
11.9734,-14.3106,328.2,1.2,1.1,2023-01-03,1444,Aqua,MODIS,79,61.03,309.1,21,D,0
11.4701,-14.7668,317.5,1.1,1.1,2023-01-03,1444,Aqua,MODIS,60,61.03,303,10.6,D,0
11.4653,-14.9888,313.9,1.1,1,2023-01-03,1444,Aqua,MODIS,36,61.03,302.6,7.4,D,0
11.7522,-14.1259,328.8,1.2,1.1,2023-01-03,1444,Aqua,MODIS,79,61.03,310.6,17.4,D,0
11.7553,-14.1218,325.5,1.2,1.1,2023-01-03,1444,Aqua,MODIS,69,61.03,309.5,11.6,D,0
11.8741,-13.8375,326.7,1.3,1.1,2023-01-03,1444,Aqua,MODIS,77,61.03,310.3,21.1,D,0
11.9413,-14.3283,322.8,1.2,1.1,2023-01-03,1444,Aqua,MODIS,71,61.03,309,14.7,D,0
11.9661,-14.365,317.3,1.2,1.1,2023-01-03,1444,Aqua,MODIS,59,61.03,305.2,8.8,D,0
11.9646,-14.3758,320.4,1.2,1.1,2023-01-03,1444,Aqua,MODIS,67,61.03,305.4,13.2,D,0
12.0232,-14.0917,324.7,1.2,1.1,2023-01-03,1444,Aqua,MODIS,60,61.03,307.1,13.2,D,0
11.6077,-14.8041,311.8,1,1,2023-01-05,1431,Aqua,MODIS,35,61.03,296,6.7,D,0
