latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.5131,-59.584,312.1,1.9,1.3,2023-01-02,1717,Aqua,MODIS,58,61.03,282.9,18.2,D,0
3.7336,-59.6212,315.5,1.8,1.3,2023-01-03,1759,Aqua,MODIS,31,61.03,289.7,12.6,D,0
3.9688,-59.5062,316.8,1.8,1.3,2023-01-03,1759,Aqua,MODIS,52,61.03,293.9,14.3,D,0
3.2101,-59.899,324.1,1.1,1,2023-01-05,1746,Aqua,MODIS,78,61.03,292.6,16,D,0
3.6473,-59.6114,359.2,1.2,1.1,2023-01-06,1401,Terra,MODIS,99,61.03,294.4,96.6,D,0
3.6682,-59.6193,334.4,1.2,1.1,2023-01-06,1401,Terra,MODIS,75,61.03,290.6,33.4,D,0
3.6376,-59.6127,322.6,1.2,1.1,2023-01-06,1401,Terra,MODIS,49,61.03,292.5,14.1,D,0
3.6488,-59.622,351.3,1.2,1.1,2023-01-06,1401,Terra,MODIS,96,61.03,292.5,71,D,0
2.7506,-59.512,326.7,1.2,1.1,2023-01-06,1402,Terra,MODIS,81,61.03,295.5,21.3,D,0
2.7558,-59.5151,321.6,1.2,1.1,2023-01-06,1402,Terra,MODIS,54,61.03,294.9,12.6,D,0
2.7396,-59.5031,324.2,1.2,1.1,2023-01-06,1402,Terra,MODIS,78,61.03,293.9,18.2,D,0
3.5006,-59.6855,316.9,1.1,1,2023-01-07,1733,Aqua,MODIS,65,61.03,287.2,7,D,0
2.2099,-59.6985,309,1.1,1.1,2023-01-07,1733,Aqua,MODIS,59,61.03,275.3,8,D,0
2.8133,-59.2241,317.1,1.6,1.3,2023-01-09,1720,Aqua,MODIS,70,61.03,291.8,15.9,D,0
2.7598,-59.5856,312.6,1.8,1.3,2023-01-09,1720,Aqua,MODIS,42,61.03,291.8,13.7,D,0
3.8831,-58.9995,315.6,1.5,1.2,2023-01-09,1720,Aqua,MODIS,70,61.03,293.9,17,D,0
3.881,-59.0131,311.3,1.5,1.2,2023-01-09,1720,Aqua,MODIS,50,61.03,294.3,10.2,D,0
