latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.917,-72.0684,327.2,1,1,2023-01-01,1817,Aqua,MODIS,81,61.03,305,16.5,D,0
18.811,-72.0346,340.6,1,1,2023-01-01,1817,Aqua,MODIS,91,61.03,305.6,37.2,D,0
19.5833,-72.3648,314.8,1,1,2023-01-01,1817,Aqua,MODIS,61,61.03,290.8,11.5,D,0
19.2986,-72.523,315,1,1,2023-01-03,1510,Terra,MODIS,65,61.03,299.5,6.4,D,0
19.2041,-72.1171,314.1,1,1,2023-01-03,1510,Terra,MODIS,68,61.03,300.6,5.1,D,0
18.9839,-72.1152,316.8,1.4,1.2,2023-01-03,1804,Aqua,MODIS,71,61.03,300.5,14.2,D,0
18.9816,-72.1289,323.9,1.4,1.2,2023-01-03,1804,Aqua,MODIS,79,61.03,299.8,25.9,D,0
18.9885,-72.1218,325.5,1.4,1.2,2023-01-03,1804,Aqua,MODIS,81,61.03,300.6,27.7,D,0
19.2174,-72.7529,322.6,2,1.4,2023-01-04,1846,Aqua,MODIS,67,61.03,298.1,37.3,D,0
19.2939,-72.193,318.4,2.2,1.4,2023-01-04,1846,Aqua,MODIS,51,61.03,298,26.9,D,0
19.2815,-72.1989,320.3,2.2,1.4,2023-01-04,1846,Aqua,MODIS,39,61.03,296.9,30.4,D,0
19.2217,-72.7606,316.6,2,1.4,2023-01-04,1846,Aqua,MODIS,15,61.03,297.2,18.8,D,0
19.3331,-72.5468,320.8,2.1,1.4,2023-01-04,1846,Aqua,MODIS,47,61.03,302.4,22.7,D,0
18.8023,-72.3568,310.2,2,1.4,2023-01-06,1536,Terra,MODIS,43,61.03,292.8,12.3,D,0
18.9196,-72.0136,310.7,1,1,2023-01-08,1820,Aqua,MODIS,0,61.03,297.7,4.4,D,0
19.5251,-71.7679,316.6,1.8,1.3,2023-01-12,1448,Terra,MODIS,71,61.03,294.9,21.5,D,0
19.5295,-71.7743,319.6,1.8,1.3,2023-01-12,1448,Terra,MODIS,75,61.03,294.8,27.1,D,0
19.3128,-72.504,306.2,4.3,1.9,2023-01-16,1554,Terra,MODIS,40,61.03,294.3,28.1,D,0
18.9271,-72.0571,304.4,1,1,2023-01-17,0247,Terra,MODIS,60,61.03,289.9,6.8,N,0
18.9258,-72.0665,305.4,1,1,2023-01-17,0247,Terra,MODIS,64,61.03,290.4,7.3,N,0
18.9837,-71.9948,310.1,1.3,1.1,2023-01-17,1457,Terra,MODIS,61,61.03,299.4,7.5,D,0
18.9867,-72.1383,317.1,1.2,1.1,2023-01-17,1810,Aqua,MODIS,71,61.03,304.5,10.8,D,0
19.4915,-72.449,313.7,1.2,1.1,2023-01-17,1810,Aqua,MODIS,61,61.03,300,9,D,0
18.8801,-72.0067,311.3,1.9,1.4,2023-01-19,1757,Aqua,MODIS,61,61.03,300.2,14.2,D,0
19.3529,-72.3014,315.5,2,1.4,2023-01-19,1757,Aqua,MODIS,66,61.03,304.5,15,D,0
19.2497,-72.2442,317.4,1.5,1.2,2023-01-20,1839,Aqua,MODIS,46,61.03,304.9,9.2,D,0
19.2521,-72.2512,322.5,1.5,1.2,2023-01-20,1839,Aqua,MODIS,58,61.03,305.5,16.5,D,0
19.5167,-71.8362,319.1,1.7,1.3,2023-01-20,1839,Aqua,MODIS,68,61.03,301.1,19.7,D,0
18.69,-72.1394,313.8,1,1,2023-01-22,1826,Aqua,MODIS,38,61.03,302.1,3.8,D,0
18.6887,-72.149,323.9,1,1,2023-01-22,1826,Aqua,MODIS,76,61.03,303.8,13.4,D,0
18.9585,-72.1296,322.5,1,1,2023-01-22,1826,Aqua,MODIS,74,61.03,307,10.4,D,0
19.0401,-72.0302,328.6,1.1,1,2023-01-24,1813,Aqua,MODIS,81,61.03,301.6,23.6,D,0
19.0385,-72.0404,320.8,1.1,1,2023-01-24,1813,Aqua,MODIS,73,61.03,300.7,13.7,D,0
18.7572,-71.9278,314.4,1.7,1.3,2023-01-26,1759,Aqua,MODIS,48,61.03,302.2,14.9,D,0
18.7995,-72.0776,325.4,1.8,1.3,2023-01-26,1759,Aqua,MODIS,80,61.03,305.9,32.1,D,0
18.7966,-72.0942,323.3,1.8,1.3,2023-01-26,1759,Aqua,MODIS,77,61.03,305.5,26.6,D,0
18.3857,-73.9159,314.2,1,1,2023-01-27,1516,Terra,MODIS,63,61.03,296.8,8.2,D,0
19.0115,-72.0474,303.2,1.1,1.1,2023-01-28,0653,Aqua,MODIS,54,61.03,290,7.2,N,0
19.332,-72.499,301.5,1,1,2023-01-29,0249,Terra,MODIS,41,61.03,290,4.5,N,0
18.7311,-71.9983,318.6,1.1,1,2023-01-29,1828,Aqua,MODIS,53,61.03,303.2,9.8,D,0
18.8109,-71.8805,313.8,1.1,1.1,2023-01-29,1828,Aqua,MODIS,38,61.03,299.5,5.9,D,0
19.4983,-72.7704,342.4,1,1,2023-01-29,1829,Aqua,MODIS,91,61.03,306,41,D,0
19.4652,-72.391,310,2.5,1.5,2023-01-30,1540,Terra,MODIS,62,61.03,296.2,19.1,D,0
19.0138,-72.0485,304.6,1.3,1.1,2023-01-31,0233,Terra,MODIS,61,61.03,291.3,8.7,N,0
19.014,-72.0418,302.8,1.3,1.1,2023-01-31,0233,Terra,MODIS,52,61.03,291.5,7.1,N,0
18.9889,-72.3216,303.5,1.4,1.2,2023-01-31,0233,Terra,MODIS,55,61.03,292.2,7.9,N,0
19.0241,-72.0356,315.6,2.2,1.4,2023-01-31,1444,Terra,MODIS,70,61.03,299.3,25.9,D,0
19.0242,-72.0421,311.9,2.2,1.4,2023-01-31,1444,Terra,MODIS,61,61.03,299.1,16.3,D,0
18.7443,-72.0979,315.9,1.1,1,2023-01-31,1815,Aqua,MODIS,40,61.03,304.7,5.8,D,0
18.7428,-72.1077,315.3,1.1,1,2023-01-31,1815,Aqua,MODIS,37,61.03,303.8,5.3,D,0
18.9711,-72.1895,321.2,1.1,1,2023-01-31,1815,Aqua,MODIS,67,61.03,307.8,8.2,D,0
18.9695,-72.1996,321.6,1.1,1,2023-01-31,1815,Aqua,MODIS,68,61.03,308,8.1,D,0
18.9877,-72.1413,328.1,1.1,1,2023-01-31,1815,Aqua,MODIS,80,61.03,308.2,17.8,D,0
18.9803,-72.1906,346.7,1.1,1,2023-01-31,1815,Aqua,MODIS,93,61.03,306.9,48.2,D,0
18.9787,-72.2008,345.2,1.1,1,2023-01-31,1815,Aqua,MODIS,92,61.03,307.1,44.6,D,0
18.9711,-72.2973,319.8,1.1,1,2023-01-31,1815,Aqua,MODIS,49,61.03,305.3,8.1,D,0
18.9695,-72.3074,319.9,1.1,1,2023-01-31,1815,Aqua,MODIS,27,61.03,306.2,7.7,D,0
19.108,-72.1336,328.7,1.1,1,2023-01-31,1815,Aqua,MODIS,81,61.03,302.9,20.9,D,0
19.0788,-72.3841,322.4,1.1,1,2023-01-31,1815,Aqua,MODIS,73,61.03,306.6,10.2,D,0
19.0772,-72.3944,327.9,1.1,1,2023-01-31,1815,Aqua,MODIS,80,61.03,309.3,16.6,D,0
19.6014,-72.6472,320.5,1.1,1,2023-01-31,1815,Aqua,MODIS,70,61.03,306.8,8.7,D,0
19.268,-72.2218,314.1,1.3,1.1,2023-02-01,1524,Terra,MODIS,51,61.03,301.3,6.2,D,0
18.962,-72.5497,312.7,1.3,1.1,2023-02-01,1525,Terra,MODIS,53,61.03,299.8,8.6,D,0
18.4791,-74.1623,318.4,1.1,1,2023-02-01,1525,Terra,MODIS,71,61.03,300.8,12.5,D,0
18.4774,-74.1516,316,1.1,1,2023-02-01,1525,Terra,MODIS,68,61.03,301.1,10.7,D,0
18.3346,-71.9677,312.3,1.6,1.2,2023-02-02,1802,Aqua,MODIS,40,61.03,298,14.1,D,0
18.7693,-72.1215,317.4,1.6,1.3,2023-02-02,1802,Aqua,MODIS,69,61.03,303.5,12.8,D,0
18.7804,-72.1238,326.5,1.6,1.3,2023-02-02,1802,Aqua,MODIS,80,61.03,302.6,29.8,D,0
18.7779,-72.1388,326.5,1.6,1.3,2023-02-02,1802,Aqua,MODIS,80,61.03,303,30.5,D,0
18.7687,-72.1265,322.5,1.6,1.3,2023-02-02,1802,Aqua,MODIS,76,61.03,303.5,20.9,D,0
18.7797,-72.1288,332.9,1.6,1.3,2023-02-02,1802,Aqua,MODIS,86,61.03,302.6,45,D,0
18.9385,-72.2132,317.7,1.6,1.3,2023-02-02,1802,Aqua,MODIS,58,61.03,305.5,9.3,D,0
19.1604,-72.4665,316.8,1.7,1.3,2023-02-02,1802,Aqua,MODIS,28,61.03,304.8,10.6,D,0
19.4275,-71.724,318,1.5,1.2,2023-02-02,1802,Aqua,MODIS,67,61.03,302.7,14,D,0
19.5021,-71.8316,313.8,1.5,1.2,2023-02-02,1802,Aqua,MODIS,48,61.03,302.3,8.9,D,0
19.5134,-72.1597,320.2,1.6,1.2,2023-02-02,1802,Aqua,MODIS,56,61.03,299.2,21.3,D,0
19.5138,-72.1647,318.3,1.6,1.2,2023-02-02,1802,Aqua,MODIS,48,61.03,300.7,19.2,D,0
18.3316,-71.9691,307.4,1.2,1.1,2023-02-03,0258,Terra,MODIS,71,61.03,285.5,12.9,N,0
18.9787,-72.1649,303.7,1.2,1.1,2023-02-03,0258,Terra,MODIS,56,61.03,292.8,6.9,N,0
19.4436,-72.5758,320.8,1,1,2023-02-03,1509,Terra,MODIS,74,61.03,303.8,10,D,0
19.4423,-72.5663,320.5,1,1,2023-02-03,1509,Terra,MODIS,73,61.03,301.5,9.6,D,0
18.9797,-72.1631,330.8,1,1,2023-02-03,1509,Terra,MODIS,83,61.03,303.1,21.6,D,0
18.9612,-72.1319,304.2,1.2,1.1,2023-02-04,0655,Aqua,MODIS,59,61.03,291.1,8.1,N,0
18.8227,-72.1487,338.9,1,1,2023-02-07,1818,Aqua,MODIS,89,61.03,303.1,30.5,D,0
18.9339,-72.2682,325.8,1,1,2023-02-07,1818,Aqua,MODIS,72,61.03,307.3,12.7,D,0
19.2684,-72.0035,310.2,1.7,1.3,2023-02-08,0308,Terra,MODIS,79,61.03,289.8,25.4,N,0
19.3055,-72.4869,310.6,1.6,1.2,2023-02-08,0308,Terra,MODIS,80,61.03,291.7,19.4,N,0
18.9865,-72.1424,318.8,1.1,1,2023-02-08,1518,Terra,MODIS,39,61.03,303.5,10.8,D,0
18.9849,-72.132,317.5,1.1,1,2023-02-08,1518,Terra,MODIS,49,61.03,304.1,10,D,0
18.5815,-72.2387,326.2,1.5,1.2,2023-02-09,1804,Aqua,MODIS,79,61.03,308.5,22.9,D,2
18.5791,-72.2529,325.6,1.5,1.2,2023-02-09,1804,Aqua,MODIS,78,61.03,307.8,22.3,D,2
18.584,-72.2461,329.9,1.5,1.2,2023-02-09,1804,Aqua,MODIS,82,61.03,308.4,29.6,D,2
18.6655,-72.1596,330.8,1.5,1.2,2023-02-09,1804,Aqua,MODIS,72,61.03,308.1,33.9,D,0
18.6631,-72.1736,324.7,1.5,1.2,2023-02-09,1804,Aqua,MODIS,69,61.03,310.1,19.5,D,0
18.7555,-71.9117,318.4,1.4,1.2,2023-02-09,1804,Aqua,MODIS,55,61.03,304.8,15.7,D,0
18.9176,-72.1099,319.8,1.5,1.2,2023-02-09,1804,Aqua,MODIS,72,61.03,306.9,12,D,0
18.9046,-72.2511,322,1.5,1.2,2023-02-09,1804,Aqua,MODIS,68,61.03,305.8,17,D,0
19.3219,-71.9715,319.4,1.4,1.2,2023-02-09,1804,Aqua,MODIS,51,61.03,305.7,10.6,D,0
19.2355,-72.7442,321,1.6,1.2,2023-02-09,1804,Aqua,MODIS,59,61.03,302.1,21.9,D,0
18.3288,-72.0397,301.3,1,1,2023-02-10,0251,Terra,MODIS,40,61.03,284.1,7.6,N,0
