latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-53.1019,73.5081,326,1,1,2023-01-06,1754,Terra,MODIS,100,61.03,267.2,31.6,N,1
-53.1041,73.4917,306.6,1,1,2023-01-06,1754,Terra,MODIS,47,61.03,266.8,14,N,1
-53.0959,73.5033,315.2,1.5,1.2,2023-01-14,1829,Terra,MODIS,87,61.03,265.3,35.1,N,1
-53.0938,73.5069,321.1,1.1,1,2023-01-14,2018,Aqua,MODIS,100,61.03,265.7,29.1,N,1
-53.0996,73.5009,319.1,1,1,2023-01-23,1806,Terra,MODIS,97,61.03,266.1,23.7,N,1
-53.1029,73.5075,332.8,1.1,1.1,2023-03-12,1814,Terra,MODIS,100,61.03,269.3,47,N,1
-53.1053,73.4935,317.7,1.1,1.1,2023-03-12,1814,Terra,MODIS,94,61.03,270.2,26,N,1
-53.1008,73.5008,331,1.1,1.1,2023-03-12,1814,Terra,MODIS,100,61.03,270.2,43.9,N,1
-53.1004,73.5148,315.3,1.4,1.2,2023-03-12,1940,Aqua,MODIS,88,61.03,268.3,33.5,N,1
-53.1066,73.5122,308.9,1,1,2023-03-21,1750,Terra,MODIS,63,61.03,267.2,15.4,N,1
-53.1087,73.4952,329.1,1,1,2023-03-21,1750,Terra,MODIS,100,61.03,270.2,35.6,N,1
-53.1015,73.5003,315.9,1.7,1.3,2023-03-22,1831,Terra,MODIS,89,61.03,274.9,41.2,N,1
-53.1004,73.5047,323.1,1,1,2023-03-22,2009,Aqua,MODIS,100,61.03,276.7,26.5,N,1
-53.1034,73.4915,305.1,1.3,1.1,2023-04-16,1735,Terra,MODIS,15,61.03,268.8,18.1,N,1
