latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.4414,-84.3732,310.5,1.3,1.1,2023-01-02,1859,Aqua,MODIS,65,61.03,298.5,5.8,D,0
13.3251,-87.1834,322.3,2.2,1.4,2023-01-02,1859,Aqua,MODIS,78,61.03,302.7,25,D,0
13.3218,-87.2029,323,2.2,1.4,2023-01-02,1859,Aqua,MODIS,79,61.03,303,27.7,D,0
13.2161,-87.2923,319.4,1.5,1.2,2023-01-03,1941,Aqua,MODIS,28,61.03,303.6,12.3,D,0
14.4497,-87.4164,320.8,1.5,1.2,2023-01-03,1941,Aqua,MODIS,76,61.03,295.3,29.7,D,0
13.4998,-87.5089,318,1.3,1.1,2023-01-04,0340,Terra,MODIS,96,61.03,294.5,22,N,0
13.498,-87.5208,335.9,1.3,1.1,2023-01-04,0340,Terra,MODIS,100,61.03,295.3,53.9,N,0
13.2669,-87.3422,316.7,1.4,1.2,2023-01-04,1553,Terra,MODIS,50,61.03,297.8,10.5,D,0
15.0333,-84.2304,319.7,1.5,1.2,2023-01-05,1928,Aqua,MODIS,72,61.03,298.4,18.9,D,0
15.0351,-84.2165,316.4,1.5,1.2,2023-01-05,1928,Aqua,MODIS,39,61.03,299,13.6,D,0
15.3725,-84.1513,322.3,1.5,1.2,2023-01-05,1928,Aqua,MODIS,50,61.03,297.2,24.8,D,0
15.3751,-84.1584,323.8,1.5,1.2,2023-01-05,1928,Aqua,MODIS,75,61.03,297.2,28.8,D,0
15.3209,-86.3308,307.2,1.1,1.1,2023-01-05,1928,Aqua,MODIS,51,61.03,295.9,5.4,D,0
15.0585,-84.2055,322.8,1.5,1.2,2023-01-05,1928,Aqua,MODIS,74,61.03,299.1,24.6,D,0
14.8914,-86.9226,316.9,1.1,1,2023-01-05,1928,Aqua,MODIS,72,61.03,300.3,11.7,D,0
13.2658,-87.2676,319.9,1.2,1.1,2023-01-07,1619,Terra,MODIS,57,61.03,301.6,11,D,0
15.2387,-87.8871,332.6,1.4,1.2,2023-01-12,1627,Terra,MODIS,87,61.03,295.1,47.8,D,0
15.1667,-87.9455,311,1.4,1.2,2023-01-12,1627,Terra,MODIS,67,61.03,295.2,9.3,D,0
15.6099,-87.9576,311.7,1.4,1.2,2023-01-12,1627,Terra,MODIS,29,61.03,296.5,8.5,D,2
15.2409,-87.9001,310.6,1.4,1.2,2023-01-12,1627,Terra,MODIS,66,61.03,295,8.5,D,0
15.3715,-87.8711,314.2,1.4,1.2,2023-01-12,1627,Terra,MODIS,54,61.03,295.1,13.8,D,0
15.3736,-87.8841,312,1.4,1.2,2023-01-12,1627,Terra,MODIS,65,61.03,295,11.5,D,0
15.0403,-83.9486,309.4,1.8,1.3,2023-01-12,1931,Aqua,MODIS,30,61.03,292.9,12.8,D,0
15.175,-83.9688,305.7,1.8,1.3,2023-01-14,0359,Terra,MODIS,65,61.03,291.1,14.2,N,0
15.1731,-83.9851,322.2,1.8,1.3,2023-01-14,0359,Terra,MODIS,100,61.03,291.4,45,N,0
13.5092,-87.5708,328.4,1.1,1,2023-01-14,1918,Aqua,MODIS,64,61.03,305.1,17.3,D,0
13.5076,-87.5808,323,1.1,1,2023-01-14,1918,Aqua,MODIS,15,61.03,304.8,10.3,D,0
13.517,-87.5824,321.7,1.1,1,2023-01-14,1918,Aqua,MODIS,47,61.03,304.1,8.9,D,0
13.9306,-87.3541,308.2,1.1,1,2023-01-14,1918,Aqua,MODIS,33,61.03,294.2,6.6,D,0
13.3987,-87.3364,326.9,1.1,1,2023-01-14,1918,Aqua,MODIS,80,61.03,305,15.3,D,0
13.4002,-87.3266,319.3,1.1,1,2023-01-14,1918,Aqua,MODIS,65,61.03,304.4,6.4,D,0
13.2618,-87.2719,323.6,1.1,1,2023-01-14,1918,Aqua,MODIS,65,61.03,307.3,10.5,D,0
13.3582,-87.1497,304,1.1,1.1,2023-01-15,0732,Aqua,MODIS,58,61.03,292.3,6.3,N,0
13.4404,-87.5425,314.8,1.2,1.1,2023-01-16,0343,Terra,MODIS,90,61.03,294.3,16,N,0
13.3221,-87.2844,316.3,1.2,1.1,2023-01-16,1556,Terra,MODIS,43,61.03,302.4,7.1,D,0
15.0026,-84.1497,316,1.1,1,2023-01-16,1905,Aqua,MODIS,53,61.03,295.4,11,D,0
15.197,-83.7115,321.9,1,1,2023-01-16,1905,Aqua,MODIS,68,61.03,300.3,14.4,D,0
15.2568,-88.5268,314.9,2,1.4,2023-01-16,1905,Aqua,MODIS,72,61.03,299.9,21.7,D,0
15.2571,-88.5138,307.5,1.9,1.4,2023-01-17,1637,Terra,MODIS,61,61.03,296.1,11.2,D,0
15.1934,-84.2396,317.1,1.5,1.2,2023-01-18,1540,Terra,MODIS,73,61.03,296,16.4,D,0
15.1412,-83.7677,319.6,1.6,1.2,2023-01-18,1852,Aqua,MODIS,76,61.03,295.8,24,D,0
15.2522,-88.5441,313.1,1.1,1,2023-01-19,1621,Terra,MODIS,39,61.03,298.9,7.1,D,0
15.243,-88.5455,317.9,1.1,1,2023-01-19,1621,Terra,MODIS,74,61.03,299.6,12.1,D,0
13.5188,-87.55,322.4,1.3,1.1,2023-01-19,1621,Terra,MODIS,49,61.03,305.8,12.3,D,0
13.5107,-87.5629,319.9,1.3,1.1,2023-01-19,1621,Terra,MODIS,33,61.03,305.6,9,D,0
13.3563,-87.2355,322,1.3,1.1,2023-01-19,1621,Terra,MODIS,72,61.03,304.7,14.3,D,0
13.3462,-87.237,322.6,1.3,1.1,2023-01-19,1621,Terra,MODIS,74,61.03,304.7,14.3,D,0
14.4231,-87.0755,324.3,1.2,1.1,2023-01-19,1934,Aqua,MODIS,78,61.03,303.7,17.1,D,0
14.9429,-87.3837,318.3,1.2,1.1,2023-01-19,1934,Aqua,MODIS,45,61.03,305.9,7.9,D,0
15.2306,-88.5101,318.7,1.1,1,2023-01-19,1934,Aqua,MODIS,59,61.03,303.8,7.2,D,0
15.3343,-87.8852,318.7,1.1,1.1,2023-01-19,1934,Aqua,MODIS,61,61.03,302.6,10,D,0
13.3561,-87.2484,326.5,1.1,1.1,2023-01-19,1934,Aqua,MODIS,73,61.03,308.4,13.3,D,0
13.3575,-87.238,331.4,1.1,1.1,2023-01-19,1934,Aqua,MODIS,83,61.03,307.8,20.1,D,0
13.4241,-87.4346,324.3,1,1,2023-01-21,1605,Terra,MODIS,66,61.03,305.2,11.1,D,0
13.5154,-87.5586,326,1,1,2023-01-21,1920,Aqua,MODIS,71,61.03,308.3,9,D,0
15.413,-87.0728,314.1,1,1,2023-01-21,1921,Aqua,MODIS,65,61.03,300.8,7.8,D,0
15.5689,-87.9515,314.5,1,1,2023-01-21,1921,Aqua,MODIS,50,61.03,300.7,5.4,D,2
15.7756,-86.7346,311.3,1,1,2023-01-21,1921,Aqua,MODIS,55,61.03,298.8,5.6,D,0
15.8926,-86.0442,313.4,1,1,2023-01-21,1921,Aqua,MODIS,49,61.03,297.2,8.2,D,0
14.1257,-87.2371,330.8,1,1,2023-01-21,1921,Aqua,MODIS,78,61.03,299.9,22.4,D,0
14.4516,-88.6198,311.9,1.1,1.1,2023-01-21,1921,Aqua,MODIS,53,61.03,298.7,6.7,D,0
15.0658,-83.8728,308.1,1,1,2023-01-23,0336,Terra,MODIS,73,61.03,293.7,7,N,0
14.9156,-83.8809,318.1,1,1,2023-01-23,1908,Aqua,MODIS,69,61.03,298.9,8.9,D,0
15.3215,-88.3799,309.5,1.9,1.3,2023-01-24,0418,Terra,MODIS,77,61.03,290,24.4,N,0
15.6081,-87.2955,314.8,1.8,1.3,2023-01-24,1630,Terra,MODIS,72,61.03,294,22.3,D,0
