latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.3164,19.4549,300.4,1,1,2023-01-17,1142,Aqua,MODIS,35,61.03,281.4,7.2,D,0
48.1893,20.2581,306,1.9,1.4,2023-02-10,1219,Aqua,MODIS,62,61.03,276.3,26,D,0
46.9853,19.0851,325.3,1.1,1.1,2023-02-12,1206,Aqua,MODIS,84,61.03,282.3,31.1,D,0
46.9835,19.0702,316.2,1.1,1.1,2023-02-12,1206,Aqua,MODIS,76,61.03,281.4,20.3,D,0
48.0747,21.2353,300.5,1.4,1.2,2023-02-12,1206,Aqua,MODIS,37,61.03,281,10.7,D,0
47.2587,20.7203,306.5,1,1,2023-02-21,0918,Terra,MODIS,64,61.03,285.5,7.9,D,0
47.1818,18.0805,303.2,1.1,1,2023-02-24,0943,Terra,MODIS,55,61.03,287,6.8,D,0
48.2276,20.2444,300.5,2.7,1.6,2023-03-01,1101,Aqua,MODIS,37,61.03,283.9,23.6,D,0
46.9507,20.0825,302.6,1,1,2023-03-02,1143,Aqua,MODIS,45,61.03,290.2,4.2,D,0
46.9612,19.636,302.6,1.1,1,2023-03-02,1143,Aqua,MODIS,53,61.03,288,4.9,D,0
47.0016,19.5931,301.5,1.1,1,2023-03-02,1143,Aqua,MODIS,47,61.03,288.3,4.3,D,0
47.1931,19.7971,300.3,1,1,2023-03-02,1143,Aqua,MODIS,30,61.03,289.4,2.9,D,2
47.1955,19.7538,306.4,1,1,2023-03-02,1143,Aqua,MODIS,63,61.03,290.1,6.7,D,0
47.3634,19.6964,302.7,1,1,2023-03-02,1143,Aqua,MODIS,53,61.03,289.5,4.7,D,0
47.3212,19.4397,300.8,1.1,1,2023-03-02,1143,Aqua,MODIS,30,61.03,289.2,3.3,D,0
47.6209,19.6708,309,1,1,2023-03-02,1143,Aqua,MODIS,68,61.03,292.2,8.2,D,0
47.6898,19.1792,300.8,1.1,1,2023-03-02,1143,Aqua,MODIS,38,61.03,289.2,3.7,D,0
48.0387,19.317,314.8,1,1,2023-03-02,1143,Aqua,MODIS,47,61.03,288.2,13,D,0
48.0477,19.3137,319.4,1,1,2023-03-02,1143,Aqua,MODIS,79,61.03,288.4,17.7,D,0
48.0454,19.3001,316.4,1,1,2023-03-02,1143,Aqua,MODIS,74,61.03,288,14.9,D,0
48.2884,20.3559,323.2,1,1,2023-03-02,1143,Aqua,MODIS,82,61.03,287.7,21.4,D,0
48.2863,20.3427,313.8,1,1,2023-03-02,1143,Aqua,MODIS,74,61.03,287.7,12.5,D,0
48.4376,21.0422,311.8,1,1,2023-03-02,1143,Aqua,MODIS,72,61.03,289.1,10.9,D,0
48.4356,21.029,306.8,1,1,2023-03-02,1143,Aqua,MODIS,64,61.03,291.3,7.3,D,0
48.2483,20.6974,321.3,1.1,1.1,2023-03-03,0936,Terra,MODIS,81,61.03,285.4,23.3,D,2
48.2457,20.7121,322.8,1.1,1.1,2023-03-03,0936,Terra,MODIS,82,61.03,286.1,25,D,2
48.1739,20.9516,300.8,1.1,1.1,2023-03-03,0936,Terra,MODIS,25,61.03,284.7,5.6,D,0
48.1515,20.8261,300.8,1.1,1.1,2023-03-03,0936,Terra,MODIS,32,61.03,285.1,6,D,0
47.7815,20.9323,300.8,1.2,1.1,2023-03-03,0936,Terra,MODIS,37,61.03,286.3,5,D,0
47.7788,20.9472,300.7,1.2,1.1,2023-03-03,0936,Terra,MODIS,27,61.03,286.3,4.9,D,0
47.5951,20.7309,306,1.2,1.1,2023-03-03,0936,Terra,MODIS,59,61.03,285.1,10,D,0
47.607,20.4394,300.8,1.1,1.1,2023-03-03,0936,Terra,MODIS,42,61.03,284.4,5.7,D,0
47.3951,20.7996,302.9,1.2,1.1,2023-03-03,0936,Terra,MODIS,54,61.03,285.3,6.5,D,2
48.1774,22.2443,306.3,1.1,1.1,2023-03-10,0928,Terra,MODIS,63,61.03,286.6,8.4,D,0
47.9958,22.4921,308.5,1,1,2023-03-11,1131,Aqua,MODIS,67,61.03,280.7,12.3,D,0
48.2616,20.3982,301.6,1.2,1.1,2023-03-11,1131,Aqua,MODIS,48,61.03,280.7,9,D,0
48.1784,20.2996,301.9,1.6,1.2,2023-03-12,1213,Aqua,MODIS,50,61.03,284.4,10.8,D,0
48.3067,21.9169,302.9,1.3,1.1,2023-03-14,1159,Aqua,MODIS,54,61.03,285.1,6.3,D,0
46.9334,18.9449,323.7,1.1,1,2023-03-16,1146,Aqua,MODIS,0,61.03,289.5,22.7,D,2
46.8543,16.9501,300.4,1.2,1.1,2023-03-16,1146,Aqua,MODIS,37,61.03,285.6,5.9,D,0
