latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
64.7722,-19.6584,303.6,1.3,1.1,2023-06-17,1307,Terra,MODIS,26,61.03,289.1,3.6,D,0
65.0192,-14.411,301.7,1.1,1.1,2023-07-08,1314,Aqua,MODIS,32,61.03,284.9,3.6,D,0
63.9138,-22.17,358.7,3.2,1.7,2023-07-10,2342,Terra,MODIS,100,61.03,282.3,474.2,N,1
63.9309,-22.2294,305.9,3.2,1.7,2023-07-10,2342,Terra,MODIS,39,61.03,281,57.3,N,1
63.9157,-22.2293,371.9,3.2,1.7,2023-07-10,2342,Terra,MODIS,100,61.03,284.2,681.4,N,1
63.9166,-22.1628,362.7,3.2,1.7,2023-07-10,2342,Terra,MODIS,100,61.03,282,527.6,N,1
63.9283,-22.237,327.7,3.2,1.7,2023-07-10,2342,Terra,MODIS,100,61.03,281.2,164,N,1
63.929,-22.1709,328.1,3.2,1.7,2023-07-10,2342,Terra,MODIS,100,61.03,280.8,167.4,N,1
63.9132,-22.2366,353,3.2,1.7,2023-07-10,2342,Terra,MODIS,100,61.03,283,395.3,N,1
63.926,-22.1967,326.6,3,1.6,2023-07-11,1128,Terra,MODIS,84,61.03,299.8,91.6,D,1
63.9112,-22.1978,425.6,3,1.6,2023-07-11,1128,Terra,MODIS,100,61.03,310.2,2122.5,D,1
63.9216,-22.2238,366.8,1.2,1.1,2023-07-11,1306,Terra,MODIS,100,61.03,304.2,131.4,D,1
63.9171,-22.2013,478.9,1.2,1.1,2023-07-11,1306,Terra,MODIS,100,61.03,337,1521.6,D,1
63.9126,-22.1787,331.5,1.2,1.1,2023-07-11,1306,Terra,MODIS,84,61.03,302.2,31.2,D,1
63.9038,-22.1344,314.5,1.2,1.1,2023-07-11,1306,Terra,MODIS,46,61.03,297.1,8.7,D,1
63.9127,-22.233,377.6,1.2,1.1,2023-07-11,1306,Terra,MODIS,100,61.03,302.3,181.2,D,1
63.9082,-22.2105,500,1.2,1.1,2023-07-11,1306,Terra,MODIS,100,61.03,328.9,2103.6,D,1
63.8948,-22.1435,318.6,1.2,1.1,2023-07-11,1306,Terra,MODIS,70,61.03,298.1,13.5,D,1
63.9231,-22.2018,321.8,1.2,1.1,2023-07-11,1342,Aqua,MODIS,70,61.03,299.4,18.3,D,1
63.9093,-22.2149,495.5,1.2,1.1,2023-07-11,1342,Aqua,MODIS,100,61.03,400.1,2066.5,D,1
63.9141,-22.1921,423.4,1.2,1.1,2023-07-11,1342,Aqua,MODIS,100,61.03,310.4,574.7,D,1
63.9061,-22.217,431.3,2.8,1.6,2023-07-11,1520,Aqua,MODIS,100,61.03,314.8,2180.2,D,1
