latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.2534,47.737,302,1.2,1.1,2023-01-01,0709,Terra,MODIS,49,61.03,283.9,8.6,D,0
30.3611,49.8846,301.8,1,1,2023-01-01,0709,Terra,MODIS,49,61.03,289.3,4.3,D,0
30.1541,50.4245,309,1,1,2023-01-01,0709,Terra,MODIS,68,61.03,291.1,8,D,2
30.9755,49.5227,302.1,1,1,2023-01-01,0709,Terra,MODIS,43,61.03,288.3,3.9,D,2
30.9844,49.5243,304.7,1,1,2023-01-01,0709,Terra,MODIS,60,61.03,290.3,5.5,D,2
30.9858,49.5139,301,1,1,2023-01-01,0709,Terra,MODIS,36,61.03,289.3,3.4,D,2
31.0388,49.3946,315,1,1,2023-01-01,0709,Terra,MODIS,75,61.03,289.6,13.5,D,2
31.1229,49.3192,301.6,1,1,2023-01-01,0709,Terra,MODIS,39,61.03,288.5,3.8,D,2
31.2745,48.7351,305.1,1.1,1,2023-01-01,0709,Terra,MODIS,0,61.03,283.4,6.9,D,2
31.2831,48.882,300.3,1.1,1,2023-01-01,0709,Terra,MODIS,17,61.03,284.5,4.3,D,0
31.3215,49.2807,301.4,1,1,2023-01-01,0709,Terra,MODIS,47,61.03,288.7,4.1,D,2
32.1599,49.0674,306,1.1,1,2023-01-01,0709,Terra,MODIS,63,61.03,288.7,7.5,D,2
32.4908,47.2086,301.7,1.3,1.1,2023-01-01,0709,Terra,MODIS,32,61.03,283.7,6.7,D,2
32.5007,47.21,301.1,1.3,1.1,2023-01-01,0709,Terra,MODIS,31,61.03,285,6.4,D,2
32.2398,51.4314,323.2,1,1,2023-01-01,0709,Terra,MODIS,82,61.03,281.5,23.9,D,2
32.2414,51.421,304.2,1,1,2023-01-01,0709,Terra,MODIS,58,61.03,281.3,8.3,D,2
32.9912,46.1869,306,1.5,1.2,2023-01-01,0709,Terra,MODIS,63,61.03,284.9,13.2,D,2
32.4232,51.3204,309.4,1,1,2023-01-01,0709,Terra,MODIS,69,61.03,281.8,11.3,D,2
30.3924,50.6252,300.7,1,1,2023-01-01,0709,Terra,MODIS,40,61.03,287.8,4,D,2
30.3485,50.2964,303.1,1,1,2023-01-01,0709,Terra,MODIS,55,61.03,288.2,5.2,D,2
30.347,50.3066,302,1,1,2023-01-01,0709,Terra,MODIS,50,61.03,287.8,4.5,D,2
30.3926,49.8651,312.5,1,1,2023-01-01,0709,Terra,MODIS,73,61.03,289.3,11.3,D,2
30.0393,50.6368,304.3,1,1,2023-01-01,0709,Terra,MODIS,59,61.03,291.3,5.1,D,2
30.2601,50.7713,301.9,1,1,2023-01-01,0709,Terra,MODIS,49,61.03,286.6,4.7,D,2
33.7213,46.2879,326,1.5,1.2,2023-01-01,0709,Terra,MODIS,84,61.03,285.4,44.4,D,2
30.8988,49.6732,311.4,1,1,2023-01-01,0709,Terra,MODIS,71,61.03,289.9,10.4,D,2
30.8974,49.6836,306.6,1,1,2023-01-01,0709,Terra,MODIS,64,61.03,289.7,7,D,2
30.7212,49.8187,301.5,1,1,2023-01-01,0709,Terra,MODIS,47,61.03,289.4,4,D,2
30.7198,49.829,301.7,1,1,2023-01-01,0709,Terra,MODIS,48,61.03,289.5,4.1,D,2
30.5648,50.0147,305.1,1,1,2023-01-01,0709,Terra,MODIS,61,61.03,288.4,6.2,D,2
27.5012,52.6353,307.9,1.2,1.1,2023-01-01,0710,Terra,MODIS,49,61.03,293.6,7.3,D,2
27.2843,53.1265,307.9,1.3,1.1,2023-01-01,0710,Terra,MODIS,65,61.03,287.5,12.3,D,0
27.7632,52.1721,314.2,1.1,1.1,2023-01-01,0710,Terra,MODIS,75,61.03,288.6,13.8,D,2
28.8806,54.1294,303.5,1.4,1.2,2023-01-01,1005,Aqua,MODIS,54,61.03,291.6,7.6,D,0
28.8599,52.48,302.7,1.2,1.1,2023-01-01,1005,Aqua,MODIS,53,61.03,289.5,5.4,D,0
28.8585,52.4684,308,1.2,1.1,2023-01-01,1005,Aqua,MODIS,66,61.03,289.4,9.5,D,0
31.2664,48.1065,303.9,1,1,2023-01-01,1006,Aqua,MODIS,57,61.03,289.4,5.2,D,2
31.4271,47.8353,314.8,1,1,2023-01-01,1006,Aqua,MODIS,75,61.03,289.2,13.3,D,2
31.4361,47.8333,305.5,1,1,2023-01-01,1006,Aqua,MODIS,45,61.03,288.9,5.9,D,2
32.2341,51.4375,304.4,1.1,1.1,2023-01-01,1006,Aqua,MODIS,53,61.03,285.2,7.4,D,2
32.2327,51.4256,322.3,1.1,1.1,2023-01-01,1006,Aqua,MODIS,82,61.03,287.7,24.4,D,2
32.4221,51.3202,305.1,1.1,1.1,2023-01-01,1006,Aqua,MODIS,61,61.03,288.1,7.1,D,2
32.1557,49.0643,312.7,1,1,2023-01-01,1006,Aqua,MODIS,73,61.03,292.9,9.9,D,2
32.1174,48.6745,307.1,1,1,2023-01-01,1006,Aqua,MODIS,65,61.03,292.6,6.7,D,0
32.1159,48.664,314.7,1,1,2023-01-01,1006,Aqua,MODIS,75,61.03,293.1,12.3,D,0
32.2181,48.3557,302.4,1,1,2023-01-01,1006,Aqua,MODIS,52,61.03,291.7,4,D,0
32.3431,48.5187,313.5,1,1,2023-01-01,1006,Aqua,MODIS,74,61.03,292.4,10.7,D,0
32.349,47.6974,302.6,1,1,2023-01-01,1006,Aqua,MODIS,53,61.03,290.5,4.2,D,2
32.3506,47.7081,309.2,1,1,2023-01-01,1006,Aqua,MODIS,68,61.03,291,8.5,D,2
29.7596,50.3681,301.1,1,1,2023-01-01,1006,Aqua,MODIS,33,61.03,290.3,3.2,D,0
30.0354,50.6361,315.8,1,1,2023-01-01,1006,Aqua,MODIS,76,61.03,295.7,12,D,2
30.1532,50.42,317.5,1,1,2023-01-01,1006,Aqua,MODIS,78,61.03,295.1,13.1,D,2
30.2571,50.7779,307.4,1,1,2023-01-01,1006,Aqua,MODIS,65,61.03,292.1,5.9,D,2
30.2556,50.7673,310.2,1,1,2023-01-01,1006,Aqua,MODIS,70,61.03,292.1,8.1,D,2
30.291,50.084,302.7,1,1,2023-01-01,1006,Aqua,MODIS,53,61.03,292.2,3.2,D,0
30.3923,50.6219,320.8,1,1,2023-01-01,1006,Aqua,MODIS,80,61.03,293,17.6,D,2
30.3908,50.6114,318.4,1,1,2023-01-01,1006,Aqua,MODIS,78,61.03,293.5,15.2,D,2
30.348,50.2969,304.6,1,1,2023-01-01,1006,Aqua,MODIS,59,61.03,291,4.1,D,2
30.3465,50.2865,308.7,1,1,2023-01-01,1006,Aqua,MODIS,68,61.03,292,6.8,D,2
30.3886,49.8576,316.9,1,1,2023-01-01,1006,Aqua,MODIS,77,61.03,293.3,13.3,D,2
30.484,50.4797,310.3,1,1,2023-01-01,1006,Aqua,MODIS,70,61.03,292.8,8.1,D,2
30.4977,50.4448,303.1,1,1,2023-01-01,1006,Aqua,MODIS,55,61.03,292.3,3.6,D,0
30.5582,50.0146,307,1,1,2023-01-01,1006,Aqua,MODIS,65,61.03,292.7,5.7,D,2
30.572,49.9166,314.4,1,1,2023-01-01,1006,Aqua,MODIS,75,61.03,290.8,12,D,2
30.7157,49.8238,310.4,1,1,2023-01-01,1006,Aqua,MODIS,70,61.03,294.2,7.7,D,2
