latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.8918,43.8102,302.3,2.2,1.4,2023-01-01,0708,Terra,MODIS,52,61.03,284.8,18.6,D,2
30.6052,47.3198,305.8,1.1,1,2023-01-01,1006,Aqua,MODIS,62,61.03,290,6.7,D,2
30.6069,47.3309,314.6,1.1,1,2023-01-01,1006,Aqua,MODIS,75,61.03,289.7,13.8,D,2
30.5614,47.3235,310.6,1.1,1,2023-01-01,1006,Aqua,MODIS,70,61.03,288,9.7,D,2
30.5235,47.6112,314.5,1.1,1,2023-01-01,1006,Aqua,MODIS,0,61.03,287,12.7,D,2
30.7563,47.3261,309.1,1.1,1,2023-01-01,1006,Aqua,MODIS,68,61.03,290.6,8.4,D,2
30.7655,47.3241,306,1.1,1,2023-01-01,1006,Aqua,MODIS,63,61.03,288.8,5.7,D,2
30.5632,47.3346,308.9,1.1,1,2023-01-01,1006,Aqua,MODIS,65,61.03,288.1,8,D,2
30.9276,48.011,301.3,1,1,2023-01-01,1006,Aqua,MODIS,46,61.03,289.7,3.9,D,2
30.8204,47.3294,310.7,1.1,1,2023-01-01,1006,Aqua,MODIS,53,61.03,284.7,9.7,D,2
31.0603,47.6162,329.8,1.1,1,2023-01-01,1006,Aqua,MODIS,86,61.03,291.4,30.3,D,2
30.5218,47.6003,305.2,1.1,1,2023-01-01,1006,Aqua,MODIS,0,61.03,286.2,5.2,D,2
30.167,47.4106,304.1,1.1,1,2023-01-01,1006,Aqua,MODIS,55,61.03,284.3,6.3,D,2
30.6822,47.3259,323.6,1.1,1,2023-01-01,1006,Aqua,MODIS,83,61.03,291.4,23.7,D,2
33.486,44.3358,300.6,1.3,1.2,2023-01-01,1007,Aqua,MODIS,40,61.03,290.4,6.3,D,2
34.8896,43.8052,306.5,1.4,1.2,2023-01-01,1007,Aqua,MODIS,64,61.03,290.3,9.6,D,2
35.3773,44.2171,301.3,1.3,1.1,2023-01-01,1007,Aqua,MODIS,46,61.03,290.3,5.8,D,2
35.4795,44.1555,309.8,1.3,1.1,2023-01-01,1007,Aqua,MODIS,69,61.03,290.3,13,D,2
35.5327,44.3403,302.8,1.2,1.1,2023-01-01,1007,Aqua,MODIS,54,61.03,291.8,5.3,D,2
33.1516,44.7795,301.9,1.3,1.1,2023-01-01,1007,Aqua,MODIS,50,61.03,290.7,6.5,D,0
33.3204,44.5667,304.6,1.3,1.1,2023-01-01,1007,Aqua,MODIS,59,61.03,289.9,9,D,2
35.6784,43.8791,323.6,1.3,1.1,2023-01-01,1008,Aqua,MODIS,82,61.03,293.1,29.4,D,2
35.6278,44.0019,301.5,1.3,1.1,2023-01-01,1008,Aqua,MODIS,47,61.03,289.9,5.5,D,2
35.6758,43.8651,308.9,1.3,1.1,2023-01-01,1008,Aqua,MODIS,68,61.03,293.3,10.6,D,2
35.7185,44.0435,320.5,1.3,1.1,2023-01-01,1008,Aqua,MODIS,80,61.03,292.4,24.1,D,2
35.716,44.0296,308.5,1.3,1.1,2023-01-01,1008,Aqua,MODIS,67,61.03,291.8,10.3,D,2
35.921,43.786,305.2,1.3,1.1,2023-01-01,1008,Aqua,MODIS,61,61.03,294.9,6.1,D,0
35.9982,43.7588,304,1.3,1.1,2023-01-01,1008,Aqua,MODIS,58,61.03,292.5,6.2,D,2
36.0161,43.6875,306.2,1.3,1.1,2023-01-01,1008,Aqua,MODIS,63,61.03,295.4,7.9,D,2
