latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.0224,-6.3502,312.8,1.1,1,2023-02-21,1335,Aqua,MODIS,73,61.03,284.3,14.6,D,0
53.0313,-6.3539,305,1.1,1,2023-02-21,1335,Aqua,MODIS,60,61.03,282.7,8.5,D,0
51.6106,-9.6651,325.8,1.2,1.1,2023-02-27,1146,Terra,MODIS,56,61.03,280.3,33.1,D,0
51.6577,-9.3438,310.6,1,1,2023-02-28,1336,Aqua,MODIS,38,61.03,277.8,11.5,D,0
51.7838,-9.779,308,1.1,1,2023-03-03,0254,Aqua,MODIS,73,61.03,275.6,16.2,N,0
52.3837,-6.9226,318.9,1.1,1.1,2023-03-25,1132,Terra,MODIS,79,61.03,280.9,22.8,D,0
53.1188,-7.1634,304.1,1,1,2023-04-20,1117,Terra,MODIS,58,61.03,289.3,6.3,D,0
53.6022,-7.4615,303.9,1,1,2023-04-20,1330,Aqua,MODIS,50,61.03,289.4,6.1,D,0
52.217,-7.878,303.5,4.2,1.9,2023-04-20,2050,Terra,MODIS,55,61.03,276,77.3,N,0
52.213,-8.2581,308,1,1,2023-05-16,1343,Aqua,MODIS,65,61.03,289.8,6.2,D,0
53.5186,-7.0153,304.1,1.2,1.1,2023-05-28,1100,Terra,MODIS,47,61.03,291.2,5.3,D,0
53.0594,-8.0998,323.5,1.3,1.1,2023-06-03,1315,Aqua,MODIS,79,61.03,298.3,24.8,D,0
53.1109,-6.309,310.4,1.5,1.2,2023-06-05,1301,Aqua,MODIS,63,61.03,293.5,14.3,D,0
53.2834,-9.1191,313.1,1.1,1,2023-06-08,1328,Aqua,MODIS,67,61.03,294.9,9.2,D,0
53.4675,-6.2483,310.2,1,1,2023-08-22,1330,Aqua,MODIS,34,61.03,294.1,7,D,0
52.2447,-6.4325,307.4,1.1,1,2023-09-05,1326,Aqua,MODIS,64,61.03,292.8,5.4,D,0
52.2242,-7.6343,313,1.1,1.1,2023-09-08,1353,Aqua,MODIS,68,61.03,296.4,9.5,D,0
53.9234,-8.0507,304.9,1,1,2023-09-08,2156,Terra,MODIS,62,61.03,285.1,8.6,N,0
53.3291,-6.8977,305.2,1.3,1.1,2023-11-06,1133,Terra,MODIS,61,61.03,281.5,14,D,0
53.5215,-7.0022,301.4,1,1,2023-11-15,1340,Aqua,MODIS,47,61.03,281.2,7.7,D,0
