latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
32.9301,35.843,305.9,1.1,1.1,2023-01-17,0818,Terra,MODIS,62,61.03,285.2,8.3,D,0
31.2474,34.7175,307.5,1.2,1.1,2023-02-10,0823,Terra,MODIS,65,61.03,286.5,10.8,D,0
31.1932,34.3749,302.1,1.2,1.1,2023-02-10,0823,Terra,MODIS,51,61.03,288.2,5.1,D,0
32.7814,35.3371,300.6,1.1,1,2023-02-17,0816,Terra,MODIS,38,61.03,288.5,4.3,D,0
31.5173,34.619,312.2,1.1,1,2023-03-08,1057,Aqua,MODIS,61,61.03,296.5,8.5,D,2
31.5155,34.6076,323.7,1.1,1,2023-03-08,1057,Aqua,MODIS,80,61.03,297.5,20.4,D,2
32.5829,35.573,311.2,1.2,1.1,2023-03-13,0819,Terra,MODIS,46,61.03,297.3,6.3,D,0
32.8202,35.7582,318,1.2,1.1,2023-03-13,0819,Terra,MODIS,70,61.03,297.5,14.7,D,0
32.8181,35.7704,324.6,1.2,1.1,2023-03-13,0819,Terra,MODIS,68,61.03,297.8,22.8,D,0
31.0766,35.0328,317,1.2,1.1,2023-03-13,0819,Terra,MODIS,63,61.03,299.1,10,D,2
31.0729,35.0261,315.6,1.2,1.1,2023-03-13,0819,Terra,MODIS,57,61.03,299.8,7.9,D,2
31.8534,34.6952,300,1.9,1.3,2023-03-27,1904,Terra,MODIS,13,61.03,284.4,15.7,N,0
31.8845,34.7364,315.9,1,1,2023-04-05,1102,Aqua,MODIS,31,61.03,302.6,6.5,D,2
32.6368,35.3601,312.5,1.1,1,2023-05-07,0813,Terra,MODIS,30,61.03,296.6,6.9,D,2
32.0532,34.9558,300.4,2,1.4,2023-05-08,1954,Terra,MODIS,26,61.03,287.4,15,N,0
31.5645,34.5528,329,1.1,1,2023-05-10,1103,Aqua,MODIS,69,61.03,307.6,16.4,D,0
31.386,34.408,320.3,1.6,1.2,2023-05-12,1049,Aqua,MODIS,41,61.03,303.9,12,D,0
32.1071,34.9068,324.5,2.3,1.5,2023-05-22,0838,Terra,MODIS,67,61.03,302.6,41.6,D,0
32.5034,35.4421,340.5,1.2,1.1,2023-05-22,1116,Aqua,MODIS,87,61.03,308.4,40,D,0
32.5017,35.429,322.4,1.2,1.1,2023-05-22,1116,Aqua,MODIS,52,61.03,307.2,9.4,D,0
31.1839,34.5644,331.5,4.7,2,2023-05-23,1020,Aqua,MODIS,75,61.03,304.8,142.6,D,2
31.1833,34.5563,332.9,4.7,2,2023-05-23,1020,Aqua,MODIS,78,61.03,305.1,160.1,D,2
31.4703,34.8752,301.8,1.2,1.1,2023-05-24,0002,Aqua,MODIS,45,61.03,291.8,6.1,N,0
31.4681,34.8875,301.7,1.2,1.1,2023-05-24,0002,Aqua,MODIS,44,61.03,291.4,6.2,N,0
33.0362,35.7349,333,1,1,2023-05-31,1102,Aqua,MODIS,75,61.03,314.2,14.2,D,0
31.6586,34.7734,333.7,1.6,1.2,2023-06-03,1130,Aqua,MODIS,72,61.03,301.8,44.2,D,0
32.6987,35.4998,346.7,1.1,1.1,2023-06-05,1116,Aqua,MODIS,89,61.03,316.7,41.5,D,2
32.6971,35.4872,332.6,1.1,1.1,2023-06-05,1116,Aqua,MODIS,68,61.03,315.2,13.1,D,0
32.9995,35.7457,333.2,1.3,1.1,2023-06-21,0747,Terra,MODIS,74,61.03,308.6,27.2,D,0
32.8499,35.3096,328.8,1.5,1.2,2023-07-08,1126,Aqua,MODIS,34,61.03,308.7,18.5,D,0
33.0844,35.6837,339.8,1.3,1.1,2023-07-11,0818,Terra,MODIS,83,61.03,314.4,37.8,D,0
31.4693,34.8612,331.5,2.1,1.4,2023-07-13,1139,Aqua,MODIS,55,61.03,312.3,26.8,D,0
32.5216,35.4303,312.3,2.8,1.6,2023-07-15,1846,Terra,MODIS,81,61.03,301.2,35.9,N,2
32.5164,35.4064,325.4,2.8,1.6,2023-07-15,1846,Terra,MODIS,100,61.03,300.1,92.7,N,0
32.5201,35.3995,316.4,2.8,1.6,2023-07-15,1846,Terra,MODIS,92,61.03,299.5,53.3,N,0
32.1198,34.904,316.4,1.7,1.3,2023-07-15,2328,Aqua,MODIS,93,61.03,296.9,28.5,N,2
32.1159,34.9105,314,1.7,1.3,2023-07-15,2328,Aqua,MODIS,88,61.03,297.1,24.3,N,0
31.6683,34.8299,305.7,1,1,2023-07-18,2356,Aqua,MODIS,65,61.03,295.2,6.9,N,0
31.6585,34.8456,327.1,4.2,1.9,2023-07-19,0850,Terra,MODIS,77,61.03,310.2,89.5,D,0
31.4706,34.8913,334,1.3,1.1,2023-07-19,1056,Aqua,MODIS,33,61.03,314,12.8,D,0
31.4804,34.8887,339,1.3,1.1,2023-07-19,1056,Aqua,MODIS,78,61.03,316.5,23.3,D,0
33.1383,35.8003,346.8,1.1,1,2023-07-20,0753,Terra,MODIS,89,61.03,314.2,43.8,D,0
33.1458,35.8192,329.4,2.5,1.5,2023-07-20,1138,Aqua,MODIS,42,61.03,312.7,45,D,0
31.7822,35.1169,333.4,1,1,2023-07-24,1109,Aqua,MODIS,64,61.03,315.7,14,D,0
31.5019,34.9077,335.9,3.4,1.7,2023-07-25,1151,Aqua,MODIS,81,61.03,311.8,99.5,D,0
31.4965,34.9036,332.4,3.4,1.7,2023-07-25,1151,Aqua,MODIS,72,61.03,312.1,71.7,D,0
31.9007,34.8914,334.8,1.3,1.1,2023-07-26,1055,Aqua,MODIS,69,61.03,319.4,20.5,D,0
31.9987,34.979,338.7,2.2,1.4,2023-07-28,1041,Aqua,MODIS,80,61.03,316.5,66.9,D,0
33.0293,35.449,333.5,1.3,1.1,2023-07-29,1123,Aqua,MODIS,48,61.03,313.8,21.3,D,0
