latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.7973,15.2163,321.8,1,1,2023-01-04,0113,Aqua,MODIS,91,61.03,281.2,0,N,1
40.5295,17.17,303,1.1,1.1,2023-01-04,1217,Aqua,MODIS,54,61.03,288.4,6.5,D,0
40.528,17.1569,303.2,1.1,1.1,2023-01-04,1217,Aqua,MODIS,52,61.03,288.5,6.9,D,0
45.7794,12.5872,302.8,1,1,2023-01-04,1219,Aqua,MODIS,54,61.03,285,6.7,D,0
45.143,9.9416,300.5,1.9,1.3,2023-01-05,1301,Aqua,MODIS,29,61.03,283.8,15.4,D,2
45.1465,9.9357,300.6,1.9,1.3,2023-01-05,1301,Aqua,MODIS,0,61.03,283.7,15.7,D,2
41.9623,14.8392,301.2,1.1,1,2023-01-06,1204,Aqua,MODIS,45,61.03,287.7,5.3,D,0
40.2976,15.9045,300,1.1,1,2023-01-06,1204,Aqua,MODIS,13,61.03,286.4,5.2,D,0
40.4608,15.591,302.3,1.1,1,2023-01-06,1204,Aqua,MODIS,52,61.03,286.3,7.4,D,0
41.568,15.3842,308.9,1.1,1,2023-01-06,1204,Aqua,MODIS,68,61.03,289.5,9.5,D,0
41.6707,15.1507,311.4,1.1,1,2023-01-06,1204,Aqua,MODIS,71,61.03,289.6,12,D,0
39.9451,18.1166,315.4,1.1,1,2023-01-07,0936,Terra,MODIS,62,61.03,287.2,15.5,D,0
45.1432,9.9413,320.1,1,1,2023-01-10,1000,Terra,MODIS,75,61.03,281.6,21.6,D,2
45.1477,9.9372,304.1,1.1,1,2023-01-10,2107,Terra,MODIS,58,61.03,274.3,12.2,N,2
40.1736,18.3412,301.6,1.1,1,2023-01-15,1154,Aqua,MODIS,48,61.03,286.7,6.3,D,0
40.3644,18.1004,304,1.1,1,2023-01-15,1154,Aqua,MODIS,58,61.03,287.1,7.6,D,0
36.7929,12.0163,311.1,1.1,1,2023-01-18,1222,Aqua,MODIS,47,61.03,290.2,12.1,D,0
45.7706,11.7868,301.9,1.1,1,2023-01-20,1211,Aqua,MODIS,50,61.03,278.8,8.8,D,2
45.1496,9.9494,302.5,1.1,1,2023-01-21,0146,Aqua,MODIS,50,61.03,270.7,11.8,N,2
45.1429,9.9387,318.8,1,1,2023-01-29,2103,Terra,MODIS,98,61.03,268.8,23.2,N,2
44.0168,8.1491,311.1,1.8,1.3,2023-01-31,0940,Terra,MODIS,62,61.03,284.4,31.1,D,0
45.1455,9.9422,306.4,1.1,1,2023-01-31,2047,Terra,MODIS,68,61.03,274.2,14.6,N,2
45.4826,8.224,313.2,1.1,1,2023-02-01,1021,Terra,MODIS,69,61.03,279.9,17.2,D,0
45.025,7.6131,304.1,1.1,1,2023-02-01,1021,Terra,MODIS,58,61.03,279.2,9.2,D,2
37.3881,14.4421,303.9,1.1,1,2023-02-01,1227,Aqua,MODIS,57,61.03,286,7.4,D,0
44.7964,8.7474,303,1,1,2023-02-01,1230,Aqua,MODIS,54,61.03,286.1,6.9,D,0
45.0244,8.6013,302.5,1,1,2023-02-01,1230,Aqua,MODIS,52,61.03,286.4,6.5,D,0
45.0203,7.6107,303.4,1.1,1,2023-02-01,1230,Aqua,MODIS,56,61.03,284.8,7.5,D,2
45.0826,7.4243,300.2,1.1,1,2023-02-01,1230,Aqua,MODIS,30,61.03,284.7,6.2,D,2
45.2704,8.0501,302.6,1.1,1,2023-02-01,1230,Aqua,MODIS,53,61.03,286.1,6.3,D,0
45.2682,8.037,325,1.1,1,2023-02-01,1230,Aqua,MODIS,83,61.03,286.7,26.3,D,0
45.6579,9.0196,300,1,1,2023-02-01,1230,Aqua,MODIS,18,61.03,285.2,5,D,2
36.9622,14.6247,305.3,1,1,2023-02-03,1214,Aqua,MODIS,49,61.03,290.7,5.9,D,2
36.9851,14.4742,303,1.1,1,2023-02-03,1214,Aqua,MODIS,54,61.03,291.3,4.3,D,0
37.0408,14.4168,303,1.1,1,2023-02-03,1214,Aqua,MODIS,54,61.03,292,4.5,D,0
37.1128,14.2341,316,1.1,1,2023-02-03,1214,Aqua,MODIS,76,61.03,292.4,14.6,D,0
37.167,14.4527,325,1.1,1,2023-02-03,1214,Aqua,MODIS,83,61.03,291.4,23.5,D,0
37.176,14.4503,313.7,1.1,1,2023-02-03,1214,Aqua,MODIS,44,61.03,290.3,11.1,D,0
37.4334,15.0283,310.3,1,1,2023-02-03,1214,Aqua,MODIS,70,61.03,294.9,8,D,0
39.5073,15.9931,336.9,1,1,2023-02-03,1215,Aqua,MODIS,88,61.03,286.1,40.5,D,0
46.1299,11.0947,303.9,1.1,1,2023-02-03,1217,Aqua,MODIS,57,61.03,279.3,8.8,D,2
45.1448,9.937,302.9,1.7,1.3,2023-02-04,1259,Aqua,MODIS,41,61.03,289.3,11.1,D,2
45.4059,10.9176,301.3,2,1.4,2023-02-04,1259,Aqua,MODIS,46,61.03,285.6,13.8,D,2
45.1419,9.9423,324.8,1.2,1.1,2023-02-05,0949,Terra,MODIS,59,61.03,280.9,32.5,D,2
45.4784,10.2086,305.6,1.2,1.1,2023-02-05,0949,Terra,MODIS,62,61.03,281.1,11.8,D,0
39.3654,16.0822,306.4,1,1,2023-02-07,2038,Terra,MODIS,45,61.03,268.5,12.9,N,0
45.4799,10.2165,300.4,1.1,1.1,2023-02-08,0125,Aqua,MODIS,27,61.03,267.5,12,N,2
45.1452,9.9388,310.5,1.1,1,2023-02-08,1014,Terra,MODIS,66,61.03,278.3,15.9,D,2
44.7422,10.4898,301.4,1,1,2023-02-08,1232,Aqua,MODIS,46,61.03,280.8,7.1,D,0
45.1452,9.9428,314.4,1,1,2023-02-08,1232,Aqua,MODIS,70,61.03,283.5,15.5,D,2
45.4789,10.2077,311.3,1,1,2023-02-08,1232,Aqua,MODIS,71,61.03,282.2,13,D,0
45.1451,9.9527,301.2,1,1,2023-02-10,0958,Terra,MODIS,45,61.03,278.5,7.9,D,2
45.1468,9.94,313.9,1,1,2023-02-10,0958,Terra,MODIS,74,61.03,278.8,16.5,D,2
41.4883,12.7831,304,1.1,1.1,2023-02-10,0959,Terra,MODIS,58,61.03,283.6,8.8,D,0
41.5739,12.8285,300.5,1.1,1.1,2023-02-10,0959,Terra,MODIS,38,61.03,284.6,5.9,D,2
43.5301,11.4908,303.5,1.1,1,2023-02-10,1218,Aqua,MODIS,53,61.03,281.7,8.8,D,0
45.7202,11.3984,303.5,1,1,2023-02-10,1219,Aqua,MODIS,56,61.03,283.6,7.6,D,2
45.4521,7.8736,300.8,1.3,1.1,2023-02-10,1219,Aqua,MODIS,41,61.03,280.7,9.7,D,2
46.1355,8.2337,302.6,1,1,2023-02-10,2105,Terra,MODIS,50,61.03,269.7,10.7,N,0
45.1449,9.9417,300.9,1.6,1.2,2023-02-12,1205,Aqua,MODIS,37,61.03,287.7,9.4,D,2
45.142,9.9405,306.9,1.1,1,2023-02-12,2049,Terra,MODIS,69,61.03,276,13.6,N,2
45.1474,9.9501,309.7,1,1,2023-02-13,0140,Aqua,MODIS,78,61.03,273.5,15.2,N,2
43.9666,10.3645,302.2,1,1,2023-02-13,0141,Aqua,MODIS,47,61.03,275.7,9.9,N,0
43.8449,11.1377,300.8,1.7,1.3,2023-02-13,1023,Terra,MODIS,42,61.03,286.3,9.5,D,2
45.1465,9.9393,305.4,1.4,1.2,2023-02-13,1023,Terra,MODIS,58,61.03,283.3,13.5,D,2
43.9761,10.347,301.2,1.3,1.1,2023-02-13,1247,Aqua,MODIS,45,61.03,285.4,7.9,D,0
45.1399,9.9452,306.3,1.2,1.1,2023-02-13,1248,Aqua,MODIS,0,61.03,288.8,8.6,D,2
45.1402,9.9381,308.1,1.2,1.1,2023-02-13,1248,Aqua,MODIS,51,61.03,288.6,10.5,D,2
45.1418,9.9397,306,2,1.4,2023-02-13,2130,Terra,MODIS,66,61.03,272.7,34.3,N,2
45.4633,10.4582,301.2,1.4,1.2,2023-02-14,2033,Terra,MODIS,38,61.03,274.4,15.4,N,2
45.4245,11.151,303.4,1.1,1,2023-02-15,1007,Terra,MODIS,56,61.03,285.6,6.7,D,2
45.4621,10.46,316.7,1,1,2023-02-15,1007,Terra,MODIS,77,61.03,286.9,16.4,D,2
45.1441,9.9374,301.3,1,1,2023-02-15,1007,Terra,MODIS,43,61.03,284.4,5.9,D,2
45.1421,9.95,300.9,1,1,2023-02-15,1007,Terra,MODIS,40,61.03,284.4,5.7,D,2
44.7755,11.9325,300.7,1.1,1.1,2023-02-15,1007,Terra,MODIS,41,61.03,284.7,6.6,D,0
45.8649,12.0737,305.4,1.1,1.1,2023-02-15,1007,Terra,MODIS,61,61.03,286.5,8.7,D,2
37.298,13.9512,304.1,1.1,1,2023-02-15,1232,Aqua,MODIS,58,61.03,291.2,5.6,D,0
40.8054,8.3296,304.1,1.1,1,2023-02-15,1233,Aqua,MODIS,58,61.03,289.8,6.4,D,0
41.8302,12.9543,303,1.1,1.1,2023-02-15,1233,Aqua,MODIS,54,61.03,290.8,5.3,D,0
39.4951,8.7828,306.1,1.1,1,2023-02-15,1233,Aqua,MODIS,63,61.03,291,7.5,D,2
40.2445,8.998,301.4,1.1,1,2023-02-15,1233,Aqua,MODIS,46,61.03,291.2,4.1,D,0
40.5221,8.7689,300.5,1.1,1,2023-02-15,1233,Aqua,MODIS,38,61.03,289.7,4.2,D,0
