latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.4273,-77.7193,311,1.5,1.2,2023-01-02,1900,Aqua,MODIS,45,61.03,297,8.6,D,0
18.2392,-78.1301,313.1,1.8,1.3,2023-01-15,1823,Aqua,MODIS,65,61.03,299,16.8,D,0
18.2712,-78.1537,319.7,1.8,1.3,2023-01-15,1823,Aqua,MODIS,78,61.03,298.8,31,D,0
18.2507,-78.1127,325.1,1.7,1.3,2023-01-16,1905,Aqua,MODIS,78,61.03,301.3,35.8,D,0
18.2628,-78.1633,338.4,1.1,1,2023-01-20,1839,Aqua,MODIS,90,61.03,305.6,36.3,D,0
18.2806,-78.1019,322.8,1.1,1,2023-01-20,1839,Aqua,MODIS,59,61.03,305.6,12.5,D,0
18.2715,-78.1611,317.8,1.1,1,2023-01-20,1839,Aqua,MODIS,54,61.03,302.9,9.9,D,0
17.9119,-77.1204,316.6,1,1,2023-01-20,1839,Aqua,MODIS,52,61.03,301.9,6.4,D,0
18.27,-78.171,315.9,1.1,1,2023-01-20,1839,Aqua,MODIS,52,61.03,304,8.2,D,0
18.4079,-77.7157,319.8,4.7,2,2023-01-26,1759,Aqua,MODIS,72,61.03,298.3,125.1,D,0
18.4085,-77.7121,320.5,4.7,2,2023-01-26,1759,Aqua,MODIS,73,61.03,298.2,131.2,D,0
18.3024,-78.1099,318.3,1,1,2023-01-27,1842,Aqua,MODIS,67,61.03,304.6,7.4,D,0
18.3447,-77.503,311.8,1,1,2023-01-27,1842,Aqua,MODIS,59,61.03,298.1,6.5,D,0
18.3326,-78.154,316.2,1,1,2023-01-27,1842,Aqua,MODIS,64,61.03,298.7,9.2,D,0
18.4408,-77.6076,312.5,1,1,2023-01-27,1842,Aqua,MODIS,60,61.03,298.2,6.5,D,0
17.8237,-77.2377,314.3,1.3,1.1,2023-01-29,1828,Aqua,MODIS,61,61.03,300.7,8,D,0
18.3788,-78.261,311.1,1.1,1,2023-01-30,1541,Terra,MODIS,61,61.03,299,5.6,D,0
18.2077,-78.2302,313.6,2.1,1.4,2023-01-30,1911,Aqua,MODIS,0,61.03,296.2,16.7,D,0
17.9354,-77.3054,319.8,1,1,2023-02-01,1525,Terra,MODIS,71,61.03,301.8,9.7,D,0
17.9437,-77.7598,315.7,1.1,1,2023-02-01,1525,Terra,MODIS,62,61.03,301.9,7.2,D,0
18.1198,-77.732,313.9,1,1,2023-02-06,1534,Terra,MODIS,65,61.03,299.3,6.2,D,0
18.4423,-78.1181,311.7,2.3,1.5,2023-02-07,1818,Aqua,MODIS,38,61.03,296.9,23.6,D,0
18.4384,-78.1388,313.4,2.3,1.5,2023-02-07,1818,Aqua,MODIS,44,61.03,296.9,26.6,D,0
