latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.2601,131.6502,302.1,1.9,1.3,2023-01-01,0212,Terra,MODIS,0,61.03,285.6,15.7,D,2
33.2608,131.6552,313.1,1,1,2023-01-01,1713,Aqua,MODIS,86,61.03,277.9,17.5,N,2
33.2645,131.6526,303.5,1.1,1.1,2023-01-03,0156,Terra,MODIS,0,61.03,285.1,7.6,D,2
33.2572,131.6486,307.1,1.1,1,2023-01-03,1257,Terra,MODIS,50,61.03,278.9,12.2,N,2
33.2652,131.6581,301.4,1.4,1.2,2023-01-03,1700,Aqua,MODIS,41,61.03,277.1,15.8,N,2
35.349,139.8702,304.7,1,1,2023-01-04,0401,Aqua,MODIS,45,61.03,288.2,7,D,2
33.2544,131.6479,309.4,1.1,1,2023-01-05,0444,Aqua,MODIS,65,61.03,288.7,10.7,D,2
35.4788,139.7196,301.3,1.1,1,2023-01-07,0124,Terra,MODIS,0,61.03,284,6.7,D,2
35.3507,139.8762,302.6,1.1,1,2023-01-07,0124,Terra,MODIS,0,61.03,283.8,7.6,D,2
40.5375,141.5046,314.2,1.2,1.1,2023-01-07,1631,Aqua,MODIS,84,61.03,270.5,24.8,N,2
36.324,139.9635,301.8,1.6,1.3,2023-01-08,0335,Aqua,MODIS,49,61.03,288,10.2,D,2
33.2638,131.6518,300.3,1,1,2023-01-08,1306,Terra,MODIS,23,61.03,279.8,8.1,N,2
33.2624,131.6412,304.2,1,1,2023-01-08,1306,Terra,MODIS,59,61.03,280.5,10.4,N,2
35.9413,140.6803,302.1,1,1,2023-01-09,0108,Terra,MODIS,31,61.03,286.7,5.6,D,2
35.9324,140.6785,303.3,1,1,2023-01-09,0108,Terra,MODIS,0,61.03,287,6.3,D,2
35.0306,136.8839,302.1,1.4,1.2,2023-01-09,0108,Terra,MODIS,44,61.03,284.3,9.3,D,2
33.2615,131.646,306.9,1.4,1.2,2023-01-09,0417,Aqua,MODIS,0,61.03,291.1,10.4,D,2
33.9147,130.8313,303.2,1.5,1.2,2023-01-09,0418,Aqua,MODIS,0,61.03,289.3,9.4,D,2
35.354,139.8771,302.3,1.4,1.2,2023-01-09,0418,Aqua,MODIS,0,61.03,290.4,7,D,2
35.0207,136.8667,312.4,1,1,2023-01-09,0418,Aqua,MODIS,0,61.03,288.6,10.6,D,2
